,time,open,close,high,low,volume
0,1596710520000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1315.99412352
1,1596710820000,1.218e-05,1.218e-05,1.218e-05,1.218e-05,987.17053207
2,1596710940000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,200.0
3,1596711000000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,300.0
4,1596712740000,1.222e-05,1.222e-05,1.222e-05,1.222e-05,413.12111200000004
5,1596713400000,1.225e-05,1.235e-05,1.235e-05,1.225e-05,70893.77014871
6,1596713640000,1.222e-05,1.222e-05,1.222e-05,1.222e-05,0.00671
7,1596714180000,1.224e-05,1.224e-05,1.224e-05,1.224e-05,214.9906
8,1596716460000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,0.0012
9,1596716700000,1.214e-05,1.214e-05,1.214e-05,1.214e-05,9.0
10,1596717540000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,152.822171
11,1596717840000,1.216e-05,1.217e-05,1.217e-05,1.216e-05,2103.19685923
12,1596718020000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,28924.6249
13,1596718080000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,53379.8751
14,1596718980000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,154.0
15,1596719220000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,100.0
16,1596719280000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,3919.75572
17,1596719400000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,3109.95228
18,1596720840000,1.213e-05,1.213e-05,1.213e-05,1.213e-05,150.0
19,1596720900000,1.211e-05,1.211e-05,1.211e-05,1.211e-05,350.0
20,1596721500000,1.206e-05,1.206e-05,1.206e-05,1.206e-05,9.25869908
21,1596724440000,1.205e-05,1.205e-05,1.205e-05,1.205e-05,100.0
22,1596726120000,1.209e-05,1.209e-05,1.209e-05,1.209e-05,1701.5602
23,1596726180000,1.209e-05,1.209e-05,1.209e-05,1.209e-05,1707.0643
24,1596726420000,1.21e-05,1.21e-05,1.21e-05,1.21e-05,1675.5829
25,1596726720000,1.211e-05,1.211e-05,1.211e-05,1.211e-05,900.0
26,1596726960000,1.213e-05,1.213e-05,1.213e-05,1.213e-05,515.700577
27,1596727560000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,1639.2741
28,1596735480000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1679.2706
29,1596735720000,1.218e-05,1.217e-05,1.218e-05,1.217e-05,9297.1003
30,1596736560000,1.217e-05,1.217e-05,1.217e-05,1.217e-05,30.0
31,1596737640000,1.226e-05,1.226e-05,1.226e-05,1.226e-05,99.0
32,1596743460000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,30.0
33,1596743580000,1.22e-05,1.22e-05,1.22e-05,1.22e-05,20.0
34,1596744480000,1.221e-05,1.221e-05,1.221e-05,1.221e-05,7418.246999999999
35,1596745680000,1.224e-05,1.224e-05,1.224e-05,1.224e-05,59.87222
36,1596753780000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1618.5335
37,1596754080000,1.221e-05,1.221e-05,1.221e-05,1.221e-05,306.60031956
38,1596754560000,1.219e-05,1.219e-05,1.219e-05,1.219e-05,1702.1856
39,1596758520000,1.233e-05,1.233e-05,1.233e-05,1.233e-05,4430.5893
40,1596759420000,1.246e-05,1.246e-05,1.246e-05,1.246e-05,1563.1748
41,1596763020000,1.229e-05,1.229e-05,1.229e-05,1.229e-05,1515.1598
42,1596763680000,1.231e-05,1.231e-05,1.231e-05,1.231e-05,9000.0
43,1596764040000,1.225e-05,1.225e-05,1.225e-05,1.225e-05,100.0
44,1596766920000,1.222e-05,1.222e-05,1.222e-05,1.222e-05,1602.9018
45,1596767460000,1.216e-05,1.216e-05,1.216e-05,1.216e-05,1.24523453
