,time,open,close,high,low,volume
0,1545481020000,0.0525,0.0525,0.0525,0.0525,312.0
1,1545556800000,0.0525,0.0525,0.0525,0.0525,900.0
2,1545610440000,0.051389,0.051389,0.051389,0.051389,2420.0
3,1545614160000,0.0525,0.0525,0.0525,0.0525,500.0
4,1545654180000,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,2560.11
5,1545657660000,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,132.89
6,1545663000000,0.0525,0.0525,0.0525,0.0525,312.0
7,1545663060000,0.0525,0.0525,0.0525,0.0525,451.8879211
8,1545663120000,0.0525,0.0525,0.0525,0.0525,913.84290306
9,1545663180000,0.0525,0.0525,0.0525,0.0525,866.64317638
10,1545709440000,0.04603,0.04603,0.04603,0.04603,846.153
11,1545709800000,0.045,0.045,0.045,0.045,899.1
12,1545742560000,0.045,0.045,0.045,0.045,100.9
13,1545765060000,0.042527999999999996,0.042527999999999996,0.042527999999999996,0.042527999999999996,1565.27850479
14,1545874860000,0.04349,0.04349,0.04349,0.04349,336.3193197
15,1545880860000,0.04349,0.04349,0.04349,0.04349,550.51913146
16,1545882540000,0.043392,0.043392,0.043392,0.043392,550.51913146
17,1545889200000,0.042644,0.042644,0.042644,0.042644,1500.0
18,1545889260000,0.041786000000000004,0.041786000000000004,0.041786000000000004,0.041786000000000004,657.94273403
19,1545889740000,0.042086,0.042492,0.042492,0.042086,1552.098
20,1545895380000,0.042489,0.042489,0.042489,0.042489,765.528
21,1545937500000,0.041694,0.041694,0.041694,0.041694,498.49826824
22,1546042800000,0.042492,0.042492,0.042492,0.042492,169.82329989
23,1546105680000,0.042,0.042,0.042,0.042,10114.188
24,1546105740000,0.042,0.042,0.042,0.042,37724.19645318
25,1546135920000,0.042214999999999996,0.042,0.042214999999999996,0.042,8856.67516826
26,1546136820000,0.042,0.042,0.042,0.042,134.32483174
27,1546175160000,0.050917000000000004,0.0525,0.0525,0.050917000000000004,1680.92818294
28,1546179120000,0.046055,0.046055,0.046055,0.046055,728.2710000000001
29,1546182360000,0.0525,0.0525,0.0525,0.0525,1000.0
30,1546182420000,0.0525,0.0525,0.0525,0.0525,500.0
31,1546183860000,0.044492000000000004,0.044492000000000004,0.044492000000000004,0.044492000000000004,337.14850347
32,1546185420000,0.0525,0.0525,0.0525,0.0525,500.0
33,1546186680000,0.049,0.049,0.049,0.049,337.11634124
34,1546187160000,0.049,0.049,0.049,0.049,1130.868
35,1546187220000,0.049,0.049,0.049,0.049,1017.9810000000001
36,1546189500000,0.0491,0.0491,0.0491,0.0491,2275.722
37,1546189560000,0.0491,0.0491,0.0491,0.0491,2587.9831263
38,1546189620000,0.0491,0.0491,0.0491,0.0491,996.88401809
39,1546189680000,0.0491,0.0491,0.0491,0.0491,929.07
40,1546192320000,0.050767,0.0525,0.0525,0.050767,2000.0
41,1546194540000,0.05,0.05,0.05,0.05,710.289
42,1546198980000,0.05,0.05,0.05,0.05,1520.4779999999998
43,1546209900000,0.0525,0.0525,0.0525,0.0525,1571.43468605
44,1546285500000,0.048298,0.04829,0.048298,0.04829,1733.89536899
45,1546285560000,0.04829,0.04829,0.04829,0.04829,712.2869999999999
46,1546285740000,0.04829,0.04829,0.04829,0.04829,8913.078000000001
47,1546290060000,0.04829,0.048,0.04829,0.048,1093.905
48,1546292520000,0.0525,0.0525,0.0525,0.0525,1300.0
