,time,open,close,high,low,volume
0,1561109520000,3.2,3.2,3.2,3.2,1.0
1,1561115520000,3.2,3.2,3.2,3.2,1.0
2,1561115580000,3.2,3.2,3.2,3.2,9.83510144
3,1561116060000,3.8,3.8,3.8,3.8,1.0
4,1561116480000,3.8,3.8,3.8,3.8,1.0
5,1561116900000,3.8,3.8,3.8,3.8,1.0
6,1561116960000,3.8,5.0,5.0,3.8,3.82143124
7,1561117020000,10.0,10.0,10.0,10.0,1.82778438
8,1561117080000,10.0,10.0,10.0,10.0,8.0
9,1561117140000,3.2,3.11,3.2,3.11,1.01139349
10,1561117680000,7.0,7.0,7.0,7.0,0.5
11,1561118100000,3.87,3.87,3.87,3.87,5.0
12,1561118160000,3.8,3.8,3.8,3.8,5.82343124
13,1561118220000,3.0010000000000003,3.0010000000000003,3.0010000000000003,3.0010000000000003,4.99
14,1561118520000,3.1251,3.1251,3.1251,3.1251,0.998
15,1561119540000,3.1251,3.1251,3.1251,3.1251,2.002
16,1561119840000,3.12,3.12,3.12,3.12,1.0
17,1561121160000,3.1,3.1,3.1,3.1,7.571933199999999
18,1561124940000,3.1,3.1,3.1,3.1,362.24321326
19,1561125360000,3.1,3.0559,3.1,3.0559,158.36869456
20,1561125420000,3.0559,3.0119,3.0559,3.0119,1.93494292
21,1561126620000,3.0119,3.0119,3.0119,3.0119,0.0010978
22,1561127880000,3.8,3.8,3.8,3.8,10.0
23,1561128000000,3.75,3.79,3.79,3.7378,119.1915592
24,1561128060000,3.79,3.79,3.79,3.79,0.32611662
25,1561129140000,3.52,3.52,3.52,3.52,115.0
26,1561129200000,3.27,3.27,3.27,3.27,10.0
27,1561129440000,3.39,3.39,3.39,3.39,11.23853211
28,1561130640000,3.29,3.29,3.29,3.29,84.0
29,1561131720000,3.27,3.27,3.27,3.27,25.0
30,1561134360000,3.0909,3.1187,3.1187,3.0909,42.18231934
31,1561134480000,3.27,3.27,3.27,3.27,0.55884197
32,1561134720000,3.24,3.2381,3.24,3.1014,49.35726089
33,1561135380000,3.0876,3.0876,3.0876,3.0876,1.5
34,1561136820000,3.09,2.9947,3.09,2.9947,47.11324136
35,1561137480000,2.9947,2.9696,2.9947,2.9696,73.11867938
36,1561137720000,3.0876,3.0876,3.0876,3.0876,0.57803001
37,1561137960000,2.9678,2.9678,2.9678,2.9678,14.40403756
38,1561138080000,3.0876,3.0876,3.0876,3.0876,0.00750581
39,1561141920000,3.1,3.1,3.1,3.1,225.95025632
40,1561142880000,3.0942,3.0942,3.0942,3.0942,11.80766113
41,1561149720000,3.0002,3.0002,3.0002,3.0002,7.5
42,1561151700000,3.1641,3.1642,3.1642,3.1616,57.53717091
43,1561151760000,3.1652,3.16,3.1652,3.0938,92.86343641
44,1561151820000,3.16,3.1626,3.1626,3.16,86.44302063
45,1561151880000,3.1626,3.0006,3.1631,3.0006,139.1138156
46,1561151940000,3.1,3.162,3.162,3.1,99.98200390000001
47,1561152000000,3.1,3.1,3.1,3.1,375.7500778
48,1561152180000,3.1,3.09,3.1,3.09,30.0
49,1561152240000,3.09,3.1,3.1,3.09,10.0
50,1561152300000,3.1,3.1,3.1,3.1,217.0
51,1561152360000,3.1,3.1,3.1,3.1,160.0
52,1561152420000,3.0156,3.0156,3.0156,3.0156,0.022221599999999998
53,1561152480000,3.0966,3.1,3.1,3.0966,382.5
54,1561152540000,3.1592,3.1626,3.1626,3.0994,59.97332431
55,1561152600000,3.1,3.2,3.2,3.1,383.521961
56,1561152660000,3.2,3.1005,3.2,3.1005,201.18624455
57,1561152720000,3.2,3.2,3.2,3.15,329.90592869
58,1561152780000,3.2,3.2,3.2,3.2,0.51801951
59,1561152840000,3.2,3.2,3.2,3.0985,70.53782163
60,1561152900000,3.2,3.01,3.2,3.01,220.92813561
61,1561152960000,3.2,3.2,3.2,3.1117,436.21766649
62,1561153020000,3.2,3.2,3.2,3.2,8.0
63,1561153140000,3.011,3.011,3.011,3.011,0.38751258
64,1561154940000,3.199,3.2,3.2,3.199,5.0
65,1561155000000,3.2,3.2,3.2,3.2,1.0
66,1561155840000,3.2,3.2,3.2,3.2,1.0
67,1561155900000,3.1597,3.1597,3.1597,3.1597,1.0
68,1561157940000,3.1765,3.1765,3.1765,3.1765,2.32393005
69,1561158180000,3.1748,3.1769,3.1769,3.1748,1.02424372
70,1561158240000,3.1607,3.1771,3.1771,3.1607,0.11259572
71,1561158360000,3.18,3.023,3.2,3.023,453.85836607
72,1561158420000,3.2,3.2,3.2,3.2,70.0
73,1561158540000,3.2,3.0210000000000004,3.2,3.0210000000000004,234.02190191
74,1561158600000,3.2,3.0853,3.2,3.0853,73.78672727
75,1561158660000,3.2,3.2,3.2,3.2,85.8974003
76,1561158840000,3.1999,3.2,3.2,3.1999,39.55669308
77,1561159020000,3.57,3.57,3.57,3.57,1.56e-06
78,1561160760000,3.57,3.57,3.57,3.57,4.0
79,1561161300000,3.57,3.57,3.57,3.57,63.17784564
80,1561161900000,3.57,3.57,3.57,3.57,24.15385579
81,1561162140000,3.57,3.57,3.57,3.57,3.84418939
82,1561163100000,3.15,3.15,3.15,3.15,9.99999842
83,1561163280000,3.15,3.15,3.15,3.15,1.58e-06
84,1561164300000,3.0335,3.0335,3.0335,3.0335,1.644685
85,1561164720000,2.971,2.971,2.971,2.971,0.1010978
86,1561164840000,2.971,2.97,2.971,2.97,41.89890220000001
87,1561164900000,2.9679,2.9679,2.9679,2.9679,88.42355963
88,1561165380000,2.9679,2.9679,2.9679,2.9679,0.1
89,1561165500000,2.9679,2.9679,2.9679,2.9679,84.23464402
90,1561165620000,2.9679,2.9237,2.9679,2.9237,358.1862510800001
91,1561165680000,2.8797,2.8797,2.8797,2.8797,0.0998
92,1561165740000,2.8797,2.8356,2.8797,2.8356,14.76369393
93,1561166460000,2.8411,2.8411,2.8411,2.8411,42.99
94,1561166760000,2.8369999999999997,2.8356,2.8369999999999997,2.8356,43.25748174
95,1561167000000,2.7915,2.7915,2.7915,2.7915,328.833226
96,1561167060000,2.792,2.7778,2.792,2.7778,47.75761195
97,1561167120000,2.7778,2.7778,2.7778,2.7778,34.19137222
98,1561167360000,2.747,2.77,2.77,2.747,6.06192202
99,1561167660000,2.7034,2.7034,2.7034,2.7034,0.54598641
100,1561167720000,2.6666,2.6666,2.6666,2.6666,2.85920647
101,1561168440000,2.7682,2.6593,2.7698,2.6593,398.63642127
102,1561168500000,2.7053,2.7699,2.7699,2.7053,252.74529699
103,1561168920000,2.7689999999999997,2.77,2.77,2.7689999999999997,14.03582477
104,1561169340000,2.7688,2.7688,2.7688,2.7688,1.0
105,1561169460000,2.6155,2.6155,2.6155,2.6155,1.465339
106,1561170120000,2.77,2.77,2.77,2.77,0.01502593
107,1561173720000,2.6178,2.6105,2.6178,2.6105,49.76537936
108,1561174200000,2.7689999999999997,2.77,2.77,2.7689999999999997,18.56391566
109,1561174500000,2.61,2.61,2.61,2.61,73.45005838
110,1561174980000,2.7659,2.7659,2.7659,2.7659,0.02960907
111,1561175040000,2.5712,2.5712,2.5712,2.5712,3.07877504
112,1561175100000,2.5271,2.55,2.55,2.5271,112.69867337
113,1561175280000,2.5271,2.5545,2.5545,2.5271,3.64936256
114,1561175520000,2.5001,2.5001,2.5001,2.5001,44.42523072
115,1561175640000,2.5,2.5,2.5,2.5,10.0
116,1561176000000,2.6048,2.6048,2.6048,2.6048,10.0
117,1561176120000,2.501,2.5353,2.5353,2.501,0.15285934
118,1561176240000,2.54,2.54,2.54,2.54,85.7070196
119,1561177200000,2.501,2.501,2.501,2.501,6.6512
120,1561177260000,2.501,2.501,2.501,2.501,1.3305
121,1561177320000,2.5882,2.5882,2.5882,2.5882,0.22561841
122,1561177620000,2.501,2.501,2.501,2.501,3.29834361
123,1561177800000,2.501,2.501,2.501,2.501,0.1
124,1561177920000,2.5909,2.5909,2.5909,2.5909,0.49506509
125,1561178100000,2.501,2.501,2.501,2.501,38.990428
126,1561178220000,2.501,2.501,2.501,2.501,7.24937629
127,1561178280000,2.5223,2.5223,2.5223,2.5223,2.25840574
128,1561178520000,2.501,2.501,2.501,2.501,0.1
129,1561178640000,2.572,2.572,2.572,2.572,0.12408706
130,1561179180000,2.501,2.501,2.501,2.501,0.1
131,1561179300000,2.5861,2.5861,2.5861,2.5861,0.4056309
132,1561179420000,2.5842,2.5842,2.5842,2.5842,0.52971796
133,1561179480000,2.5011,2.5011,2.5011,2.5011,0.1
134,1561179600000,2.525,2.525,2.525,2.525,1.38773478
135,1561179660000,2.5261,2.5261,2.5261,2.5261,1.38773478
136,1561179720000,2.5340000000000003,2.5340000000000003,2.5340000000000003,2.5340000000000003,0.96988293
137,1561179780000,2.5382,2.5382,2.5382,2.5382,0.96988293
138,1561179900000,2.5396,2.5396,2.5396,2.5396,0.83955609
139,1561179960000,2.5362,2.5362,2.5362,2.5362,0.77059871
140,1561180200000,2.5897,2.5897,2.5897,2.5897,0.01141768
141,1561180680000,2.4831,2.439,2.4831,2.439,208.70646907
142,1561180800000,2.439,2.4,2.439,2.4,10.0
143,1561181040000,2.4019999999999997,2.3705,2.4019999999999997,2.3705,129.25864047000002
144,1561181340000,2.7,2.7,2.7,2.7,212.88321933
145,1561181400000,2.7,2.7,2.7,2.7,5.42910064
146,1561183380000,2.401,2.4041,2.4041,2.401,0.002
147,1561183440000,2.412,2.44,2.44,2.412,0.003
148,1561184220000,2.48,2.48,2.48,2.48,0.001
149,1561185240000,2.42,2.42,2.42,2.42,50.53316862
150,1561185420000,2.5,2.5,2.5,2.5,0.001
151,1561186140000,2.46,2.4219999999999997,2.46,2.4219999999999997,25.63851523
152,1561186740000,2.5536,2.5536,2.5536,2.5536,0.98257748
153,1561186860000,2.4419999999999997,2.4419999999999997,2.4419999999999997,2.4419999999999997,5.567747
154,1561186920000,2.5,2.5,2.5,2.5,230.0
155,1561186980000,2.5,2.5,2.5,2.5,40.0
156,1561187340000,2.4419999999999997,2.4419999999999997,2.4419999999999997,2.4419999999999997,46.62567302
157,1561187880000,2.4459999999999997,2.4459999999999997,2.4459999999999997,2.4459999999999997,1.06117464
158,1561188960000,2.45,2.447,2.45,2.447,116.18136979999998
159,1561189020000,2.4419999999999997,2.4419999999999997,2.4419999999999997,2.4419999999999997,70.18079624
160,1561189380000,2.4401,2.4401,2.4401,2.4401,46.32683313
161,1561189500000,2.4401,2.4401,2.4401,2.4401,46.36617591
162,1561190100000,2.42,2.42,2.42,2.42,3.0
163,1561190280000,2.432,2.432,2.432,2.432,0.08823702
164,1561190700000,2.5351,2.5351,2.5351,2.5351,0.06187969
165,1561196160000,2.53,2.53,2.53,2.53,8.5
166,1561196220000,2.53,2.53,2.53,2.53,10.0
167,1561196640000,2.53,2.53,2.53,2.53,0.02922213
168,1561196700000,2.53,2.53,2.53,2.53,15.49016688
169,1561196820000,2.4759,2.4759,2.4759,2.4759,407.90007908
170,1561198500000,2.42,2.42,2.42,2.42,51.51544300000001
171,1561198620000,2.42,2.42,2.42,2.42,0.02443623
172,1561198740000,2.42,2.42,2.42,2.42,0.02329589
173,1561198860000,2.4217,2.4217,2.4217,2.4217,0.02480363
174,1561198980000,2.4233,2.4233,2.4233,2.4233,0.02681286
175,1561199100000,2.4249,2.4249,2.4249,2.4249,1.611417
176,1561199220000,2.4265,2.4265,2.4265,2.4265,1.611408
177,1561199340000,2.4778,2.4778,2.4778,2.4778,0.61957927
178,1561201320000,2.4682,2.53,2.53,2.4682,40.58435421
179,1561204020000,2.44,2.44,2.44,2.44,831.8099946300001
180,1561204260000,2.4351,2.4351,2.4351,2.4351,1.5832030000000001
181,1561204380000,2.444,2.444,2.444,2.444,1.5831959999999998
182,1561205640000,2.53,2.53,2.53,2.53,0.55669882
183,1561206360000,2.4453,2.4453,2.4453,2.4453,0.0248804
184,1561207260000,2.53,2.5371,2.5371,2.53,145.40637946
185,1561207380000,2.529,2.529,2.529,2.529,82.0
186,1561208220000,2.48,2.48,2.48,2.48,0.134125
187,1561208280000,2.48,2.48,2.48,2.48,49.27633563000001
188,1561208400000,2.4793,2.4793,2.4793,2.4793,0.29285669
189,1561208700000,2.4504,2.45,2.4504,2.45,518.09893052
190,1561208820000,2.4337,2.42,2.4337,2.42,58.95440948
191,1561209240000,2.46,2.46,2.46,2.46,17.63984276
192,1561209420000,2.421,2.421,2.421,2.421,15.448839999999999
193,1561209600000,2.421,2.421,2.421,2.421,27.689484999999998
194,1561209900000,2.421,2.38,2.421,2.38,303.07106691
195,1561210140000,2.38,2.3707,2.38,2.3707,249.99999789
196,1561210200000,2.3707,2.3508,2.3707,2.3508,2.61937611
197,1561210320000,2.3508,2.3508,2.3508,2.3508,1.9193529999999999
198,1561210440000,2.3508,2.3508,2.3508,2.3508,0.0999
199,1561210560000,2.3508,2.3511,2.3511,2.32,11.41229206
200,1561210740000,2.3825,2.3464,2.3825,2.3464,17.21152716
201,1561210800000,2.3802,2.3802,2.3802,2.3802,18.717032500000002
202,1561210860000,2.32,2.3068,2.32,2.3068,23.72729317
203,1561211160000,2.32,2.32,2.32,2.32,1.11261166
204,1561211760000,2.3,2.2627,2.3,2.2627,438.94075886
205,1561211820000,2.27,2.27,2.27,2.27,20.0
206,1561212060000,2.2627,2.24,2.2627,2.24,62.18947366
207,1561212120000,2.24,2.24,2.24,2.24,19.99999777
208,1561212720000,2.2603,2.222,2.2603,2.222,7.19356963
209,1561212900000,2.222,2.22,2.222,2.22,11.024532
210,1561213140000,2.22,2.22,2.22,2.22,0.02883547
211,1561213260000,2.22,2.22,2.22,2.22,2.040511
212,1561213380000,2.22,2.22,2.22,2.22,25.9981715
213,1561213800000,2.22,2.22,2.22,2.22,95.91380265
214,1561213920000,2.2651,2.2651,2.2651,2.2651,0.622894
215,1561213980000,2.2186,2.1746,2.2186,2.1746,51.48121798
216,1561214040000,2.174,2.15,2.174,2.15,161.81145115
217,1561214100000,2.15,2.12,2.15,2.12,60.11253773
218,1561214160000,2.1,2.1,2.1,2.1,19.99997529
219,1561214460000,2.12,2.11,2.12,2.11,82.60707445999998
220,1561215060000,2.1102,2.1101,2.1102,2.1101,0.005
221,1561215180000,2.1398,2.1398,2.1398,2.1398,0.86218215
222,1561215360000,2.12,2.12,2.12,2.12,1.0
223,1561215480000,2.1208,2.121,2.121,2.1208,11.57454554
224,1561215540000,2.121,2.1249,2.125,2.121,0.8363646
225,1561215600000,2.125,2.125,2.125,2.125,0.16664040000000002
226,1561215660000,2.125,2.125,2.125,2.125,14.86628913
227,1561215780000,2.1397,2.1397,2.1397,2.1397,3.93584154
228,1561216200000,2.14,2.14,2.14,2.14,1.0
229,1561216440000,2.1916,2.2254,2.2254,2.1916,38.84400100000001
230,1561216560000,2.2272,2.2272,2.2272,2.2272,18.47260316
231,1561217220000,2.1604,2.1604,2.1604,2.1604,1.93203545
232,1561217820000,2.2861,2.2861,2.2861,2.2861,1.46604397
233,1561220040000,2.2056,2.2056,2.2056,2.2056,13.67913262
234,1561220100000,2.2056,2.2056,2.2056,2.2056,13.62029589
235,1561220160000,2.2056,2.2056,2.2056,2.2056,33.697821000000005
