,time,open,close,high,low,volume
0,1596032520000,1.2,1.2,1.2,1.2,3.0
1,1596032940000,1.3471,1.3471,1.3471,1.3471,3.0
2,1596033660000,1.3624,1.3624,1.3624,1.3624,10.0
3,1596033780000,1.4045,1.4045,1.4045,1.4045,1.0
4,1596036240000,1.4502,1.4502,1.4502,1.4502,3.0
5,1596036900000,1.4149,1.4149,1.4149,1.4149,2.0
6,1596038760000,1.3094,1.3094,1.3094,1.3094,3.0
7,1596041040000,1.3487,1.3487,1.3487,1.3487,3.0
8,1596049080000,1.294,1.294,1.294,1.294,2.0
9,1596052980000,1.26,1.26,1.26,1.26,1000.0
10,1596062280000,1.2444,1.2444,1.2444,1.2444,464.35
11,1596065640000,1.2083,1.2083,1.2083,1.2083,20.0
12,1596065760000,1.2,1.2,1.2,1.2,7.0
13,1596066900000,1.1582,1.1582,1.1582,1.1582,4.0
14,1596067020000,1.1524,1.1524,1.1524,1.1524,250.0
15,1596068580000,1.1,1.1,1.1,1.1,250.0
16,1596069900000,1.23,1.23,1.23,1.23,20.0
17,1596075540000,1.167,1.167,1.167,1.167,100.0
18,1596075900000,1.063,1.063,1.063,1.063,8.0
19,1596079740000,1.198,1.198,1.198,1.198,250.0
20,1596082380000,1.061,1.0590000000000002,1.061,1.0590000000000002,750.0
21,1596082620000,1.097,1.048,1.097,1.048,400.0
22,1596083340000,0.9670000000000001,0.9670000000000001,0.9670000000000001,0.9670000000000001,10.0
23,1596084840000,0.91,0.91,0.91,0.91,670.84
24,1596085560000,0.8068,0.8068,0.8068,0.8068,100.0
25,1596085800000,0.7052,0.6954,0.7052,0.6954,1818.03
26,1596088440000,0.7555,0.7555,0.7555,0.7555,100.0
27,1596096000000,0.8,0.78,0.8,0.78,791.1
28,1596096060000,0.7809999999999999,0.7809999999999999,0.7809999999999999,0.7809999999999999,200.0
29,1596096780000,0.7709999999999999,0.7709999999999999,0.7709999999999999,0.7709999999999999,200.0
30,1596096840000,0.764,0.757,0.764,0.757,600.0
31,1596096900000,0.75,0.75,0.75,0.75,400.0
32,1596096960000,0.748,0.748,0.748,0.748,200.0
33,1596100860000,0.733,0.7254,0.733,0.7254,400.0
34,1596100980000,0.7285,0.7285,0.7285,0.7285,200.0
35,1596101160000,0.7090000000000001,0.7090000000000001,0.7090000000000001,0.7090000000000001,20.0
36,1596101220000,0.7,0.6920000000000001,0.7,0.6920000000000001,2400.0
37,1596101520000,0.6712,0.6712,0.6712,0.6712,10.0
38,1596101580000,0.6597,0.6597,0.6597,0.6597,10.0
39,1596101640000,0.69,0.69,0.69,0.69,200.0
40,1596101880000,0.68,0.68,0.68,0.68,200.0
