,time,open,close,high,low,volume
0,1559042340000,0.2,0.2,0.2,0.2,10.0
1,1559043240000,0.17,0.17,0.17,0.17,100.0
2,1559043360000,0.1,0.1,0.1,0.1,200.0
3,1559043540000,0.090001,0.09,0.090001,0.09,100.001
4,1559044740000,0.086,0.086,0.086,0.086,500.0
5,1559044920000,0.0856,0.0856,0.0856,0.0856,11.0
6,1559047440000,0.072336,0.072335,0.072336,0.072335,1000.0010000000001
7,1559048460000,0.071,0.071,0.071,0.071,200.0
8,1559048700000,0.070001,0.070001,0.070001,0.07,100.00200000000001
9,1559056380000,0.0694,0.0694,0.0694,0.0694,200.0
10,1559058960000,0.0674,0.0674,0.0674,0.0674,18.0
11,1559062620000,0.0651,0.0651,0.0651,0.0651,100.0
12,1559063160000,0.062999,0.063,0.063,0.062999,200.0
13,1559064360000,0.063,0.063,0.063,0.063,2043.078
14,1559064660000,0.063,0.063,0.063,0.063,3144.276
15,1559064720000,0.063,0.063,0.063,0.063,2978.946
16,1559068200000,0.063,0.063,0.063,0.063,10.0
17,1559072160000,0.063,0.063,0.063,0.063,644.27880476
18,1559072460000,0.065,0.065,0.065,0.065,700.0
19,1559072820000,0.065,0.065,0.065,0.065,800.0
20,1559074020000,0.06489,0.06489,0.06489,0.06489,1000.0
21,1559074140000,0.062,0.062,0.062,0.062,899.1
22,1559074560000,0.06489,0.06489,0.06489,0.06489,454.00713846
23,1559075100000,0.062001,0.062,0.062001,0.062,961.038
24,1559075820000,0.061001,0.061,0.061001,0.061,300.0
25,1559076120000,0.061001,0.061,0.061001,0.061,42.8759
26,1559077260000,0.061001,0.061,0.061001,0.061,50.94140672
27,1559078640000,0.0647,0.0647,0.0647,0.0647,483.45
28,1559078700000,0.0647,0.06489,0.06489,0.0647,100.0
29,1559078940000,0.0647,0.06489,0.06489,0.0647,966.90015372
30,1559080860000,0.0625,0.06,0.0625,0.06,992.007
31,1559082720000,0.0637,0.0637,0.0637,0.0637,12.55811137
32,1559085420000,0.060001,0.06,0.060001,0.06,444.54509851
33,1559091360000,0.044444,0.044444,0.044444,0.044444,783.45
34,1559111460000,0.055,0.055,0.055,0.055,781.8831
35,1559111520000,0.074998,0.074998,0.074998,0.074998,791.68167151
36,1559122920000,0.046666,0.046666,0.046666,0.046666,644.27880476
37,1559125560000,0.065,0.065,0.065,0.065,300.0
38,1559125620000,0.065,0.065,0.065,0.065,100.0
39,1559130360000,0.06450800000000001,0.0649,0.0649,0.06450800000000001,3000.0
40,1559136600000,0.047787,0.047787,0.047787,0.047787,698.6
41,1559140680000,0.0637,0.0642,0.0642,0.0637,1145.30064443
42,1559152740000,0.061765,0.061765,0.061765,0.061765,658.5932216
43,1559153880000,0.061765,0.061765,0.061765,0.061765,2136.29918112
44,1559153940000,0.060001,0.060001,0.060001,0.060001,54.0
45,1559154720000,0.061701,0.0617,0.061701,0.0617,195.23995964
46,1559156760000,0.060999,0.061,0.061,0.060999,578.2424590200002
47,1559174160000,0.05,0.05,0.05,0.05,400.0
48,1559389200000,0.0465,0.0465,0.0465,0.0465,1200.0
49,1559487120000,0.045002,0.045001,0.045002,0.045001,799.83318124
50,1559626440000,0.045002,0.045,0.045002,0.045,2003.0
51,1559626800000,0.045001,0.045,0.045001,0.045,998.57
52,1559672040000,0.045001,0.045,0.045001,0.045,3961.035
53,1559675340000,0.045001,0.043,0.045001,0.043,10736.253
54,1559675400000,0.043001,0.043,0.043001,0.043,1430.568
55,1559675460000,0.043001,0.043,0.043001,0.043,2117.88
56,1559677560000,0.043001,0.043,0.043001,0.043,6051.941999999999
57,1560136200000,0.043,0.043,0.043,0.043,399.2
58,1560195060000,0.060998000000000004,0.060998000000000004,0.060998000000000004,0.060998000000000004,121.0
59,1560435960000,0.060997,0.074999,0.074999,0.060997,2535.42633016
60,1560436020000,0.08,0.089999,0.09,0.08,856.4169607399998
61,1560436140000,0.49699,0.49700000000000005,0.49700000000000005,0.49699,147.51098801
62,1560436500000,0.044101,0.0441,0.044101,0.0441,132.27557035
63,1560447360000,0.34986,0.365,0.365,0.34986,845.67871195
64,1560447600000,0.29808,0.29808,0.29808,0.29808,131.50684932
65,1560448560000,0.070001,0.07,0.070001,0.07,392.13542414
66,1560448620000,0.06348,0.06,0.06348,0.06,1328.16259787
67,1560449760000,0.06,0.06,0.06,0.06,999.0
68,1560451080000,0.065001,0.065,0.065001,0.065,999.0
69,1560452220000,0.064651,0.064651,0.064651,0.064651,400.0
70,1560458520000,0.064451,0.064451,0.064451,0.064451,128.12911008
71,1560465960000,0.0632,0.0632,0.0632,0.0632,485.11586757
72,1560467400000,0.063001,0.063001,0.063001,0.063001,58.0
73,1560474780000,0.051001,0.051,0.051001,0.051,1117.881
74,1560490980000,0.063,0.063,0.063,0.063,133.04578584
75,1560493740000,0.062901,0.0629,0.062901,0.0629,217.0
76,1560493860000,0.062899,0.0629,0.0629,0.062899,500.0
77,1560493920000,0.051001,0.049512,0.051001,0.049512,500.0
78,1560503760000,0.059997,0.059997,0.059997,0.059997,1114.0
79,1560503820000,0.059997,0.059997,0.059997,0.059997,1111.0
80,1560505140000,0.059997,0.059997,0.059997,0.059997,1494.87949714
81,1560509460000,0.055001,0.055,0.055001,0.055,2386.611
82,1560509880000,0.055001,0.055,0.055001,0.055,829.3889999999999
83,1560511140000,0.0581,0.0581,0.0581,0.0581,127.97544576
84,1560513840000,0.049601,0.0496,0.049601,0.0496,1882.116
85,1560515880000,0.049601,0.049513999999999996,0.049601,0.049513999999999996,2345.65199999
86,1560515940000,0.049513999999999996,0.048,0.049513999999999996,0.048,6488.44277973
87,1560516000000,0.048001,0.048,0.048001,0.048,1686.3120000000001
88,1560526740000,0.049000999999999996,0.048,0.049000999999999996,0.048,1250.748
89,1560529980000,0.048001,0.048,0.048001,0.048,3088.908
90,1560531180000,0.048001,0.048,0.048001,0.048,224.07216479
91,1560535680000,0.047999,0.045,0.047999,0.045,599.4
92,1560537600000,0.047999,0.048,0.048,0.047999,1401.69323177
93,1560626400000,0.046501,0.0465,0.046501,0.0465,1399.04853026
94,1560675420000,0.046523,0.045,0.046523,0.045,499.0
95,1560680880000,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,500.0
96,1560691020000,0.057978999999999996,0.057978999999999996,0.057978999999999996,0.057978999999999996,100.40060759999999
97,1560697200000,0.056998,0.057,0.057,0.056998,573.58787593
98,1560703500000,0.05599,0.05599,0.05599,0.05599,209.91389732
99,1560745020000,0.050001,0.045,0.050001,0.045,2694.6577629999997
100,1560745680000,0.045001,0.0441,0.045001,0.0441,1685.8384868
101,1560748920000,0.055,0.055,0.055,0.055,1000.0
102,1560790680000,0.05497899999999999,0.05497899999999999,0.05497899999999999,0.05497899999999999,502.0
103,1560813240000,0.05497899999999999,0.05497899999999999,0.05497899999999999,0.05497899999999999,65.81289715
104,1560885960000,0.045501,0.0455,0.045501,0.0455,1551.0
105,1560938160000,0.043187,0.043187,0.043187,0.043187,1247.5
106,1560964500000,0.0542,0.0555,0.0555,0.0542,6479.24982644
107,1560968280000,0.055,0.0629,0.0629,0.055,1249.501
108,1560971820000,0.062899,0.0629,0.0629,0.062899,346.14157178
109,1560972360000,0.07,0.07,0.07,0.07,589.13843663
110,1560975180000,0.07787899999999999,0.07787899999999999,0.07787899999999999,0.07787899999999999,1337.39562241
111,1560976620000,0.07787899999999999,0.07787899999999999,0.07787899999999999,0.07787899999999999,645.69393967
112,1560976980000,0.078,0.078,0.078,0.078,786.62800367
113,1560977040000,0.078,0.08,0.08,0.078,3073.40033961
114,1560996000000,0.050001,0.05,0.050001,0.05,1000.0
115,1561171020000,0.051011,0.05101,0.051011,0.05101,572.44070018
116,1561278480000,0.07699600000000001,0.078263,0.078263,0.07699600000000001,2555.6782031
117,1561288020000,0.071,0.071,0.071,0.071,845.07042253
118,1561526100000,0.051035000000000004,0.05101,0.051035000000000004,0.05101,1847.35917245
119,1561533180000,0.057999999999999996,0.057999999999999996,0.057999999999999996,0.057999999999999996,194.13321568
120,1561538280000,0.077899,0.077899,0.077899,0.077899,100.0
121,1561565340000,0.076998,0.076998,0.076998,0.076998,63.2979353
122,1561566480000,0.053101,0.0531,0.053101,0.0531,1494.86133013
123,1561581780000,0.053001,0.053,0.053001,0.053,6058.0
124,1561733340000,0.0769,0.0769,0.0769,0.0769,100.0
125,1561786740000,0.043501,0.0435,0.043501,0.0435,63.17133942939999
126,1561810020000,0.071998,0.07200000000000001,0.07200000000000001,0.071998,892.88711953
127,1561834200000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,76.0
128,1561841100000,0.071641,0.071642,0.071642,0.071641,222.0
129,1562102940000,0.068499,0.0685,0.0685,0.068499,1360.54746525
130,1562106900000,0.07001,0.07001,0.07001,0.07001,446.65174775
131,1562107380000,0.07001,0.07001,0.07001,0.07001,5.92353332
132,1562114820000,0.07400000000000001,0.07400000000000001,0.07400000000000001,0.07400000000000001,169.897043
133,1562153160000,0.074399,0.0744,0.0744,0.074399,1064.64961581
134,1562159460000,0.076,0.076,0.076,0.076,158.841
135,1562159580000,0.077584,0.077899,0.077899,0.077584,6537.01574052
136,1562163420000,0.077446,0.077446,0.077446,0.077446,619.23186671
137,1562170860000,0.085,0.085,0.085,0.085,273.97653294
138,1562194020000,0.051001,0.05,0.051001,0.05,4165.150345
139,1562225640000,0.077999,0.078,0.078,0.077999,2534.0648226000008
140,1562226540000,0.055001,0.055,0.055001,0.055,2528.0
141,1562335500000,0.078,0.085,0.085,0.078,1972.98636888
142,1562335560000,0.09,0.1,0.1,0.09,1313.831823830593
143,1562340780000,0.056101,0.0561,0.056101,0.0561,199.6
144,1562427900000,0.056307,0.0561,0.056307,0.0561,2420.3674985999996
145,1562434260000,0.074998,0.074998,0.074998,0.074998,58.0
146,1562453580000,0.054100999999999996,0.0541,0.054100999999999996,0.0541,377.7590532
147,1562454060000,0.0748,0.0748,0.0748,0.0748,58.0
148,1562758920000,0.052604,0.0526,0.052604,0.0526,2761.08403875
149,1562770860000,0.052611,0.052610000000000004,0.052611,0.052610000000000004,1496.2792384000002
150,1562955540000,0.047002999999999996,0.047002999999999996,0.047002999999999996,0.047002999999999996,600.0
151,1563055260000,0.047002999999999996,0.047002999999999996,0.047002999999999996,0.047002999999999996,609.784096
152,1563112320000,0.047002999999999996,0.044000000000000004,0.047002999999999996,0.044000000000000004,1317.192562
153,1563149760000,0.043002,0.043001,0.043002,0.043001,4176.07518457
154,1563149820000,0.043001,0.043001,0.043002,0.043001,3827.98913656
155,1563150420000,0.043002,0.043001,0.043002,0.043001,2042.00627006
156,1563150480000,0.043002,0.043001,0.043002,0.043001,116.0
157,1563150540000,0.043002,0.042,0.043002,0.042,303.21669389
158,1563187860000,0.068866,0.068866,0.068866,0.068866,200.0
159,1563200100000,0.0687,0.0687,0.0687,0.0687,75.51004368
160,1564432740000,0.0687,0.0687,0.0687,0.0687,100.0
161,1564432800000,0.027999999999999997,0.028999999999999998,0.0687,0.027999999999999997,564.4899563199998
162,1564432860000,0.067,0.030010000000000002,0.07385,0.030010000000000002,1328.79348304
163,1564432920000,0.031,0.07,0.07,0.031,1472.0
164,1564432980000,0.033,0.03701,0.068,0.033,4610.0
165,1564664580000,0.037215,0.037215,0.037215,0.037215,74.0
166,1565816460000,0.06783,0.069999,0.069999,0.031,1155.0
167,1565816520000,0.032,0.069999,0.069999,0.032,1318.95348303
168,1565816580000,0.033030000000000004,0.069,0.069,0.033030000000000004,1190.0
169,1565816640000,0.03403,0.0073,0.0679,0.0073,2625.0
170,1565842440000,0.025764,0.025752999999999998,0.025764,0.025752999999999998,2656.23688
171,1565843040000,0.025754000000000003,0.025752999999999998,0.025754000000000003,0.025752999999999998,744.76800477
172,1565843220000,0.025754000000000003,0.025754000000000003,0.025754000000000003,0.025754000000000003,74.0
173,1565843280000,0.025752999999999998,0.025752999999999998,0.025752999999999998,0.025752999999999998,0.40979061
174,1565966700000,0.0545,0.0545,0.0545,0.0545,100.0
175,1566253980000,0.0543,0.028444,0.0543,0.028444,155.0
176,1566254040000,0.029244,0.0543,0.0543,0.029244,1075.0
177,1566254100000,0.0302,0.0302,0.0302,0.0302,970.0
178,1566310080000,0.032011000000000005,0.032,0.032011000000000005,0.032,919.9389776
179,1566311340000,0.027612,0.027612,0.027612,0.027612,48.1210224
180,1566908760000,0.023455,0.023455,0.023455,0.023455,2994.0
181,1566909000000,0.029622000000000002,0.029623000000000003,0.029623000000000003,0.029622000000000002,3088.16680854
182,1567334280000,0.023863,0.023863,0.023863,0.023863,84.0
183,1567670220000,0.00744,0.00744,0.00744,0.00744,3299.84117
184,1567824240000,0.0077,0.0075,0.0077,0.0075,20999.0
185,1567854720000,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,85.0
186,1567854780000,0.020003,0.020003,0.020003,0.020003,4960.0
187,1567860720000,0.020000999999999998,0.020000999999999998,0.020000999999999998,0.020000999999999998,99.43633
