,time,open,close,high,low,volume
0,1600862460000,4.1988,4.1927,4.2333,4.1927,218.62121969
1,1600863600000,4.1355,4.1355,4.1355,4.1355,100.0
2,1600864140000,4.1263,4.1263,4.1263,4.1263,2.01110286
3,1600864560000,4.1626,4.1626,4.1626,4.1626,100.0
4,1600864740000,4.1899,4.1899,4.1899,4.1899,226.0719
5,1600864800000,4.1658,4.1554,4.1658,4.1554,85.33717442
6,1600864860000,4.1914,4.1914,4.1914,4.1914,40.11446514
7,1600864980000,4.2704,4.2552,4.2704,4.2552,78.57836911999998
8,1600865100000,4.3109,4.3109,4.3109,4.3109,13.19103314
9,1600865220000,4.2925,4.2991,4.2991,4.2925,35.67161348
10,1600865340000,4.3669,4.3669,4.3669,4.3669,233.3719
11,1600865460000,4.2971,4.297,4.2971,4.297,133.31401699999998
12,1600866000000,4.3142,4.3142,4.3142,4.3142,45.0
13,1600867260000,4.4194,4.508,4.508,4.4184,143.75281277
14,1600868340000,4.5748,4.5748,4.5748,4.5748,100.0
15,1600869840000,4.45,4.45,4.45,4.45,7.958424099999999
16,1600870380000,4.2616,4.2568,4.2616,4.2568,26.50216905
17,1600872300000,4.3576,4.3544,4.3576,4.3544,98.03256001
18,1600872360000,4.357,4.39,4.39,4.357,1575.43112818
19,1600872420000,4.39,4.39,4.39,4.39,1523.98343882
20,1600874220000,4.2829,4.2829,4.2829,4.2829,13.16010663
21,1600874280000,4.2401,4.25,4.25,4.2401,100.0
22,1600874340000,4.21,4.21,4.21,4.21,7.5
23,1600874400000,4.25,4.25,4.25,4.25,64.23988886000001
24,1600874460000,4.25,4.25,4.25,4.25,35.76011114
25,1600874520000,4.223,4.223,4.223,4.223,15.0
26,1600874760000,4.1947,4.2,4.2,4.1947,100.0
27,1600874820000,4.15,4.15,4.15,4.15,100.0
28,1600874880000,4.1011,4.1,4.1063,4.1,104.06677789
29,1600874940000,4.1,4.0556,4.1,4.0556,73.40284554
30,1600875360000,4.1454,4.1454,4.1454,4.1454,230.997
31,1600876260000,4.1261,4.1261,4.1261,4.1261,16.97832501
32,1600876320000,4.1261,4.1261,4.1261,4.1261,70.29470567
33,1600876560000,4.0631,4.0631,4.0631,4.0631,34.67573826
34,1600876800000,4.093,4.0889999999999995,4.0953,4.0889999999999995,44.53294456
35,1600876860000,4.0887,4.1857,4.1857,4.0887,106.0100871
36,1600876920000,4.1193,4.1193,4.1193,4.1193,39.34099556
37,1600879140000,4.2135,4.2158,4.2193,4.2101,233.42103184
38,1600879200000,4.2179,4.2179,4.2179,4.2179,236.9522
39,1600882740000,4.2221,4.2185,4.2221,4.2185,150.0
40,1600882800000,4.3034,4.3034,4.3034,4.3034,7.57920971
41,1600882860000,4.3031,4.3031,4.3031,4.3031,4.89608605
42,1600882920000,4.2747,4.2704,4.2922,4.2704,140.79714275
43,1600883520000,4.2496,4.2496,4.2496,4.2496,0.745273
44,1600884120000,4.1771,4.1889,4.1889,4.1771,273.89977711
45,1600884720000,4.2002,4.2002,4.2002,4.2002,200.0
46,1600884900000,4.2516,4.2515,4.2516,4.2515,200.0
47,1600885500000,4.1703,4.1703,4.1703,4.1703,26.24389012
48,1600885920000,4.1473,4.149,4.149,4.1473,71.45482862
49,1600885980000,4.1401,4.141,4.141,4.1401,37.09800443
50,1600886100000,4.1741,4.2322,4.2322,4.1741,44.88948446
51,1600886160000,4.22,4.22,4.22,4.22,50.0
52,1600887300000,4.111000000000001,4.1052,4.111000000000001,4.1052,112.82170404
53,1600887360000,4.1053,4.1052,4.1053,4.1052,229.83137075
54,1600887420000,4.1,4.0867,4.1,4.0867,116.33513799999999
55,1600887600000,4.0215,4.0215,4.0215,4.0215,47.08905071
56,1600887780000,4.0306,4.0306,4.0306,4.0306,8.75395666
57,1600887840000,4.0192,4.0192,4.0192,4.0192,11.43084752
58,1600887960000,3.9498,3.9498,3.9498,3.9498,10.87809901
59,1600888080000,3.8345,3.8345,3.8345,3.8345,100.0
60,1600888200000,3.7907,3.7907,3.7907,3.7907,10.9693503
61,1600888260000,3.8051,3.8051,3.8051,3.8051,167.052352
62,1600888320000,3.7938,3.8099,3.8099,3.7938,516.3017
63,1600888380000,3.8554,3.8554,3.8554,3.8554,10.9693503
64,1600888680000,3.7963,3.7963,3.7963,3.7963,100.0
65,1600889100000,3.7763,3.8137,3.8137,3.7763,222.92700954000003
66,1600889160000,3.7721,3.7721,3.7721,3.7721,246.7322
67,1600889820000,3.783,3.783,3.783,3.783,5.0
68,1600890300000,3.8048,3.806,3.806,3.7736,508.07140674
69,1600890360000,3.7379,3.7324,3.7379,3.7324,123.11487568
70,1600890420000,3.7348,3.7348,3.7348,3.7348,100.0
71,1600890660000,3.7176,3.7106,3.7176,3.7106,40.2733224
72,1600890960000,3.7632,3.7632,3.7632,3.7632,48.15115632
73,1600891020000,3.7207,3.7207,3.7207,3.7207,26.139568
74,1600892340000,3.8623,3.8815,3.8815,3.8599,370.62965501
75,1600892400000,3.8713,3.8713,3.8713,3.8713,216.71500613
76,1600893300000,3.71,3.7137,3.7137,3.71,133.86653943
77,1600893360000,3.71,3.665,3.71,3.665,78.59843731
78,1600893420000,3.66,3.6524,3.66,3.6508,106.09432875
79,1600893840000,3.61,3.6010000000000004,3.61,3.6010000000000004,190.05412537
80,1600893900000,3.6010000000000004,3.6010000000000004,3.6010000000000004,3.6010000000000004,15.36256367
81,1600894080000,3.5562,3.5562,3.5562,3.5562,300.0
82,1600894380000,3.4337,3.4337,3.4337,3.4337,42.87721062
83,1600894500000,3.4668,3.4668,3.4668,3.4668,11.43084752
84,1600894860000,3.6069999999999998,3.6069999999999998,3.6069999999999998,3.6069999999999998,263.6059
85,1600895040000,3.5443,3.5443,3.5443,3.5443,30.31274729
86,1600895100000,3.5161,3.5161,3.5161,3.5161,43.27720289
87,1600895640000,3.5869,3.5869,3.5869,3.5869,12.45715739
88,1600896540000,3.4644,3.4644,3.4644,3.4644,42.82691427
89,1600896900000,3.4997,3.4997,3.4997,3.4997,281.2718
90,1600897200000,3.5328,3.5149,3.5328,3.5149,50.63349907
91,1600898100000,3.5363,3.5364,3.5364,3.5363,84.23300444
92,1600898160000,3.5562,3.5562,3.5562,3.5562,45.97574877
93,1600898820000,3.6309,3.6309,3.6309,3.6309,30.015357
94,1600898880000,3.6818,3.6793,3.6818,3.6793,74.61907059
95,1600899240000,3.6647,3.6647,3.6647,3.6647,29.46080367
96,1600901580000,3.5631,3.5581,3.5631,3.5581,131.73383341
97,1600902180000,3.6318,3.6318,3.6318,3.6318,263.8682
98,1600902540000,3.5344,3.5247,3.5344,3.5247,86.45798300999998
99,1600902660000,3.5579,3.5579,3.5579,3.5579,5.20069249
100,1600903200000,3.5085,3.5085,3.5085,3.5085,271.5717
101,1600903260000,3.4641,3.4632,3.4641,3.4621,137.2549572
102,1600905120000,3.5010000000000003,3.5010000000000003,3.5010000000000003,3.5010000000000003,44.89216542
103,1600905180000,3.5227,3.529,3.529,3.5227,526.5903000000002
104,1600905240000,3.5109,3.5463,3.5463,3.5109,562.63681551
105,1600905360000,3.5111,3.5111,3.5111,3.5111,41.8858683
106,1600905900000,3.5185,3.5185,3.5185,3.5185,270.9674
107,1600906140000,3.4557,3.4557,3.4557,3.4557,5.28128755
108,1600906560000,3.4846,3.4485,3.4846,3.4485,155.12440164
109,1600906620000,3.4789,3.4789,3.4789,3.4789,280.5654
110,1600906740000,3.487,3.4786,3.487,3.4786,77.63292965
111,1600906920000,3.5146,3.5146,3.5146,3.5146,31.58632249
112,1600907580000,3.5739,3.5738,3.5739,3.5738,100.0
113,1600907640000,3.5738,3.5367,3.5738,3.5367,240.1986474
114,1600908720000,3.5564,3.5423,3.5564,3.5423,134.99292175
115,1600913700000,3.6877,3.6877,3.6877,3.6877,43.44126358
116,1600914240000,3.7310000000000003,3.7310000000000003,3.7310000000000003,3.7310000000000003,35.65731753
117,1600915800000,3.7504,3.7366,3.7504,3.7366,71.08208615999997
118,1600923060000,3.5948,3.5894,3.5948,3.5894,100.0
119,1600925400000,3.6709,3.6709,3.6709,3.6709,52.09918815
120,1600925460000,3.6208,3.6315,3.6315,3.6208,331.65374433
121,1600928460000,3.6509,3.6508,3.6509,3.6508,98.61068448
122,1600928640000,3.6508,3.6508,3.6508,3.6508,1.38931552
123,1600928820000,3.7475,3.7474,3.7475,3.7474,100.0
124,1600932480000,3.8329,3.8245,3.8329,3.8245,100.0
125,1600932600000,3.8626,3.86,3.8626,3.86,100.0
126,1600932660000,3.8713,3.8712,3.8713,3.8712,190.0
127,1600932780000,3.8214,3.8214,3.8214,3.8214,206.5348
128,1600933500000,3.8465,3.8454,3.8465,3.8454,250.0
129,1600934940000,3.8733,3.8732,3.8733,3.8732,250.2509508
130,1600936200000,4.0618,4.0302,4.0618,4.0302,468.7305073600001
131,1600936620000,4.1046,4.1045,4.1046,4.1045,254.54462414
132,1600936740000,4.1701,4.17,4.1701,4.17,124.80175153
133,1600936800000,4.1942,4.1942,4.1942,4.1739,314.24482002
134,1600936980000,4.1756,4.1719,4.1769,4.1719,220.30563769999998
135,1600937100000,4.1963,4.1963,4.1963,4.1963,39.47827845
136,1600937160000,4.1871,4.1869,4.1871,4.1869,92.44003145
137,1600938060000,4.185,4.185,4.185,4.185,28.129334000000004
138,1600938120000,4.185,4.185,4.185,4.185,38.073133
139,1600938300000,4.2135,4.2182,4.2182,4.2135,124.17572050000001
140,1600938780000,3.9952,3.9952,3.9952,3.9952,14.08445411
141,1600938840000,3.9911,3.9911,3.9911,3.9911,40.95137481
142,1600939020000,4.041,4.041,4.041,4.041,4.66317106
143,1600939560000,4.0236,4.0236,4.0236,4.0236,2.81746358
144,1600939740000,4.023,4.023,4.023,4.023,29.67783008
145,1600939800000,3.9882,4.0015,4.0015,3.9882,51.78628148
146,1600940880000,4.0408,4.0408,4.0408,4.0408,2.91496541
147,1600941660000,4.0365,4.0365,4.0365,4.0365,2.62602942
148,1600942740000,4.1758,4.1758,4.1758,4.1758,6.07968139
149,1600942920000,4.175,4.175,4.175,4.175,2.5736352000000005
150,1600942980000,4.1504,4.1504,4.1504,4.1504,2.56361729
151,1600943400000,4.1382,4.1382,4.1382,4.1382,2.52315049
152,1600943460000,4.1219,4.0969999999999995,4.1219,4.0969999999999995,36.94103605
