,time,open,close,high,low,volume
0,1600862580000,4.1984,4.2073,4.2073,4.1984,130.88112588
1,1600864140000,4.1174,4.1174,4.1174,4.1174,19.0
2,1600864740000,4.1786,4.1786,4.1786,4.1786,0.56673377
3,1600864800000,4.1571,4.1514,4.1571,4.1514,93.97563016
4,1600864860000,4.1823,4.1823,4.1823,4.1823,40.70729066
5,1600864980000,4.2616,4.2313,4.2616,4.2313,52.81528216
6,1600865880000,4.3263,4.3263,4.3263,4.3263,12.296700999999999
7,1600866780000,4.2424,4.2424,4.2424,4.2424,3.03904232
8,1600867260000,4.499,4.4997,4.5038,4.499,99.86649953
9,1600869420000,4.418,4.418,4.418,4.418,4.75340178
10,1600870380000,4.2493,4.2493,4.2493,4.2493,31.92944405
11,1600872300000,4.345,4.4198,4.4198,4.345,2000.0
12,1600872360000,4.349,4.3319,4.398,4.3319,352.3528649600001
13,1600872420000,4.3957,4.3957,4.3957,4.3957,10.0
14,1600874880000,4.0982,4.0755,4.0982,4.0755,123.76484742
15,1600874940000,4.0412,4.0412,4.0412,4.0412,42.05790188
16,1600876320000,4.1007,4.1007,4.1007,4.1007,9.026273
17,1600876800000,4.0824,4.0824,4.0824,4.0824,42.41423314
18,1600876860000,4.1623,4.1906,4.1906,4.1623,127.06209688
19,1600879140000,4.2045,4.1884,4.2045,4.1884,90.05104886000002
20,1600879320000,4.1879,4.1879,4.1879,4.1879,36.38504575
21,1600882740000,4.1962,4.2046,4.2046,4.1962,110.17237811
22,1600882920000,4.2687,4.2826,4.2826,4.2687,79.77582477
23,1600884840000,4.238,4.238,4.238,4.238,203.6495
24,1600885500000,4.1563,4.1563,4.1563,4.1563,24.7810902
25,1600886160000,4.2295,4.2295,4.2295,4.2295,41.69007673
26,1600887360000,4.0831,4.0844,4.0844,4.0831,43.88912953
27,1600887780000,4.0277,4.0277,4.0277,4.0277,63.40409536
28,1600889100000,3.7932,3.7955,3.7955,3.7814,415.87428184
29,1600890000000,3.6909,3.6909,3.6909,3.6909,49.65859958
30,1600890300000,3.7818,3.7818,3.7818,3.7818,218.80579561
31,1600890360000,3.7322,3.7296,3.7322,3.727,115.44025862
32,1600892280000,3.8643,3.8643,3.8643,3.8643,29.72982989
33,1600894140000,3.5275,3.5275,3.5275,3.5275,52.04107278
34,1600894320000,3.4407,3.4407,3.4407,3.4407,40.55320648
35,1600894380000,3.4254,3.4254,3.4254,3.4254,49.35662469
36,1600895040000,3.5353,3.5353,3.5353,3.5353,42.98642846
37,1600895100000,3.5086,3.5069999999999997,3.5086,3.5069999999999997,66.15271195
38,1600898100000,3.5409,3.5502,3.5502,3.5266,134.18130385
39,1600898160000,3.5457,3.5457,3.5457,3.5457,55.72935753
40,1600898880000,3.677,3.6785,3.6785,3.6765,64.88721641
41,1600901580000,3.5585,3.554,3.5585,3.5514,161.1684638
42,1600902540000,3.5222,3.5198,3.5222,3.5198,71.64107523999998
43,1600903200000,3.5025,3.5025,3.5025,3.5025,0.98
44,1600905180000,3.5117,3.5163,3.5163,3.5117,158.02665637
45,1600905360000,3.5034,3.5034,3.5034,3.5034,34.05252075
46,1600906200000,3.471,3.471,3.471,3.471,39.54283876
47,1600906560000,3.4549,3.4681,3.4681,3.4418,183.47592149
48,1600906920000,3.508,3.508,3.508,3.508,32.98463536
49,1600907640000,3.5317,3.5227,3.5332,3.5225,121.9498352
50,1600908540000,3.5663,3.5663,3.5663,3.5663,0.52652238
51,1600908720000,3.5389,3.5389,3.5389,3.5389,67.31665550000001
52,1600910040000,3.6939,3.6939,3.6939,3.6939,52.05204397
53,1600913760000,3.716,3.716,3.716,3.716,30.88217332
54,1600914240000,3.7298,3.7223,3.7298,3.7223,88.34149608000001
55,1600915020000,3.7058,3.7058,3.7058,3.7058,30.153143699999998
56,1600915680000,3.7886,3.7886,3.7886,3.7886,42.58116968
57,1600919340000,3.7656,3.7985,3.7985,3.7656,145.9542017
58,1600919400000,3.7637,3.7637,3.7637,3.7637,1.7175041000000002
59,1600919940000,3.7288,3.7288,3.7288,3.7288,5.44553386
60,1600930200000,3.72,3.72,3.72,3.72,42.42197886
61,1600930380000,3.721,3.721,3.721,3.721,87.0
62,1600930500000,3.7060000000000004,3.7060000000000004,3.7060000000000004,3.7060000000000004,1.0
63,1600936200000,4.0817,4.8327,4.8327,4.0817,173.6373
64,1600936680000,4.1518,4.1518,4.1518,4.1518,125.48660176
65,1600936740000,4.1654,4.1654,4.1654,4.1654,124.95762616
66,1600936800000,4.1928,4.1673,4.1928,4.1673,151.09536392
67,1600936920000,4.1427,4.1427,4.1427,4.1427,123.61540521
68,1600936980000,4.1642,4.1627,4.1642,4.1627,147.21131014
69,1600937100000,4.1951,4.1868,4.1951,4.1868,114.85036788
