,time,open,close,high,low,volume
0,1545421080000,0.2071,0.2071,0.2071,0.2071,154.84946536
1,1545424500000,0.2071,0.207,0.2071,0.207,1847.0
2,1545469620000,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.58404291
3,1545469680000,0.21999000000000002,0.21999000000000002,0.21999000000000002,0.21999000000000002,100.0
4,1545469740000,0.22,0.22,0.22,0.22,99.9
5,1545469800000,0.22999,0.22999,0.22999,0.22999,144.9341757
6,1545539220000,0.23,0.23,0.23,0.23,595.65
7,1545540780000,0.20748000000000003,0.20748000000000003,0.20748000000000003,0.20748000000000003,1000.0
8,1545540840000,0.20748000000000003,0.20748000000000003,0.20748000000000003,0.20748000000000003,107.0
9,1545566220000,0.21022,0.21022,0.21022,0.21022,90.32
10,1545578400000,0.22,0.22,0.22,0.22,95.0
11,1545610260000,0.23,0.23,0.23,0.23,153.47602519999998
12,1545610320000,0.231,0.231,0.231,0.231,200.02806448
13,1545612120000,0.23999,0.24,0.24,0.23999,343.78816204
14,1545612300000,0.24,0.24,0.24,0.24,532.8037943
15,1545616380000,0.24,0.24,0.24,0.24,144.82
16,1545621240000,0.24,0.24,0.24,0.24,58.0
17,1545638040000,0.22,0.21,0.22,0.21,230.54841087
18,1545658560000,0.21,0.2,0.21,0.2,233.32917123
19,1545679980000,0.20026,0.20025,0.20026,0.20025,217.07203
20,1545722280000,0.20025,0.20025,0.20025,0.20025,132.77196573
21,1545722400000,0.2,0.19,0.2,0.19,203.64803561
22,1545812820000,0.23998000000000003,0.23998000000000003,0.23998000000000003,0.23998000000000003,65.0
23,1545834480000,0.19,0.17039,0.19,0.17039,769.0
24,1545840000000,0.17718,0.17718,0.17718,0.17718,200.72583673
25,1545855360000,0.19718,0.19718,0.19718,0.19718,188.27416327
26,1545905760000,0.1711,0.1708,0.1711,0.1708,750.00000808
27,1545920580000,0.19,0.19,0.19,0.19,60.0
28,1545943560000,0.1721,0.1721,0.1721,0.1721,93.35906640000002
29,1545946140000,0.1721,0.1721,0.1721,0.1721,92.9590704
30,1545951900000,0.1711,0.17001,0.1711,0.17001,1497.89914694
31,1545992700000,0.171,0.171,0.171,0.171,100.37438179
32,1545992760000,0.171,0.171,0.171,0.171,102.68325904
33,1546016760000,0.2048,0.215,0.215,0.2048,275.0
34,1546071840000,0.18005,0.18005,0.18005,0.18005,274.45
35,1546075320000,0.18005,0.18005,0.18005,0.18005,59.94
36,1546099320000,0.19699,0.19699999999999998,0.19699999999999998,0.19699,313.6046855
37,1546128840000,0.18001,0.1713,0.18001,0.1713,1144.0281140999998
38,1546128900000,0.171,0.17039,0.171,0.17039,2219.50131972
39,1546250100000,0.1907,0.1907,0.1907,0.1907,58.0
40,1546250160000,0.1725,0.1722,0.1725,0.1722,305.53866677
41,1546265340000,0.1907,0.1722,0.1911,0.1722,129.31661595
42,1546368000000,0.1896,0.1896,0.1896,0.1896,100.0
43,1546379940000,0.1722,0.1721,0.1722,0.1721,535.80957368
