,time,open,close,high,low,volume
0,1601806140000,16.217,16.206,16.217,16.166,51.29800643
1,1601806260000,16.099,16.099,16.099,16.099,54.19438851
2,1601806380000,16.089000000000002,16.089000000000002,16.089000000000002,16.089000000000002,10.25736598
3,1601806920000,16.174,16.174,16.174,16.174,0.00129635
4,1601807520000,16.182000000000002,16.182000000000002,16.182000000000002,16.182000000000002,0.00105722
5,1601808120000,16.151,16.058,16.151,16.058,0.00230291
6,1601808720000,16.134,16.134,16.134,16.134,0.00116982
7,1601808780000,16.249000000000002,16.249000000000002,16.249000000000002,16.249000000000002,0.00101568
8,1601809260000,16.090999999999998,16.090999999999998,16.090999999999998,16.090999999999998,0.00111476
9,1601809800000,16.21,16.21,16.21,16.21,0.00125604
10,1601810340000,16.149,16.149,16.149,16.149,0.00122989
11,1601810940000,16.119,16.119,16.119,16.119,0.00128632
12,1601811540000,16.177,16.116,16.177,16.116,0.00210958
13,1601812080000,16.230999999999998,16.230999999999998,16.230999999999998,16.230999999999998,0.00112914
14,1601812620000,16.204,16.204,16.204,16.204,0.00101464
15,1601812680000,16.116,16.116,16.116,16.116,0.00101481
16,1601813280000,16.125,16.125,16.125,16.125,2.25112262
17,1601813880000,16.222,16.298,16.298,16.222,0.00255532
18,1601814360000,16.164,16.164,16.164,16.164,0.0011755000000000001
19,1601814420000,16.23,16.23,16.23,16.23,0.00113882
20,1601815020000,16.154,16.154,16.154,16.154,0.00103274
21,1601815080000,16.076,16.076,16.076,16.076,0.00121686
22,1601815560000,16.16,16.16,16.16,16.16,0.00119912
23,1601816040000,16.174,16.174,16.174,16.174,0.00120491
24,1601816580000,16.248,16.248,16.248,16.248,0.00119333
25,1601817180000,16.257,16.257,16.257,16.257,0.0010433
26,1601817780000,16.327,16.327,16.327,16.327,0.00102354
27,1601818320000,16.399,16.399,16.399,16.399,0.00105831
28,1601818860000,16.316,16.316,16.316,16.316,0.00103877
29,1601819460000,16.232,16.232,16.232,16.232,0.00109305
30,1601819520000,16.277,16.277,16.277,16.277,0.00122365
31,1601820120000,16.287,16.287,16.287,16.287,0.00122127
32,1601820660000,16.247,16.247,16.247,16.247,0.0012335999999999998
33,1601820720000,16.316,16.316,16.316,16.316,0.00121042
34,1601821260000,16.258,16.258,16.258,16.258,0.00104922
35,1601821800000,16.277,16.277,16.277,16.277,0.0010124
36,1601822280000,16.307000000000002,16.307000000000002,16.307000000000002,16.307000000000002,0.00124044
37,1601822880000,16.278,16.278,16.278,16.278,0.00115924
38,1601823420000,16.264,16.264,16.264,16.264,0.00114248
39,1601823960000,16.281,16.281,16.281,16.281,0.00127666
40,1601824020000,16.198,16.198,16.198,16.198,0.00111065
41,1601824560000,16.284000000000002,16.284000000000002,16.284000000000002,16.284000000000002,0.00120239
42,1601824980000,16.125999999999998,16.129,16.129,16.125999999999998,27.304211520000006
43,1601825460000,16.237000000000002,16.237000000000002,16.237000000000002,16.237000000000002,0.00119861
44,1601826000000,16.21,16.21,16.21,16.21,0.00104959
45,1601826060000,16.274,16.274,16.274,16.274,0.00109179
46,1601826480000,16.21,16.21,16.21,16.21,0.09895041
47,1601826660000,16.122,16.122,16.122,16.122,54.11544055
48,1601827080000,16.1,16.1,16.1,16.1,0.1
49,1601827140000,16.058,16.058,16.058,16.058,108.13224274
50,1601827200000,16.0,16.0,16.0,16.0,205.616763
51,1601827680000,16.004,16.004,16.004,16.004,0.00123141
52,1601828220000,16.13,16.13,16.13,16.13,0.00118778
53,1601828280000,16.061,16.061,16.061,16.061,0.00127204
54,1601828880000,16.066,16.066,16.066,16.066,0.00100564
55,1601829420000,16.067,16.067,16.067,16.067,0.0011173
56,1601829480000,15.994000000000002,15.994000000000002,15.994000000000002,15.994000000000002,0.00104541
57,1601829600000,16.082,16.082,16.082,16.082,4.11541448
58,1601830140000,15.972999999999999,15.972999999999999,15.972999999999999,15.972999999999999,0.0010808
59,1601830740000,16.07,16.07,16.07,16.07,0.00123865
