,time,open,close,high,low,volume
0,1600942860000,5.9475,5.9475,5.9475,5.9475,60.52658125
1,1600943160000,5.95,5.95,5.95,5.95,5.0
2,1600943340000,6.0,6.0,6.0,6.0,174.5662
3,1600943820000,6.0,6.0,6.0,6.0,13.0
4,1600945080000,5.96,5.96,5.96,5.96,4.99
5,1600947360000,6.216,6.216,6.216,6.216,6.16610738
6,1600951020000,6.0351,6.0351,6.0351,6.0351,2.61152333
7,1600955340000,5.877000000000001,5.877000000000001,5.877000000000001,5.877000000000001,13.0
8,1600955820000,6.0513,6.0513,6.0513,6.0513,1.60470132
9,1600962540000,6.2263,6.2263,6.2263,6.2263,46.59465954
10,1600963020000,6.1305,6.1305,6.1305,6.1305,0.01160065
11,1600963440000,6.3,6.3,6.3,6.3,127.97154046
12,1600963860000,6.303999999999999,6.303999999999999,6.303999999999999,6.303999999999999,0.0690485
13,1600964040000,6.3041,6.3041,6.3041,6.3041,0.00370135
14,1600978440000,6.7493,6.7493,6.7493,6.7493,6.670055900000001
15,1600981680000,6.6463,6.6463,6.6463,6.6463,0.38462287
16,1600982520000,6.836,6.836,6.836,6.836,0.82661076
17,1600983960000,6.5728,6.5728,6.5728,6.5728,0.06905826
18,1600984440000,6.7351,6.7351,6.7351,6.7351,0.60570266
19,1601000940000,6.9253,6.9253,6.9253,6.9253,1.0
20,1601037120000,6.7178,6.7178,6.7178,6.7178,2.0
21,1601041260000,6.7292,6.7292,6.7292,6.7292,1.605665
22,1601043120000,6.5856,6.5856,6.5856,6.5856,5.07615702
23,1601045940000,6.7564,6.7564,6.7564,6.7564,5.07615702
24,1601048880000,7.0859,7.0859,7.0859,7.0859,4.72213682
25,1601049480000,7.1108,7.1108,7.1108,7.1108,6.670055900000001
26,1601051700000,7.07,7.07,7.07,7.07,101.0
27,1601051880000,6.9801,6.9801,6.9801,6.9801,0.10860952
28,1601057820000,7.2837,7.2837,7.2837,7.2837,4.72213682
29,1601058180000,7.1725,7.1725,7.1725,7.1725,0.15250722
30,1601069280000,7.2004,7.2004,7.2004,7.2004,0.07822391
31,1601069340000,7.0173,7.0173,7.0173,7.0173,0.01985337
32,1601070720000,7.1838,7.1838,7.1838,7.1838,0.05617086
33,1601074680000,6.98,6.98,6.98,6.98,0.12138005
34,1601076480000,7.079,7.079,7.079,7.079,0.0090593
35,1601077680000,7.0948,7.0948,7.0948,7.0948,0.0120676
36,1601093340000,6.98,6.98,6.98,6.98,100.87861995
37,1601100600000,7.3218,7.3218,7.3218,7.3218,0.08519295
38,1601153400000,7.1662,7.1662,7.1662,7.1662,14.8
39,1601186820000,7.2016,7.2016,7.2016,7.2016,1.06759199
40,1601212560000,6.6696,6.6861,6.6861,6.6696,200.0
41,1601212740000,6.6862,6.6862,6.6862,6.6862,3.7710000000000004
42,1601214060000,6.6886,6.6886,6.6886,6.6886,7.5
43,1601217180000,6.6408,6.6408,6.6408,6.6408,3.83403122
44,1601222640000,6.6989,6.6989,6.6989,6.6989,0.3997564
45,1601250360000,6.5587,6.5587,6.5587,6.5587,5.59452423
46,1601250420000,6.5202,6.5202,6.5202,6.5202,4.60108585
47,1601253960000,6.6407,6.6407,6.6407,6.6407,1.62321884
48,1601269620000,6.6507,6.6507,6.6507,6.6507,4.60108584
49,1601290920000,6.7358,6.7358,6.7358,6.7358,3.7634
50,1601311560000,6.8308,6.8308,6.8308,6.8308,14.77
51,1601335260000,6.6,6.6,6.6,6.6,12.550759
52,1601337300000,6.6321,6.6321,6.6321,6.6321,1.84298925
53,1601344200000,6.5739,6.5739,6.5739,6.5739,0.16118795
54,1601347020000,6.6021,6.6021,6.6021,6.6021,0.21655887
55,1601347260000,6.5941,6.5941,6.5941,6.5941,0.02517941
56,1601347320000,6.4121,6.4121,6.4121,6.4121,0.23390873
57,1601347740000,6.5761,6.5761,6.5761,6.5761,3.8539
58,1601354160000,6.5005,6.5005,6.5005,6.5005,0.21558838
59,1601370540000,6.8058,6.8058,6.8058,6.8058,0.63666229
60,1601370840000,6.896,6.896,6.896,6.896,5.59452423
61,1601370960000,6.7709,6.7709,6.7709,6.7709,3.8539
62,1601458980000,6.3749,6.3748,6.3749,6.3748,199.6
63,1601459400000,6.5065,6.5065,6.5065,6.5065,0.04173792
64,1601460300000,6.4538,6.4538,6.4538,6.4538,4.14
65,1601460480000,6.5335,6.5335,6.5335,6.5335,3.8596
66,1601460840000,6.555,6.5712,6.5712,6.555,193.695744
67,1601460900000,6.6059,6.6059,6.6059,6.6059,0.03737751
68,1601464800000,6.4446,6.4446,6.4446,6.4446,0.001
69,1601465100000,6.4444,6.4444,6.4444,6.4444,0.001
70,1601465280000,6.5386,6.5386,6.5386,6.5386,2.69374696
71,1601465580000,6.4444,6.4444,6.4444,6.4444,0.001
72,1601465880000,6.4443,6.4443,6.4443,6.4443,0.001
73,1601466180000,6.4443,6.4443,6.4443,6.4443,0.001
74,1601466480000,6.4443,6.4443,6.4443,6.4443,0.001
75,1601466780000,6.4443,6.4443,6.4443,6.4443,0.001
76,1601467080000,6.3967,6.3967,6.3967,6.3967,0.001
77,1601467200000,6.3968,6.3938,6.3968,6.3938,193.308352
78,1601467500000,6.391,6.391,6.391,6.391,0.001
79,1601468160000,6.4489,6.4489,6.4489,6.4489,0.2
80,1601468460000,6.3476,6.3476,6.3476,6.3476,0.2
81,1601468640000,6.476,6.476,6.476,6.476,0.85189451
82,1601468940000,6.3839999999999995,6.3839999999999995,6.3839999999999995,6.3839999999999995,0.2
83,1601469240000,6.3992,6.3992,6.3992,6.3992,0.2
84,1601469300000,6.4702,6.5187,6.5187,6.4702,344.78093607
85,1601469600000,6.4091,6.4091,6.4091,6.4091,0.2
86,1601469900000,6.4242,6.4242,6.4242,6.4242,0.2
87,1601470200000,6.4154,6.4154,6.4154,6.4154,0.2
88,1601470500000,6.4154,6.4154,6.4154,6.4154,0.2
89,1601470800000,6.4167,6.4167,6.4167,6.4167,0.2
90,1601471100000,6.4228,6.4228,6.4228,6.4228,0.2
91,1601471400000,6.4382,6.4382,6.4382,6.4382,0.2
92,1601471700000,6.3877,6.3877,6.3877,6.3877,0.2
93,1601472000000,6.3732,6.3732,6.3732,6.3732,0.2
94,1601472300000,6.5305,6.5305,6.5305,6.5305,0.2
95,1601472360000,6.5237,6.5237,6.5237,6.5237,6.66848138
96,1601472660000,6.4566,6.4566,6.4566,6.4566,0.2
97,1601472960000,6.457000000000001,6.457000000000001,6.457000000000001,6.457000000000001,0.2
98,1601473500000,6.4736,6.4736,6.4736,6.4736,0.21216661
99,1601474040000,6.5173,6.5173,6.5173,6.5173,0.20675061
100,1601474580000,6.5352,6.5352,6.5352,6.5352,0.21374064
101,1601475180000,6.5376,6.5376,6.5376,6.5376,0.24186399
102,1601475660000,6.5387,6.5387,6.5387,6.5387,0.24074023
103,1601476140000,6.523,6.523,6.523,6.523,0.24424777
104,1601476620000,6.4585,6.4585,6.4585,6.4585,0.21195294
105,1601477220000,6.4592,6.4592,6.4592,6.4592,0.22193746
