,time,open,close,high,low,volume
0,1600947360000,6.1596,6.1596,6.1596,6.1596,6.16610738
1,1600951020000,6.0207,6.0207,6.0207,6.0207,0.25394522
2,1600952040000,6.1042,6.1042,6.1042,6.1042,1.73598349
3,1600959660000,5.9452,5.9452,5.9452,5.9452,1.76439376
4,1600960500000,6.1059,6.1059,6.1059,6.1059,0.00182032
5,1600964040000,6.2746,6.2746,6.2746,6.2746,2.38474999
6,1600981140000,6.7724,6.7724,6.7724,6.7724,3.76773421
7,1600985100000,6.7277,6.7277,6.7277,6.7277,0.02054077
8,1600985580000,6.5914,6.5914,6.5914,6.5914,1.31985601
9,1600985760000,6.7706,6.7706,6.7706,6.7706,0.00421577
10,1601001840000,6.7479,6.7479,6.7479,6.7479,1.4680146
11,1601004840000,6.7034,6.7034,6.7034,6.7034,0.09407807
12,1601042580000,6.6573,6.6573,6.6573,6.6573,0.09078557
13,1601046540000,6.6466,6.6466,6.6466,6.6466,0.21537368
14,1601051880000,6.9271,6.9271,6.9271,6.9271,1.7076209999999998
15,1601070720000,7.1661,7.1661,7.1661,7.1661,0.07700301
16,1601077020000,6.9408,6.9408,6.9408,6.9408,0.72055184
17,1601077680000,7.08,7.08,7.08,7.08,0.05460738
18,1601078160000,6.9367,6.9367,6.9367,6.9367,0.11325243
19,1601079360000,7.0134,7.0134,7.0134,7.0134,0.01156119
20,1601105580000,7.0797,7.0797,7.0797,7.0797,0.24578542
21,1601119500000,7.0665,7.0665,7.0665,7.0665,1.57315074
22,1601154420000,7.1521,7.1521,7.1521,7.1521,0.10898335
23,1601190780000,6.6675,6.6675,6.6675,6.6675,0.02520825
24,1601192580000,6.7145,6.7145,6.7145,6.7145,0.24693795
25,1601213880000,6.6770000000000005,6.6770000000000005,6.6770000000000005,6.6770000000000005,0.03118275
26,1601223300000,6.5379,6.5379,6.5379,6.5379,0.0479965
27,1601225400000,6.5075,6.5075,6.5075,6.5075,0.08275628
28,1601256780000,6.497999999999999,6.497999999999999,6.497999999999999,6.497999999999999,1.00187784
29,1601276220000,6.4989,6.4989,6.4989,6.4989,0.11059604
30,1601279280000,6.5623,6.5623,6.5623,6.5623,0.08151195
31,1601291220000,6.7756,6.7756,6.7756,6.7756,0.06981204
32,1601291340000,6.7756,6.7756,6.7756,6.7756,0.6838731
33,1601311740000,6.8231,6.8231,6.8231,6.8231,0.07587876
34,1601315880000,6.7948,6.7948,6.7948,6.7948,0.74330209
35,1601335080000,6.6936,6.6936,6.6936,6.6936,343.3174621
36,1601354700000,6.5087,6.5087,6.5087,6.5087,0.08700059
37,1601372220000,6.7974,6.7974,6.7974,6.7974,0.22577241
38,1601372460000,6.7462,6.7462,6.7462,6.7462,2.2116481
39,1601462040000,6.5534,6.5534,6.5534,6.5534,0.02595501
40,1601462160000,6.465,6.465,6.465,6.465,80.13403256000002
41,1601463840000,6.5551,6.5551,6.5551,6.5551,0.03049934
42,1601464800000,6.3845,6.3845,6.3845,6.3845,0.001
43,1601465100000,6.3845,6.3845,6.3845,6.3845,0.001
44,1601465400000,6.4115,6.4115,6.4115,6.4115,0.001
45,1601465700000,6.3656,6.3656,6.3656,6.3656,0.001
46,1601466000000,6.4119,6.4119,6.4119,6.4119,0.001
47,1601466060000,6.4119,6.4119,6.4119,6.4119,3.0
48,1601466360000,6.3863,6.3863,6.3863,6.3863,0.001
49,1601466660000,6.3863,6.3863,6.3863,6.3863,0.001
50,1601466960000,6.3863,6.3863,6.3863,6.3863,0.001
51,1601467200000,6.3285,6.3285,6.3285,6.3285,1.81405565
52,1601467500000,6.346,6.346,6.346,6.346,0.001
53,1601468160000,6.4188,6.4188,6.4188,6.4188,0.2
54,1601468460000,6.3137,6.3137,6.3137,6.3137,0.2
55,1601468760000,6.3267,6.3267,6.3267,6.3267,0.2
56,1601469060000,6.3652,6.3652,6.3652,6.3652,0.2
57,1601469360000,6.3931,6.3931,6.3931,6.3931,0.2
58,1601469660000,6.4023,6.4023,6.4023,6.4023,0.2
59,1601469960000,6.4175,6.4175,6.4175,6.4175,0.2
60,1601470260000,6.4174,6.4174,6.4174,6.4174,0.2
61,1601470560000,6.4149,6.4149,6.4149,6.4149,0.2
62,1601470620000,6.4110000000000005,6.4110000000000005,6.4110000000000005,6.4110000000000005,0.79937538
63,1601470920000,6.422999999999999,6.422999999999999,6.422999999999999,6.422999999999999,0.2
64,1601471220000,6.4051,6.4051,6.4051,6.4051,0.2
65,1601471520000,6.4316,6.4316,6.4316,6.4316,0.2
66,1601471820000,6.4284,6.4284,6.4284,6.4284,0.2
67,1601472120000,6.4485,6.4485,6.4485,6.4485,0.2
68,1601472420000,6.5120000000000005,6.5120000000000005,6.5120000000000005,6.5120000000000005,0.2
69,1601472720000,6.5139,6.5139,6.5139,6.5139,0.2
70,1601473320000,6.3707,6.3707,6.3707,6.3707,0.2323518
71,1601473440000,6.4129,6.4129,6.4129,6.4129,0.79387928
72,1601474040000,6.5065,6.5065,6.5065,6.5065,0.25531329999999997
73,1601474520000,6.5078,6.5078,6.5078,6.5078,0.22152214
74,1601475060000,6.5132,6.5132,6.5132,6.5132,0.21841381
75,1601475600000,6.537000000000001,6.537000000000001,6.537000000000001,6.537000000000001,0.25558960000000003
76,1601476080000,6.5038,6.5038,6.5038,6.5038,0.20919271
77,1601476680000,6.5065,6.5065,6.5065,6.5065,0.20633052
78,1601477220000,6.502999999999999,6.502999999999999,6.502999999999999,6.502999999999999,0.24515946
79,1601477760000,6.5016,6.5016,6.5016,6.5016,0.24650634
80,1601478300000,6.5189,6.5189,6.5189,6.5189,0.21043789
81,1601478840000,6.5305,6.5305,6.5305,6.5305,0.23899713
82,1601479380000,6.4842,6.4842,6.4842,6.4842,0.24679368
83,1601479980000,6.5462,6.5462,6.5462,6.5462,0.25490607
84,1601480460000,6.5207,6.5207,6.5207,6.5207,0.21030331
85,1601481000000,6.5417,6.5417,6.5417,6.5417,0.25132599
86,1601481540000,6.5288,6.5288,6.5288,6.5288,0.23441853
87,1601482080000,6.4611,6.4611,6.4611,6.4611,0.22776747
88,1601482560000,6.4445,6.4445,6.4445,6.4445,0.20076278
89,1601483160000,6.433,6.433,6.433,6.433,0.24394977
90,1601483640000,6.433,6.433,6.433,6.433,0.21763600000000002
91,1601484180000,6.4569,6.4569,6.4569,6.4569,0.24887833
92,1601484720000,6.3701,6.3701,6.3701,6.3701,0.21177905
93,1601485320000,6.4546,6.4546,6.4546,6.4546,0.24839587
94,1601485920000,6.4342,6.4342,6.4342,6.4342,0.21136284
95,1601486460000,6.4075,6.4075,6.4075,6.4075,0.20797978
96,1601487000000,6.4214,6.4214,6.4214,6.4214,0.25872194
97,1601487540000,6.4238,6.4238,6.4238,6.4238,0.21645256
98,1601488080000,6.422999999999999,6.422999999999999,6.422999999999999,6.422999999999999,0.23341082
99,1601488560000,6.4268,6.4268,6.4268,6.4268,0.25469118
100,1601489100000,6.4275,6.4275,6.4275,6.4275,0.21445789999999998
101,1601489640000,6.4536,6.4536,6.4536,6.4536,0.20311181
102,1601490180000,6.3876,6.3876,6.3876,6.3876,0.2486498
103,1601490780000,6.4066,6.4066,6.4066,6.4066,0.23028286
104,1601491260000,6.4043,6.4043,6.4043,6.4043,0.24128327
105,1601491800000,6.3555,6.3555,6.3555,6.3555,0.2204297
106,1601492340000,6.4092,6.4092,6.4092,6.4092,0.23618826
107,1601492820000,6.4006,6.4006,6.4006,6.4006,0.25134209
108,1601493300000,6.4058,6.4058,6.4058,6.4058,0.25470343
109,1601493900000,6.3814,6.3814,6.3814,6.3814,0.2545594
110,1601494440000,6.3949,6.3949,6.3949,6.3949,0.21937224
111,1601494920000,6.4092,6.4092,6.4092,6.4092,0.23485223
112,1601495520000,6.3953,6.3953,6.3953,6.3953,0.23737056
113,1601496000000,6.3875,6.3875,6.3875,6.3875,0.25498825
114,1601496480000,6.4042,6.4042,6.4042,6.4042,0.25912238
115,1601497080000,6.4098,6.4098,6.4098,6.4098,0.23195741
116,1601497200000,6.4074,6.4074,6.4074,6.4074,0.30179867
117,1601497680000,6.4192,6.4192,6.4192,6.4192,0.25656447
118,1601498220000,6.3923,6.3923,6.3923,6.3923,0.20430059
119,1601498760000,6.3984,6.3984,6.3984,6.3984,0.25728489
120,1601499300000,6.4005,6.4005,6.4005,6.4005,0.20732537
121,1601499840000,6.3988,6.3988,6.3988,6.3988,0.22640512
122,1601500320000,6.3954,6.3954,6.3954,6.3954,0.21111295
123,1601500860000,6.3967,6.3967,6.3967,6.3967,0.22913128
124,1601501400000,6.4018,6.4018,6.4018,6.4018,0.23978799
125,1601501880000,6.4184,6.4184,6.4184,6.4184,0.20558847
126,1601502180000,6.4181,6.4181,6.4181,6.4181,0.6680703
127,1601502720000,6.417000000000001,6.417000000000001,6.417000000000001,6.417000000000001,0.20368661
128,1601503200000,6.3568,6.3568,6.3568,6.3568,0.22318902
129,1601503740000,6.4374,6.4374,6.4374,6.4374,0.2247024
130,1601504220000,6.4634,6.4634,6.4634,6.4634,0.20546812
131,1601504760000,6.462999999999999,6.462999999999999,6.462999999999999,6.462999999999999,0.23127364
132,1601505060000,6.4549,6.4549,6.4549,6.4549,0.33504774
133,1601505540000,6.4323,6.4323,6.4323,6.4323,0.24467114
134,1601506140000,6.4253,6.4253,6.4253,6.4253,0.20947689999999997
135,1601506680000,6.4514,6.4514,6.4514,6.4514,0.21208976
136,1601507220000,6.4522,6.4522,6.4522,6.4522,0.24466419
137,1601507700000,6.4497,6.4497,6.4497,6.4497,0.25298898
138,1601508300000,6.4649,6.4649,6.4649,6.4649,0.25762275
139,1601508840000,6.48,6.48,6.48,6.48,0.2083776
140,1601509320000,6.4856,6.4856,6.4856,6.4856,0.21450638
141,1601509860000,6.4662,6.4662,6.4662,6.4662,0.23358071
142,1601510460000,6.48,6.48,6.48,6.48,0.25341374
143,1601510520000,6.48,6.48,6.48,6.48,0.44376229
144,1601511120000,6.475,6.475,6.475,6.475,0.22556425
145,1601511660000,6.5265,6.5265,6.5265,6.5265,0.24687842
146,1601512200000,6.5266,6.5266,6.5266,6.5266,0.23897544
147,1601512260000,6.5266,6.5266,6.5266,6.5266,0.39052398
148,1601512800000,6.5252,6.5252,6.5252,6.5252,0.21880793
149,1601513400000,6.516,6.516,6.516,6.516,0.23880425
