,time,open,close,high,low,volume
0,1588755900000,100.1,100.1,100.1,100.1,0.1
1,1588756140000,100.05,100.05,100.05,100.05,0.1
2,1588765740000,101.22,101.22,101.22,101.22,4.0
3,1588766100000,101.45,101.45,101.45,101.45,15.0
4,1588766640000,102.36,102.36,102.36,102.36,0.6872
5,1588766940000,102.16,102.16,102.16,102.16,0.5
6,1588767540000,101.9,101.9,101.9,101.9,0.5
7,1588769580000,101.82,101.82,101.82,101.82,10.0
8,1588771320000,101.88,101.8,101.88,101.8,21.0998966
9,1588771380000,101.76,101.65,101.76,101.65,1.09991798
10,1588772700000,101.8,101.8,101.8,101.8,0.5
11,1588773240000,101.66,101.66,101.66,101.66,0.5
12,1588776060000,101.96,101.96,101.96,101.96,0.5
13,1588779180000,102.01,102.1,102.1,102.01,1.0
14,1588780500000,102.15,102.24,102.24,102.15,1.0
15,1588781340000,102.29,102.37,102.37,102.29,1.0
16,1588781520000,102.42,102.83,102.83,102.42,6.0
17,1588784100000,102.44,102.44,102.44,102.44,0.0014
18,1588784520000,102.47,102.54,102.54,102.47,1.0
19,1588786260000,102.63,102.43,102.63,102.43,5.409572099999999
20,1588787520000,102.65,102.65,102.65,102.65,0.0014
21,1588788840000,102.42,102.42,102.42,102.42,5.32166827
22,1588791300000,102.5,102.5,102.5,102.5,5.25270589
23,1588793640000,103.1,103.1,103.1,103.1,2.6842
24,1588794600000,103.24,103.24,103.24,103.24,2.75316238
25,1588795380000,103.68,103.68,103.68,103.68,5.24795058
26,1588801020000,103.21,103.14,103.21,103.14,6.0
27,1588801140000,103.35,103.41,103.41,103.35,10.0
28,1588801560000,103.2,103.15,103.2,103.15,10.0
29,1588805400000,104.25,104.25,104.25,104.25,5.0
30,1588805520000,104.27,104.05,104.27,104.05,15.0
31,1588806240000,104.55,104.55,104.55,104.55,5.14611519
32,1588806540000,104.4,104.4,104.4,104.4,1.0
33,1588807860000,104.54,104.54,104.54,104.54,0.2
34,1588807980000,104.49,104.49,104.49,104.49,0.2
35,1588808460000,104.5,104.63,104.63,104.5,8.77626102
36,1588809120000,104.53,104.53,104.53,104.53,0.2
37,1588809300000,104.57,104.57,104.57,104.57,0.2
38,1588809360000,104.7,104.88,104.88,104.7,1.2
39,1588809420000,104.83,104.83,104.83,104.83,0.2
40,1588809480000,104.83,104.83,104.83,104.83,0.1
41,1588809540000,104.85,104.85,104.85,104.85,0.3
42,1588809600000,104.76,104.76,104.76,104.76,0.5
43,1588809660000,104.85,104.88,104.88,104.8,57.3
44,1588809720000,105.25,105.25,105.25,105.25,0.5
45,1588810260000,104.75,104.96,104.96,104.75,5.0
46,1588810560000,104.58,104.58,104.58,104.58,5.0
47,1588812000000,104.19,104.13,104.19,104.13,8.87809641
48,1588812300000,104.4,104.4,104.4,104.4,3.3775187000000004
