,time,open,close,high,low,volume
0,1592557500000,1.85,1.65,1.85,1.65,0.2
1,1592558700000,1.489,1.506,1.506,1.489,140.74293226
2,1592562960000,1.506,1.575,1.575,1.506,585.05706774
3,1592563020000,1.5830000000000002,1.5882,1.5882,1.5830000000000002,64.35661416
4,1592590440000,1.5762,1.5762,1.5762,1.5762,0.158134
5,1592609040000,1.5762,1.5762,1.5762,1.5762,10.0
6,1592626140000,1.5762,1.5762,1.5762,1.5762,2.2
7,1592633700000,1.5762,1.5762,1.5762,1.5762,5.73
8,1592653620000,1.5112,1.464,1.5112,1.464,248.0
9,1592667120000,1.464,1.4022,1.464,1.4022,400.114854
10,1592687520000,1.5747,1.5747,1.5747,1.5747,25.27126004
11,1592687640000,1.5761,1.5761,1.5761,1.5761,19.14
12,1592722380000,1.5762,1.595,1.595,1.5762,67.0
13,1592742600000,1.595,1.66,1.66,1.595,243.09863768
14,1592748420000,1.69,1.69,1.69,1.69,0.86
15,1592751060000,1.69,1.69,1.69,1.69,0.5
16,1592752380000,1.69,1.69,1.69,1.69,65.0
17,1592752560000,1.69,1.69,1.69,1.69,0.82
18,1592831760000,1.59,1.444,1.69,1.444,29.98
19,1592842680000,1.5511,1.5259,1.5511,1.5259,131.736
20,1592873760000,1.597,1.6099,1.6099,1.597,12.1
21,1592880600000,1.6099,1.6099,1.6099,1.6099,9.0
22,1592884620000,1.6099,1.6099,1.6099,1.6099,2.0
23,1592892900000,1.5619999999999998,1.5619999999999998,1.5619999999999998,1.5619999999999998,41.18
24,1592903040000,1.6059,1.6059,1.6059,1.6059,12.0
25,1592905920000,1.6059,1.6059,1.6059,1.6059,3.0
26,1592910540000,1.5619999999999998,1.5619999999999998,1.5619999999999998,1.5619999999999998,34.0
27,1592921040000,1.5619999999999998,1.5619999999999998,1.5619999999999998,1.5619999999999998,1.016097
28,1592931660000,1.589,1.589,1.589,1.589,15.8
29,1592978580000,1.6019999999999999,1.6099,1.6099,1.6019999999999999,32.43
30,1592982240000,1.6099,1.5619999999999998,1.6099,1.5619999999999998,43.693903000000006
31,1592990520000,1.531,1.531,1.531,1.531,15.0
32,1593118920000,1.531,1.531,1.531,1.531,1.0
