,time,open,close,high,low,volume
0,1598605200000,179.11,179.11,179.11,179.11,0.00848086
1,1598605500000,178.6,178.44,178.6,178.44,9.78
2,1598608320000,182.3,182.3,182.3,182.3,0.547
3,1598611020000,181.37,181.37,181.37,181.37,0.0031
4,1598611800000,181.96,181.96,181.96,181.96,0.01271625
5,1598612160000,180.74,180.74,180.74,180.74,0.049158999999999994
6,1598613480000,183.61,183.61,183.61,183.61,7.0889999999999995
7,1598613540000,183.61,183.61,183.61,183.61,2.18
8,1598615820000,188.0,188.0,188.0,188.0,5.303
9,1598615880000,188.0,188.0,188.0,188.0,4.697
10,1598616120000,189.51,189.51,189.51,189.51,0.00371559
11,1598617080000,191.11,191.11,191.11,191.11,1.043
12,1598618820000,191.11,191.11,191.11,191.11,3.645
13,1598618880000,191.11,191.11,191.11,191.11,0.575
14,1598619240000,190.76,190.76,190.76,190.76,0.0068304
15,1598620800000,191.47,191.47,191.47,191.47,0.00516818
16,1598625180000,190.37,190.37,190.37,190.37,0.0011833
17,1598626980000,188.39,188.39,188.39,188.39,4.0
18,1598629020000,193.33,193.33,193.33,193.33,2.063
19,1598629080000,193.33,193.33,193.33,193.33,1.546
20,1598629740000,193.89,193.89,193.89,193.89,0.00607781
21,1598631060000,197.42,197.42,197.42,197.42,0.05728822
22,1598632320000,196.78,196.78,196.78,196.78,0.00275729
23,1598635320000,193.21,193.21,193.21,193.21,0.0062236
24,1598642640000,192.14,192.14,192.14,192.14,0.00824559
25,1598643180000,191.33,191.33,191.33,191.33,0.00213485
26,1598644260000,190.84,190.84,190.84,190.84,0.00478491
27,1598645820000,190.28,190.28,190.28,190.28,0.01258665
28,1598665500000,189.86,189.86,189.86,189.86,7.932
29,1598665560000,189.86,189.86,189.86,189.86,6.869999999999999
30,1598665620000,189.86,189.86,189.86,189.86,0.198
31,1598667360000,185.75,185.75,185.75,185.75,0.00129742
32,1598681820000,195.65,195.65,195.65,195.65,5.0
33,1598687400000,195.16,195.16,195.16,195.16,0.01572602
