,time,open,close,high,low,volume
0,1602498300000,4.3006,4.3006,4.3006,4.3006,686.4342978
1,1602498360000,4.2976,4.2976,4.2976,4.2976,687.7957302
2,1602498900000,4.2706,4.2706,4.2706,4.2706,0.004501300000000001
3,1602499500000,4.2008,4.2008,4.2008,4.2008,0.0015133
4,1602499560000,4.2071,4.2071,4.2071,4.2071,0.0015509
5,1602500160000,4.2455,4.2465,4.2465,4.2455,0.004386
6,1602500700000,4.2366,4.2366,4.2366,4.2366,0.0024481
7,1602501240000,4.2258,4.2258,4.2258,4.2258,0.0016885000000000001
8,1602501780000,4.2249,4.2249,4.2249,4.2249,0.0028559
9,1602502380000,4.2338,4.2338,4.2338,4.2338,0.0014162
10,1602502860000,4.2425,4.2425,4.2425,4.2425,0.0032479999999999996
11,1602503460000,4.2325,4.2325,4.2325,4.2325,0.0028482
12,1602504000000,4.2275,4.2275,4.2275,4.2275,0.0015343
13,1602504480000,4.2372,4.2372,4.2372,4.2372,0.0030364999999999997
14,1602504960000,4.2581,4.2581,4.2581,4.2581,0.0039265
15,1602505500000,4.2579,4.2579,4.2579,4.2579,693.432041
16,1602506040000,4.2615,4.2615,4.2615,4.2615,0.0024925999999999998
17,1602506100000,4.2657,4.2657,4.2657,4.2657,0.0033238
18,1602506580000,4.2515,4.2515,4.2515,4.2515,0.0030313000000000002
19,1602506640000,4.2508,4.2515,4.2515,4.2508,692.8953402000002
20,1602507180000,4.2713,4.2695,4.2713,4.2695,0.0035747
21,1602507720000,4.2699,4.2699,4.2699,4.2699,0.0019680999999999995
22,1602508020000,4.2644,4.2644,4.2644,4.2644,5.360064
23,1602508500000,4.2744,4.2744,4.2744,4.2744,0.003968
24,1602508560000,4.2736,4.2736,4.2736,4.2736,0.0039134999999999994
25,1602509100000,4.2659,4.2659,4.2659,4.2659,0.0034240000000000004
26,1602509700000,4.2967,4.2967,4.2967,4.2967,0.0011040999999999998
27,1602510300000,4.3258,4.3258,4.3258,4.3258,0.0018196999999999998
28,1602510780000,4.3577,4.3577,4.3577,4.3577,0.002059
29,1602511320000,4.3608,4.3651,4.3651,4.3608,0.0059089
30,1602511920000,4.3536,4.3536,4.3536,4.3536,0.0011259
31,1602512460000,4.3661,4.3661,4.3661,4.3661,0.0039461999999999995
32,1602513000000,4.3621,4.3621,4.3621,4.3621,0.0020305
33,1602513600000,4.3515,4.3515,4.3515,4.3515,0.0015826
34,1602513780000,4.3505,4.3505,4.3505,4.3505,240.9339
35,1602514380000,4.376,4.376,4.376,4.376,0.0021474
