,time,open,close,high,low,volume
0,1598037720000,3.0037,3.0,3.0037,3.0,368.2786
1,1598038080000,3.0295,3.0295,3.0295,3.0295,50.0
2,1598041620000,3.0295,3.0295,3.0295,3.0295,398.86052619
3,1598042460000,3.0279,3.0279,3.0279,3.0279,35.0
4,1598044620000,2.9853,3.0,3.0,2.9853,1650.0
5,1598045220000,2.9871,2.9871,2.9871,2.9871,38.65703321
6,1598045280000,2.9975,2.9975,2.9975,2.9975,13.879937
7,1598045940000,2.9809,2.9809,2.9809,2.9809,38.90091172
8,1598046060000,3.0,3.0,3.0,3.0,100.0
9,1598046180000,3.0018,3.0018,3.0018,3.0018,1.0
10,1598046840000,3.0122,3.0122,3.0122,3.0122,10.0
11,1598049060000,3.0209,3.0209,3.0209,3.0209,118.51397649
12,1598049180000,3.0275,3.0275,3.0275,3.0275,12.16524876
13,1598049720000,3.06,3.06,3.06,3.06,14.01249941
14,1598049840000,3.0423,3.0423,3.0423,3.0423,0.3833249
15,1598050440000,3.0543,3.0543,3.0543,3.0543,99.8
16,1598050500000,3.0531,2.9775,3.0531,2.9775,15266.51818631
17,1598050560000,3.0496,3.0496,3.0496,3.0496,49.81744977
18,1598050740000,3.03,3.03,3.03,3.03,38.893118
19,1598051040000,3.03,2.9507,3.03,2.9507,4583.64197558
20,1598051100000,2.9243,2.9243,2.9243,2.9243,4.63001117
21,1598051580000,2.918,2.918,2.918,2.918,4139.4386798
22,1598052240000,2.89,2.89,2.89,2.89,719.3187
23,1598052300000,2.89,2.89,2.89,2.8805,5381.696789000001
24,1598052900000,3.16,3.16,3.16,3.16,4.5
25,1598054220000,2.8484,2.8484,2.8484,2.8484,4.44290813
26,1598055000000,2.8454,2.84,2.8454,2.84,310.54333309
27,1598055600000,2.8454,2.8454,2.8454,2.8454,8.71229475
28,1598055780000,2.8026,2.8026,2.8026,2.8026,0.24056619
29,1598056260000,2.8110000000000004,2.8110000000000004,2.8110000000000004,2.8110000000000004,1.93215438
30,1598056500000,2.8129,2.8129,2.8129,2.8129,0.90839051
31,1598056800000,2.8129,2.81,2.8129,2.81,3.17372
32,1598056980000,2.8,2.8129,2.8129,2.8,20.03820924
33,1598057040000,2.9799,2.9799,2.9799,2.9799,100.0
34,1598057100000,2.8214,2.8214,2.8214,2.8214,870.0
35,1598058360000,2.8208,2.8208,2.8208,2.8208,39.444679
36,1598058420000,2.8202,2.8202,2.8202,2.8202,31.868000000000002
37,1598059440000,2.8168,2.8168,2.8168,2.8168,36.0
38,1598059680000,2.8152,2.8152,2.8152,2.8152,0.15407973
39,1598060280000,2.85,2.85,2.85,2.85,0.07263688
40,1598065140000,2.85,2.85,2.85,2.85,372.0
41,1598065800000,2.85,2.85,2.85,2.85,0.6661
42,1598071020000,2.93,2.93,2.93,2.93,20.0
43,1598071080000,2.93,2.93,2.93,2.93,20.0
44,1598071500000,2.9279,2.9279,2.9279,2.9279,20.0
45,1598072820000,2.9059,2.9059,2.9059,2.9059,4.61716657
46,1598075160000,2.9361,2.9361,2.9361,2.9361,1000.0
47,1598080560000,3.0632,3.0632,3.0632,3.0632,961.73700083
48,1598080620000,3.0633,3.0695,3.0757,3.0633,9748.49526686
49,1598080680000,3.0718,3.0928,3.0928,3.0716,9588.12578101
50,1598080740000,3.0718,3.1198,3.1198,3.0718,10865.21749258
51,1598080800000,3.1226,3.1356,3.1356,3.1226,3809.86886157
52,1598080860000,3.13,3.13,3.13,3.13,342.9342
53,1598080920000,3.26,3.38,3.38,3.26,2486.54437207
54,1598080980000,3.43,3.43,3.43,3.43,314.7178
55,1598081100000,3.4562,3.5,3.5,3.4562,20.63533452
56,1598081160000,3.44,3.44,3.44,3.44,2.01660366
57,1598081580000,3.4555,3.4555,3.4555,3.4555,17.96046488
58,1598081640000,3.5404,3.6075,3.6075,3.5404,542.51470937
59,1598081700000,3.5647,3.57,3.57,3.5647,41.45213657
60,1598081880000,3.5753,3.5753,3.5753,3.5753,42.86718429
61,1598082420000,3.5380000000000003,3.5599,3.5599,3.5380000000000003,72.578835
62,1598082480000,3.57,3.6084,3.6084,3.57,408.238643
63,1598083020000,3.45,3.4301,3.45,3.4301,1241.78307795
64,1598083080000,3.43,3.4123,3.4367,3.3852,13065.76751932
65,1598083200000,3.4389,3.4389,3.4389,3.4389,33.549405
66,1598083380000,3.4239,3.4231,3.4239,3.4067,1761.28849885
67,1598083440000,3.4,3.4181,3.4191,3.4,1001.0
68,1598083500000,3.3795,3.417,3.417,3.3795,1400.68436815
69,1598083560000,3.3603,3.364,3.364,3.3418,3116.5259199
70,1598083620000,3.3259,3.3259,3.3259,3.3259,5.0
71,1598083740000,3.2998,3.3373,3.3553,3.2998,8822.13495811
72,1598083800000,3.4599,3.4599,3.4599,3.4599,20.0
73,1598083860000,3.4604,3.4604,3.4604,3.4604,10.0
74,1598083920000,3.44,3.452,3.452,3.44,16.0
75,1598084040000,3.4431,3.4081,3.4431,3.4081,239.74251099999998
76,1598084160000,3.3987,3.3801,3.4,3.3696,5573.97604394
77,1598084220000,3.4424,3.4424,3.4424,3.4424,13.0
78,1598084280000,3.4379,3.4379,3.4379,3.4379,0.810497
79,1598084340000,3.3943,3.3943,3.3943,3.3943,227.93386532
80,1598084460000,3.3789,3.4247,3.4247,3.3789,43.100906
81,1598084760000,3.3789,3.3719,3.3789,3.3719,475.83304000000004
82,1598084820000,3.3707,3.3653,3.3707,3.3653,637.1778738
83,1598084880000,3.3715,3.3728,3.38,3.3715,1572.90831135
84,1598084940000,3.3722,3.3722,3.3722,3.3722,9.98
85,1598085240000,3.438,3.4479,3.4479,3.438,3218.49464548
86,1598085300000,3.4564,3.4441,3.4736,3.4407,12483.40534883
87,1598085360000,3.4524,3.4524,3.4524,3.4524,859.66284001
88,1598086020000,3.5,3.5,3.5,3.5,91.886124
89,1598086080000,3.5,3.5,3.5,3.5,14.060163000000001
90,1598086200000,3.55,3.5598,3.5598,3.55,665.97155086
91,1598086380000,3.6442,3.6442,3.6442,3.6442,100.0
92,1598086440000,3.6908,3.7571,3.8201,3.6908,478.08162886
93,1598086500000,3.7873,3.81,3.81,3.7873,869.081857
94,1598086560000,3.81,3.81,3.81,3.81,37.838726
95,1598086800000,3.75,3.75,3.75,3.75,0.5435166
96,1598086860000,3.9058,3.9058,3.9058,3.9058,15.0
97,1598086920000,3.9075,3.7024,3.94,3.6801,6009.62858012
98,1598087160000,3.67,3.6660000000000004,3.67,3.66,538.02230978
99,1598087220000,3.64,3.7046,3.7046,3.64,1064.6877906
100,1598087280000,3.7066,3.7127,3.7127,3.7066,2910.16987754
101,1598087340000,3.7309,3.7309,3.7309,3.7309,1111.78817572
102,1598087580000,3.8011,3.8011,3.8011,3.8011,200.0
103,1598087700000,3.8634,3.8,3.8634,3.8,1070.0
104,1598087940000,3.8002,3.8142,3.8142,3.8002,17.978147
105,1598088060000,3.84,3.84,3.84,3.84,0.05
106,1598088240000,3.7405,3.7135,3.7405,3.7134,2695.43478483
107,1598088840000,3.85,3.8706,3.8706,3.85,2725.43478483
108,1598088900000,3.9181,3.9181,3.9181,3.9181,44.27184347
109,1598088960000,3.955,3.955,3.955,3.955,31.50194966
110,1598089140000,3.95,3.97,3.97,3.95,151.09553799999998
111,1598089260000,3.93,3.93,3.93,3.93,0.5
112,1598089440000,3.93,3.93,3.93,3.93,11.760773
113,1598089620000,3.9752,3.9752,3.9752,3.9752,85.419599
114,1598089740000,4.05,4.05,4.05,4.05,1.1
115,1598089920000,3.99,4.045,4.045,3.99,22.727106000000006
116,1598089980000,3.99,3.99,3.99,3.99,50.194276
117,1598090040000,3.9623,3.9623,3.9623,3.9623,0.49975349999999996
118,1598090280000,3.9824,3.9584,4.06,3.9410000000000003,772.636609
119,1598090340000,3.9736,3.9736,3.9736,3.9736,15.0
120,1598090520000,4.0175,4.02,4.02,4.0175,30.0
121,1598090640000,3.908,3.908,3.908,3.908,196.06055682
122,1598090700000,3.9134,3.9134,3.9134,3.9134,15.0
123,1598090940000,3.7854,3.7783,3.7854,3.7783,669.9233694000001
124,1598091120000,3.85,3.8307,3.85,3.8307,1965.32517695
125,1598091300000,3.8589,3.8589,3.8589,3.8589,198.75831795
126,1598091360000,3.86,3.86,3.86,3.86,981.761789
127,1598091480000,3.8433,3.8201,3.8449,3.8201,2380.95601791
128,1598091540000,3.8417,3.8101,3.8417,3.8101,1244.53656532
129,1598091600000,3.8137,3.8106,3.8267,3.7886,8008.74472601
130,1598091660000,3.8089,3.76,3.8089,3.76,4114.38597649
131,1598091720000,3.7768,3.7768,3.7768,3.7768,924.0502767
132,1598092440000,3.7269,3.7374,3.7374,3.7269,539.9057269
133,1598092560000,3.74,3.74,3.74,3.74,100.0
134,1598092740000,3.6501,3.6501,3.6501,3.6501,168.879663
135,1598093100000,3.7423,3.7521,3.7521,3.7423,277.58926336
136,1598093220000,3.7829,3.8012,3.8012,3.7829,838.07344741
137,1598093280000,3.8206,3.8404,3.8404,3.7857,3597.79311765
138,1598093340000,3.8095,3.81,3.8538,3.8036,3479.74348255
139,1598093400000,3.81,3.8428,3.8486,3.81,1559.80181599
140,1598093460000,3.8521,3.8683,3.8769,3.8495,1269.61275366
141,1598093520000,3.926,3.926,3.926,3.9183,2785.65894418
142,1598093580000,3.86,3.86,3.86,3.86,406.14962189999994
143,1598093760000,3.9229,3.86,4.0,3.86,2171.19927756
144,1598093820000,3.9238,3.9339,3.98,3.86,5052.02083815
145,1598093880000,3.86,3.86,3.86,3.86,270.36252205
146,1598094300000,3.795,3.795,3.795,3.795,199.99999866
147,1598094360000,3.742,3.742,3.742,3.742,139.06412512
148,1598094420000,3.74,3.7158,3.74,3.7158,1449.16561028
149,1598094600000,3.7230000000000003,3.6909,3.7230000000000003,3.6909,2959.39642727
150,1598094660000,3.7277,3.6904,3.7277,3.6801,919.53795471
151,1598095920000,3.8027,3.8027,3.8027,3.8027,9.876069000000001
152,1598095980000,3.8137,3.8231,3.8231,3.8137,227.37
153,1598096280000,3.7383,3.72,3.7383,3.72,1261.32105887
154,1598096400000,3.7201,3.7201,3.7201,3.7201,102.626504
155,1598096460000,3.7608,3.7608,3.7608,3.7608,30.0
