,time,open,close,high,low,volume
0,1565976780000,5.0,5.0,5.0,5.0,0.0023
1,1565976840000,5.0,5.0,5.0,5.0,0.0045
2,1565976900000,5.0,5.0,5.0,5.0,0.0072
3,1565977020000,4.998,4.998,4.998,4.998,0.0023
4,1565977080000,4.998,4.998,4.998,4.998,0.0023
5,1565977140000,4.998,4.998,4.998,4.998,0.0013
6,1565977200000,4.998,4.998,4.998,4.998,0.0036
7,1565977260000,4.998,4.998,4.998,4.998,0.0012
8,1565977320000,4.998,4.998,4.998,4.998,0.0024
9,1565977380000,4.998,4.998,4.998,4.998,0.0019
10,1565977440000,4.998,4.998,4.998,4.998,0.0012
11,1565977980000,5.008,5.008,5.008,5.008,0.0029
12,1565978340000,5.008,5.008,5.008,5.008,0.002
13,1565978640000,5.008,5.008,5.008,5.008,0.0018
14,1565979000000,5.007,5.007,5.007,5.007,0.0016
15,1565979360000,5.007,5.007,5.007,5.007,0.0021
16,1565979660000,5.007,5.007,5.007,5.007,0.0023
17,1565980020000,5.007,5.007,5.007,5.007,0.0024
18,1565980320000,5.007,5.007,5.007,5.007,0.001
19,1565980620000,5.004,5.004,5.004,5.004,0.0024
20,1565980980000,5.005,5.005,5.005,5.005,0.0025
21,1565981340000,5.004,5.004,5.004,5.004,0.0018
22,1565981700000,5.005,5.005,5.005,5.005,0.0015
23,1565982000000,5.005,5.005,5.005,5.005,0.0013
24,1565982300000,5.005,5.005,5.005,5.005,0.0023
25,1565982660000,5.005,5.005,5.005,5.005,0.0012
26,1565983020000,5.005,5.005,5.005,5.005,0.002
27,1565983380000,5.005,5.005,5.005,5.005,0.0025
28,1565983680000,5.005,5.005,5.005,5.005,0.0018
29,1565984040000,5.004,5.004,5.004,5.004,0.0021
30,1565984340000,5.004,5.004,5.004,5.004,0.0017
31,1565984700000,5.005,5.005,5.005,5.005,0.0015
32,1565985000000,5.005,5.005,5.005,5.005,0.002
33,1565985360000,5.005,5.005,5.005,5.005,0.0015
34,1565985660000,5.005,5.005,5.005,5.005,0.0023
35,1565986020000,5.005,5.005,5.005,5.005,0.0013
36,1565986320000,5.005,5.005,5.005,5.005,0.0017
37,1565986680000,5.004,5.004,5.004,5.004,0.0012
38,1565986980000,5.004,5.004,5.004,5.004,0.0022
39,1565987280000,5.004,5.004,5.004,5.004,0.002
40,1565987640000,5.004,5.004,5.004,5.004,0.0024
41,1565988000000,5.004,5.004,5.004,5.004,0.0015
42,1565988300000,5.005,5.005,5.005,5.005,0.0023
43,1565988660000,5.005,5.005,5.005,5.005,0.0019
44,1565988960000,5.005,5.005,5.005,5.005,0.0022
45,1565989320000,5.005,5.005,5.005,5.005,0.0014
46,1565989620000,5.004,5.004,5.004,5.004,0.0014
47,1565989980000,5.004,5.004,5.004,5.004,0.0019
48,1565990280000,5.004,5.004,5.004,5.004,0.001
49,1565990640000,5.004,5.004,5.004,5.004,0.0012
50,1565990940000,5.004,5.004,5.004,5.004,0.0021
51,1565991300000,5.004,5.004,5.004,5.004,0.0018
52,1565991660000,5.004,5.004,5.004,5.004,0.0024
53,1565992020000,5.004,5.004,5.004,5.004,0.0014
54,1565992380000,5.004,5.004,5.004,5.004,0.0021
55,1565992680000,5.004,5.004,5.004,5.004,0.0023
56,1565993040000,5.004,5.004,5.004,5.004,0.0016
57,1565993400000,5.004,5.004,5.004,5.004,0.001
58,1565993700000,5.004,5.004,5.004,5.004,0.0014
59,1565994060000,5.004,5.004,5.004,5.004,0.0023
60,1565994360000,5.004,5.004,5.004,5.004,0.0016
61,1565994720000,5.004,5.004,5.004,5.004,0.0011
62,1565995020000,5.004,5.004,5.004,5.004,0.0023
63,1565995320000,5.004,5.004,5.004,5.004,0.0016
64,1565995680000,5.004,5.004,5.004,5.004,0.0021
65,1565996040000,5.004,5.004,5.004,5.004,0.0019
66,1565996400000,5.005,5.005,5.005,5.005,0.0013
67,1565996700000,5.005,5.005,5.005,5.005,0.0025
68,1565997000000,5.005,5.005,5.005,5.005,0.0015
69,1565997360000,5.005,5.005,5.005,5.005,0.0019
70,1565997660000,5.005,5.005,5.005,5.005,0.0021
71,1565998020000,5.005,5.005,5.005,5.005,0.0014
72,1565998320000,5.005,5.005,5.005,5.005,0.0024
73,1565998620000,5.005,5.005,5.005,5.005,0.0022
74,1565998980000,5.005,5.005,5.005,5.005,0.0011
75,1565999340000,5.005,5.005,5.005,5.005,0.0021
76,1565999700000,5.005,5.005,5.005,5.005,0.0012
77,1566000000000,5.005,5.005,5.005,5.005,0.0016
78,1566000360000,5.005,5.005,5.005,5.005,0.0028
79,1566000780000,5.005,5.005,5.005,5.005,0.0029
80,1566005820000,4.981,4.981,4.981,4.981,0.6756
81,1566006120000,4.98,4.98,4.98,4.98,0.6529
82,1566006480000,4.98,4.98,4.98,4.98,0.6272
83,1566006780000,4.98,4.98,4.98,4.98,0.7041
84,1566007200000,4.98,4.98,4.98,4.98,0.6436
85,1566007560000,4.9801,4.9801,4.9801,4.9801,0.6173
86,1566007920000,4.9801,4.9801,4.9801,4.9801,0.6565
87,1566008220000,4.98,4.98,4.98,4.98,0.6441
88,1566008580000,4.974,4.974,4.974,4.974,0.6717
89,1566008880000,4.9741,4.9741,4.9741,4.9741,0.7529
90,1566009180000,4.9741,4.9741,4.9741,4.9741,0.6215
91,1566009540000,4.9741,4.9741,4.9741,4.9741,0.7147
92,1566009840000,4.9741,4.9741,4.9741,4.9741,0.7299
93,1566010200000,4.974,4.974,4.974,4.974,0.7812
94,1566010560000,4.9741,4.9741,4.9741,4.9741,0.6759
95,1566010920000,4.974,4.974,4.974,4.974,0.7248
96,1566011220000,4.9741,4.9741,4.9741,4.9741,0.677
97,1566011580000,4.974,4.974,4.974,4.974,0.6869
98,1566011880000,4.975,4.975,4.975,4.975,0.6924
99,1566012240000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6286
100,1566012600000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6929
101,1566012900000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7058
102,1566013200000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7253
103,1566013500000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6848
104,1566013860000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6788
105,1566014160000,4.9721,4.9721,4.9721,4.9721,0.6472
106,1566014520000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7371
107,1566014880000,4.9721,4.9721,4.9721,4.9721,0.6667
108,1566015180000,4.9721,4.9721,4.9721,4.9721,0.639
109,1566015540000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6799
110,1566015840000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6553
111,1566016200000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7528
112,1566016500000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6711
113,1566016860000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7618
114,1566017220000,4.961,4.961,4.961,4.961,0.7752
115,1566017580000,4.944,4.944,4.944,4.944,0.6275
116,1566017880000,4.944,4.944,4.944,4.944,0.6289
117,1566018240000,4.94,4.94,4.94,4.94,0.6639
118,1566018600000,4.935,4.935,4.935,4.935,0.6837
119,1566018960000,4.901,4.901,4.901,4.901,0.6237
120,1566019260000,4.901,4.901,4.901,4.901,0.6111
121,1566019560000,4.901,4.901,4.901,4.901,0.6384
122,1566019980000,4.879,4.879,4.879,4.879,0.6852
123,1566020280000,4.879,4.879,4.879,4.879,0.6959
124,1566020580000,4.8791,4.8791,4.8791,4.8791,0.7436
125,1566020940000,4.89,4.89,4.89,4.89,0.7344
126,1566021300000,4.919,4.919,4.919,4.919,0.6733
127,1566021660000,4.926,4.926,4.926,4.926,0.6779999999999999
128,1566022020000,4.927,4.927,4.927,4.927,0.613
129,1566022320000,4.927,4.927,4.927,4.927,0.6283
130,1566022680000,4.927,4.927,4.927,4.927,0.7278
131,1566023040000,4.927,4.927,4.927,4.927,0.6574
132,1566023340000,4.927,4.927,4.927,4.927,0.6145
133,1566023700000,4.927,4.927,4.927,4.927,0.6948
134,1566024060000,4.927,4.927,4.927,4.927,0.6069
135,1566024420000,4.9271,4.9271,4.9271,4.9271,0.7112
136,1566024720000,4.927,4.927,4.927,4.927,0.728
137,1566025080000,4.9271,4.9271,4.9271,4.9271,0.6432
138,1566025380000,4.9271,4.9271,4.9271,4.9271,0.7323
139,1566025740000,4.9271,4.9271,4.9271,4.9271,0.654
140,1566026040000,4.927,4.927,4.927,4.927,0.6994
141,1566026400000,4.927,4.927,4.927,4.927,0.6539
142,1566026700000,4.927,4.927,4.927,4.927,0.6849
143,1566027060000,4.927,4.927,4.927,4.927,0.6411
144,1566027420000,4.927,4.927,4.927,4.927,0.6226
145,1566027720000,4.928,4.928,4.928,4.928,0.7232
146,1566028020000,4.9281,4.9281,4.9281,4.9281,0.7461
147,1566028380000,4.928,4.928,4.928,4.928,0.747
148,1566028680000,4.9319999999999995,4.9319999999999995,4.9319999999999995,4.9319999999999995,0.7568
149,1566029040000,4.9321,4.9321,4.9321,4.9321,0.6927
150,1566029400000,4.9351,4.9351,4.9351,4.9351,0.6204
151,1566029760000,4.9421,4.9421,4.9421,4.9421,0.6218
152,1566030060000,4.9451,4.9451,4.9451,4.9451,0.6375
153,1566030420000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6155
154,1566030780000,4.9461,4.9461,4.9461,4.9461,0.6293
155,1566031080000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7549
156,1566031440000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6071
157,1566031800000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.71
158,1566032100000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6589
159,1566032460000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6778
160,1566032820000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6291
161,1566033120000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6525
162,1566033480000,4.9461,4.9461,4.9461,4.9461,0.6386
163,1566033780000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6
164,1566034140000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6985
165,1566034440000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7536
166,1566034800000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7459
