,time,open,close,high,low,volume
0,1545551580000,0.2349,0.2349,0.2349,0.2349,1500.0
1,1545551640000,0.2349,88.0,88.0,0.2349,8594.78424555
2,1545552780000,0.0333,0.033260000000000005,0.0333,0.033260000000000005,10000.0
3,1545559860000,0.1,0.045,0.1,0.045,570.0
4,1545561900000,0.049009,0.049009,0.049009,0.049009,714.15454304
5,1545563880000,0.049009,0.049009,0.049009,0.049009,325.14539769
6,1545564540000,0.0341,0.0341,0.0341,0.0341,337.95171
7,1545585660000,0.05,0.05,0.05,0.05,706.7662998
8,1545585780000,0.0355,0.0355,0.0355,0.0355,238.4642
9,1545605100000,0.040206,0.040206,0.040206,0.040206,166.0
10,1545605340000,0.043994,0.043994,0.043994,0.043994,765.13581807
11,1545606120000,0.043988,0.043991,0.043991,0.043988,2891.76463077
12,1545611640000,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,517.90036588
13,1545626400000,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,193.14556905
14,1545640320000,0.045,0.045,0.045,0.045,588.95406507
15,1545646260000,0.0778,0.0778,0.0778,0.0778,201.7
16,1545661440000,0.045052999999999996,0.045052999999999996,0.045052999999999996,0.045052999999999996,1585.98110151
17,1545663360000,0.045525,0.045525,0.045525,0.045525,1099.87701855
18,1545704040000,0.044903,0.044903,0.044903,0.044903,282.41668774
19,1545711060000,0.043210000000000005,0.040999999999999995,0.043210000000000005,0.040999999999999995,3876.70315704
20,1545854640000,0.068,0.068,0.068,0.068,166.0
21,1545854760000,0.068,0.068,0.068,0.068,1733.90480949
22,1545854820000,0.042,0.042,0.042,0.042,166.0
23,1545855180000,0.066393,0.066393,0.066393,0.066393,166.0
24,1545855240000,0.066,0.066,0.066,0.066,1730.0
25,1545855300000,0.0615,0.0425,0.0615,0.0425,3460.0
26,1545855420000,0.043,0.043,0.043,0.043,1471.09322041
27,1545855480000,0.043,0.043,0.043,0.043,2753.0
28,1545855540000,0.0598,0.057,0.0598,0.057,2913.494
29,1545855600000,0.043,0.043,0.043,0.043,166.0
30,1545855660000,0.043,0.055,0.056615,0.043,6856.566045969998
31,1545855720000,0.043262,0.043262,0.043262,0.043262,166.0
32,1545855780000,0.044000000000000004,0.044000000000000004,0.044000000000000004,0.044000000000000004,3337.978
33,1545855840000,0.055,0.055,0.055,0.055,3490.84495788
34,1545855900000,0.05499,0.05499,0.05499,0.05499,166.0
35,1545855960000,0.05499,0.054000000000000006,0.055,0.054000000000000006,4296.0
36,1545856020000,0.053,0.053,0.053,0.053,806.0
37,1545856080000,0.04403,0.04405,0.04405,0.04403,5166.0
38,1545856140000,0.052000000000000005,0.0519,0.052000000000000005,0.0519,4656.0
39,1545856200000,0.0519,0.0517,0.0519,0.0517,6105.45504212
40,1545856260000,0.0448,0.0448,0.0448,0.0448,5824.0
41,1545856320000,0.0516,0.0516,0.0516,0.0514,5978.0
42,1545856380000,0.0516,0.0516,0.0516,0.0516,4935.81927452
43,1545856440000,0.0448,0.0448,0.0455,0.0448,6866.0
44,1545856500000,0.051379999999999995,0.051379999999999995,0.051379999999999995,0.050557,5761.0
45,1545856560000,0.051,0.0448,0.051,0.0448,8912.0
46,1545856680000,0.051379999999999995,0.051379999999999995,0.051379999999999995,0.051379999999999995,7640.0
47,1545856740000,0.0448,0.051379999999999995,0.051379999999999995,0.0448,17472.0
48,1545856800000,0.044801,0.044801,0.044801,0.044801,166.0
49,1545856860000,0.04482,0.051378999999999994,0.051378999999999994,0.044801,10321.0
50,1545856920000,0.05136,0.05136,0.05136,0.05136,166.0
51,1545857100000,0.044822,0.044826,0.045,0.044822,11893.0
52,1545857160000,0.044826,0.044829,0.044829,0.044826,1927.0
53,1545857220000,0.051359,0.051359,0.051359,0.051359,765.0
54,1545857280000,0.0512,0.05135,0.05135,0.05119,12303.0
55,1545857340000,0.044907,0.04483,0.044907,0.04483,2953.336833680001
56,1545857400000,0.044908,0.044908,0.044908,0.044908,12937.0
57,1545857580000,0.051135,0.051135,0.051135,0.051135,12911.0
58,1545857640000,0.044910000000000005,0.044910000000000005,0.044910000000000005,0.044910000000000005,14671.0
59,1545857700000,0.051131,0.0509,0.051131,0.0509,332.0
60,1545857760000,0.0504,0.0504,0.0504,0.0504,166.0
61,1545857820000,0.0497,0.049,0.0497,0.048,14974.0
62,1545857880000,0.04494,0.04494,0.04494,0.04494,166.0
63,1545858060000,0.0511,0.05101,0.0511,0.05101,15742.0
64,1545858120000,0.0431,0.0431,0.0431,0.0431,166.0
65,1545858240000,0.0432,0.0432,0.0432,0.0432,332.0
66,1545858300000,0.0432,0.0469,0.048,0.0432,36840.0
67,1545858360000,0.043225,0.043225,0.043225,0.043225,166.0
68,1545858420000,0.0432,0.0432,0.0432,0.0432,19848.0
69,1545858480000,0.0468,0.0468,0.0468,0.0468,19808.0
70,1545858540000,0.0432,0.0463,0.0463,0.0432,21582.0
71,1545858600000,0.0459,0.0449,0.0459,0.0449,332.0
72,1545858660000,0.0444,0.044000000000000004,0.0444,0.044000000000000004,21539.0
73,1545859920000,0.048,0.050636,0.050636,0.048,944.59048597
74,1545859980000,0.05,0.05,0.05,0.05,166.0
75,1545861900000,0.045,0.044088999999999996,0.045,0.044088999999999996,11268.73580849
76,1545865140000,0.0489,0.0489,0.0489,0.0489,166.0
77,1545866580000,0.042,0.042,0.042,0.042,1661.10463524
78,1545866700000,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,5268.43877032
79,1545869340000,0.03662,0.048119999999999996,0.048119999999999996,0.03662,332.0
80,1545873060000,0.0365,0.0365,0.0365,0.0365,166.0
81,1545873120000,0.0365,0.035249,0.0365,0.035108999999999994,50230.31060785
82,1545873180000,0.04811,0.049496,0.049496,0.04811,534.87241263
83,1545876900000,0.043,0.043,0.043,0.043,9785.838093859997
84,1545881520000,0.0453,0.0453,0.0453,0.0453,15746.0
85,1545881580000,0.03651,0.0453,0.0453,0.036102999999999996,28111.0
86,1545881640000,0.036102999999999996,0.036102999999999996,0.0453,0.036102999999999996,31985.0
87,1545881700000,0.04525,0.04525,0.04525,0.04525,166.0
88,1545881820000,0.045239999999999995,0.036102999999999996,0.045239999999999995,0.036102999999999996,7959.0
89,1545881880000,0.037203,0.045,0.045,0.037203,8125.0
90,1545881940000,0.044999000000000004,0.044999000000000004,0.044999000000000004,0.044999000000000004,6367.0
91,1545882000000,0.037203,0.0449,0.0449,0.037203,6533.0
92,1545882060000,0.044899,0.0448,0.044899,0.0448,5264.0
93,1545882120000,0.0362,0.03621,0.03621,0.0362,5430.0
94,1545882240000,0.044562,0.044562,0.044562,0.044562,166.0
95,1545882300000,0.044014,0.043843,0.044014,0.043843,332.0
96,1545882360000,0.041999,0.03621,0.041999,0.03621,29148.14452749
97,1545882420000,0.042999,0.042999,0.042999,0.042999,12429.0
98,1545882480000,0.03621,0.042798,0.042799000000000004,0.03621,22896.0
99,1545882540000,0.03621,0.03621,0.03621,0.03621,10633.0
100,1545882600000,0.042799000000000004,0.03655,0.042799000000000004,0.036329,9455.024
101,1545882660000,0.037538999999999996,0.037538999999999996,0.037538999999999996,0.037538999999999996,8293.0
102,1545882840000,0.043571,0.041999,0.043571,0.041999,664.0
103,1545882900000,0.040092,0.049499,0.049499,0.04,23459.22472982
104,1545882960000,0.049,0.037538999999999996,0.049,0.037299,3554.67228606
105,1545883020000,0.038539,0.048,0.048,0.038539,7759.0
106,1545883080000,0.0479,0.0471,0.0479,0.0471,6216.0
107,1545883320000,0.040092,0.040092,0.040092,0.040092,166.0
108,1545883380000,0.04019,0.040093000000000004,0.04019,0.040093000000000004,6382.0
109,1545883440000,0.047,0.046999,0.047,0.046999,332.0
110,1545883980000,0.0467,0.046583,0.0467,0.046583,332.0
111,1545884040000,0.045,0.045,0.045,0.045,5082.0
112,1545884100000,0.041103,0.041103,0.041103,0.041103,5383.31975159
113,1545884460000,0.045,0.045,0.045,0.045,4732.0
114,1545884520000,0.041103,0.041103,0.041103,0.041103,5095.45252932
115,1545884580000,0.045,0.041103,0.045,0.041103,9602.0
116,1545884640000,0.044871,0.0437,0.044871,0.0437,4331.0
117,1545884700000,0.041103,0.0437,0.0437,0.041103,8389.06711693
118,1545884760000,0.041103,0.043655,0.0437,0.041103,8028.0
119,1545884820000,0.043571,0.043655,0.043655,0.043571,3970.0
120,1545884940000,0.0475,0.0475,0.0475,0.0475,1940.0
121,1545885000000,0.043655,0.043655,0.043655,0.043655,2410.36010193
122,1545885060000,0.0475,0.043655,0.0475,0.043655,4603.0
123,1545885120000,0.0475,0.043655,0.0475,0.043655,4577.04947886
124,1545885180000,0.0475,0.0475,0.0475,0.0475,2181.4417263200007
125,1545885240000,0.041003,0.0485,0.0485,0.041003,4642.27157991
126,1545885300000,0.04105,0.041063,0.041063,0.04105,2763.28894399
127,1545885360000,0.0485,0.041163,0.0485,0.041145,4660.0
128,1545886440000,0.048,0.046,0.048,0.046,12519.0
129,1545886500000,0.041210000000000004,0.046,0.046,0.041210000000000004,24466.127999999997
130,1545886560000,0.042210000000000004,0.04322,0.04322,0.042210000000000004,12113.0
131,1545886620000,0.047,0.04322,0.047,0.04322,23824.876
132,1545886680000,0.04699,0.0495,0.0495,0.04699,14209.0
133,1545886740000,0.049791,0.045221,0.049791,0.04322,17191.37280552
134,1545886800000,0.066611,0.066551,0.066611,0.066551,332.0
