,time,open,close,high,low,volume
0,1545420720000,2.1055,2.1055,2.1055,2.1055,301.47354065
1,1545420780000,2.0994,2.0996,2.0996,2.0994,423.49109122
2,1545421140000,2.1156,2.1156,2.1156,2.1156,257.74674972
3,1545421560000,2.1149,2.1149,2.1149,2.1149,199.2
4,1545421620000,2.1018,2.1018,2.1018,2.1018,298.18837565
5,1545422580000,2.1105,2.1105,2.1105,2.1105,296.70836414
6,1545423120000,2.10473618,2.10473618,2.10473618,2.10473618,18.80705125
7,1545423480000,2.097,2.097,2.097,2.097,298.33461742
8,1545425100000,2.0658,2.05026082,2.0658,2.05026082,444.43795072
9,1545425160000,2.0331368999999997,2.0319,2.0331368999999997,2.0319,40.87594974
10,1545425220000,2.03052361,2.03052361,2.03052361,2.03052361,427.62526644
11,1545425280000,2.0398,2.0398,2.0398,2.0398,21.68314647
12,1545426000000,2.0449,2.0449,2.0449,2.0449,66.28251637
13,1545426660000,2.0716,2.0716,2.0716,2.0716,302.04633564
14,1545426840000,2.0798,2.0798,2.0798,2.0798,49.999995
15,1545426900000,2.0735,2.07222294,2.0735,2.07222294,307.00658488
16,1545428400000,2.08067992,2.08075909,2.08075909,2.08067992,317.18026909
17,1545428640000,2.0958,2.0958,2.0958,2.0958,126.06540002
18,1545428700000,2.09271383,2.09152628,2.09271383,2.09152628,390.89222136
19,1545429660000,2.097,2.097,2.097,2.097,300.80132447
20,1545429960000,2.0867,2.0867,2.0867,2.0867,300.651575
21,1545430260000,2.0887,2.0887,2.0887,2.0887,288.24484737
22,1545430860000,2.076,2.076,2.076,2.076,25.42767873
23,1545431460000,2.0672,2.0672,2.0672,2.0672,301.58702427
24,1545431880000,2.0756,2.0778,2.0778,2.0756,602.9954366300002
25,1545432420000,2.07679143,2.07679143,2.07679143,2.07679143,24.43198177
26,1545435360000,2.1091,2.1091,2.1091,2.1091,298.2962089400001
27,1545436800000,2.1158,2.1158,2.1158,2.1158,116.47690119
28,1545436980000,2.113,2.113,2.113,2.113,297.54258998
29,1545439920000,2.09543579,2.09543579,2.09543579,2.09543579,6.17221695
30,1545440640000,2.08161052,2.08161052,2.08161052,2.08161052,50.0
31,1545440820000,2.0881,2.0881,2.0881,2.0881,300.63788365
32,1545442620000,2.0811,2.0811,2.0811,2.0811,299.72839992
33,1545443640000,2.0621,2.0621,2.0621,2.0621,303.02125730000006
34,1545444000000,2.0697,2.0697,2.0697,2.0697,303.00106607
35,1545445860000,2.0384,2.0384,2.0384,2.0384,305.46381124
36,1545446580000,2.06604723,2.06715325,2.06715325,2.06604723,100.0
37,1545447840000,2.061,2.061,2.061,2.061,303.89086635
38,1545448200000,2.05719906,2.05719906,2.05719906,2.05719906,250.0
39,1545455280000,2.0484,2.0484,2.0484,2.0484,17.90455796
40,1545457680000,2.0278,2.0278,2.0278,2.0278,306.81232065
41,1545457800000,2.0291,2.0291,2.0291,2.0291,301.82468778
42,1545461760000,2.0485,2.0485,2.0485,2.0485,304.83653234
43,1545461940000,2.0464,2.0464,2.0464,2.0464,305.13260929
44,1545465360000,2.0763,2.0763,2.0763,2.0763,303.37510975
45,1545465660000,2.0756,2.0756,2.0756,2.0756,146.98285814
46,1545469200000,2.0727,2.0727,2.0727,2.0727,303.18703248
47,1545470760000,2.0846,2.0846,2.0846,2.0846,302.63048552
48,1545471000000,2.1098,2.1098,2.1098,2.1098,9.72166225
49,1545471060000,2.1143,2.1143,2.1143,2.1143,130.32179445
50,1545471120000,2.1264,2.1324,2.1324,2.1264,636.63519924
51,1545471180000,2.1329615,2.1208,2.1329615,2.1208,361.519
52,1545471240000,2.1283,2.1288,2.1288,2.1283,471.29061666
53,1545471360000,2.13173155,2.13173155,2.13173155,2.13173155,3.2e-06
54,1545471480000,2.1336,2.12759471,2.1336,2.1251,645.6481529199998
55,1545471720000,2.1254,2.1254,2.1254,2.1254,301.74541019
56,1545473100000,2.12442934,2.12442934,2.12442934,2.12442934,31.71965896
57,1545474360000,2.1249,2.1249,2.1249,2.1249,302.32040569
58,1545475380000,2.12120959,2.12120959,2.12120959,2.12120959,5.0999999999999995e-06
59,1545475680000,2.1207,2.1207,2.1207,2.1207,14.890956699999998
60,1545475920000,2.11961025,2.11961025,2.11961025,2.11961025,79.04976996
61,1545475980000,2.1172402000000003,2.1172402000000003,2.1172402000000003,2.1172402000000003,74.54484385
62,1545477540000,2.10625899,2.10625899,2.10625899,2.10625899,24.45352856
63,1545478140000,2.0974,2.0974,2.0974,2.0974,304.09506056
64,1545480480000,2.1073,2.1073,2.1073,2.1073,301.45306129
65,1545481200000,2.0974,2.0974,2.0974,2.0974,272.47006847
66,1545484080000,2.0795,2.0795,2.0795,2.0795,303.28661995
67,1545485580000,2.1006,2.1006,2.1006,2.1006,281.78446734
68,1545490080000,2.0711,2.0711,2.0711,2.0711,303.33664814
69,1545491820000,2.0669999999999997,2.0669999999999997,2.0669999999999997,2.0669999999999997,302.82120699999996
70,1545494220000,2.0777,2.0777,2.0777,2.0777,302.53563060000005
71,1545494580000,2.0809,2.0809,2.0809,2.0809,302.83631180000003
72,1545494880000,2.0613,2.0613,2.0613,2.0613,303.47087843
73,1545495180000,2.0579,2.0579,2.0579,2.0579,305.21469421
74,1545495300000,2.0502,2.0502,2.0502,2.0502,306.08361564
75,1545495480000,2.0551,2.0551,2.0551,2.0551,275.80630382
