,time,open,close,high,low,volume
0,1555063320000,5.3485,5.3485,5.3485,5.3485,5.0
1,1555076520000,5.3461,5.3461,5.3461,5.3461,1695.05067737
2,1555076580000,5.3462,5.3322,5.3462,5.3322,2259.87164772
3,1555077060000,5.3456,5.3456,5.3456,5.3456,38.411
4,1555084500000,5.3155,5.3154,5.3155,5.3154,209.80212875
5,1555084860000,5.2965,5.2965,5.2965,5.2965,300.93363076
6,1555085220000,5.3136,5.3136,5.3136,5.3136,105.76453177
7,1555086180000,5.3376,5.3376,5.3376,5.3376,38.06733934
8,1555089660000,5.325,5.325,5.325,5.325,27.27797324
9,1555150260000,5.2744,5.2743,5.2744,5.2743,480.24364867
10,1555150680000,5.2399,5.2399,5.2399,5.2399,410.18190007
11,1555151700000,5.211,5.2,5.211,5.2,21.91517942
12,1555218900000,5.2445,5.2445,5.2445,5.2445,213.64970997
13,1555228020000,5.2695,5.2695,5.2695,5.2695,304.23931025
14,1555236540000,5.2944,5.2944,5.2944,5.2944,212.00582642
15,1555237560000,5.2932,5.2932,5.2932,5.2932,92.45838026
16,1555245180000,5.2798,5.2798,5.2798,5.2798,309.07347691
17,1555256160000,5.2806,5.2806,5.2806,5.2806,234.99747542
18,1555258620000,5.3052,5.3052,5.3052,5.3052,604.83847901
19,1555261800000,5.2883,5.2883,5.2883,5.2883,212.39062475
20,1555264500000,5.2862,5.2862,5.2862,5.2862,3.93486088
21,1555264560000,5.2862,5.2844,5.2862,5.2844,10.27732468
22,1555279740000,5.3372,5.3372,5.3372,5.3372,105.51317466
23,1555282080000,5.4528,5.4534,5.4534,5.4528,228.03223030000004
24,1555282140000,5.5107,5.5261,5.5261,5.5107,306.01374730000003
25,1555282200000,5.546,5.546,5.546,5.546,580.44203823
26,1555287060000,5.5616,5.5616,5.5616,5.5616,644.80204619
27,1555287480000,5.5339,5.5339,5.5339,5.5339,44.68954175
28,1555287600000,5.5268,5.5268,5.5268,5.5268,44.69673266
29,1555287720000,5.5246,5.5246,5.5246,5.5246,44.74833536
30,1555293360000,5.5726,5.5726,5.5726,5.5726,532.15056601
31,1555312980000,5.5145,5.5145,5.5145,5.5145,32.17370608
32,1555323540000,5.4649,5.4649,5.4649,5.4649,64.94330473
33,1555324920000,5.4262,5.4262,5.4262,5.4262,517.12325246
34,1555338420000,5.4398,5.4398,5.4398,5.4398,310.35914613
35,1555349460000,5.3278,5.3278,5.3278,5.3278,0.003
36,1555349580000,5.2765,5.2573,5.277,5.2573,1354.19161622
37,1555349640000,5.2498,5.2498,5.2498,5.2498,460.780295
38,1555349760000,5.2247,5.2247,5.2247,5.2247,5.7312
39,1555355640000,5.2822,5.2773,5.2822,5.2773,505.5066055
40,1555377120000,5.3773,5.3773,5.3773,5.3773,101.65675192
41,1555395900000,5.3513,5.3513,5.3513,5.3513,2.20421206
42,1555404900000,5.3878,5.3878,5.3878,5.3878,2.0
43,1555404960000,5.3871,5.3871,5.3871,5.3871,2.0
44,1555406340000,5.3873,5.3873,5.3873,5.3873,86.9199
45,1555412640000,5.3337,5.3202,5.3337,5.3202,343.9069218
46,1555413000000,5.3394,5.3239,5.3394,5.3236,2720.96628796
47,1555423020000,5.2877,5.2877,5.2877,5.2877,82.8293
48,1555435740000,5.428999999999999,5.428999999999999,5.428999999999999,5.428999999999999,321.56331587
49,1555435980000,5.4354,5.4354,5.4354,5.4354,82.9711642
50,1555436760000,5.4658,5.4658,5.4658,5.4658,300.93724147
51,1555447740000,5.4523,5.4523,5.4523,5.4523,4.62278577
52,1555448460000,5.4461,5.4461,5.4461,5.4461,10.96832001
53,1555448700000,5.4478,5.4478,5.4478,5.4478,5.79078327
54,1555465500000,5.4675,5.4675,5.4675,5.4675,286.28889374
55,1555497900000,5.4424,5.4424,5.4424,5.4424,206.64603366
56,1555525560000,5.3627,5.3627,5.3627,5.3627,73.36207803
57,1555534080000,5.4287,5.4287,5.4287,5.4287,95.2
58,1555540080000,5.4291,5.4291,5.4291,5.4291,13.0
59,1555550400000,5.4458,5.4458,5.4458,5.4458,80.4361
60,1555550460000,5.4458,5.4458,5.4458,5.4458,26.5014
61,1555552140000,5.477,5.477,5.477,5.477,3.0
62,1555552380000,5.4953,5.4953,5.4953,5.4953,30.4873604
63,1555557540000,5.4979,5.4979,5.4979,5.4979,71.0
64,1555588560000,5.4302,5.4302,5.4302,5.4302,2.16744116
65,1555602660000,5.4691,5.4691,5.4691,5.4691,363.30571478
66,1555602720000,5.4691,5.4691,5.4691,5.4691,370.73305759
67,1555620120000,5.4943,5.4943,5.4943,5.4943,241.38410607
68,1555638480000,5.4,5.3967,5.4,5.3967,106.63116575
69,1555638540000,5.4065,5.4066,5.4066,5.4065,110.72112056
70,1555643640000,5.3638,5.3638,5.3638,5.3638,58.74801125
71,1555669680000,5.4321,5.4321,5.4321,5.4321,102.81408421
72,1555686720000,5.428999999999999,5.428999999999999,5.428999999999999,5.428999999999999,28.90369328
73,1555691100000,5.452000000000001,5.452000000000001,5.452000000000001,5.452000000000001,3.02965553
74,1555735920000,5.471,5.4714,5.4714,5.471,511.54006449
75,1555803780000,5.4322,5.4322,5.4322,5.4322,16.11253211
76,1555819620000,5.4079,5.4079,5.4079,5.4079,2.0
77,1555827060000,5.3604,5.3604,5.3604,5.3604,443.18029173
78,1555827180000,5.3538,5.3538,5.3538,5.3538,83.94895904
79,1555834260000,5.2874,5.2873,5.2874,5.2873,551.45442891
80,1555834800000,5.2,5.2,5.2,5.2,22.95565574
81,1555834860000,5.1497,5.1381,5.1497,5.1381,912.77932592
82,1555834920000,5.0941,5.0941,5.0941,5.0941,8.244832
83,1555835220000,5.189,5.189,5.189,5.189,80.0
84,1555838100000,5.178,5.1757,5.178,5.1757,375.0
85,1555841880000,5.1608,5.1608,5.1608,5.1608,354.04391532
86,1555849380000,5.0503,5.0503,5.0503,5.0503,329.60870921
87,1555849740000,4.9529,4.9529,4.9529,4.9529,62.05830307
88,1555849800000,4.9669,4.9668,4.9669,4.9668,170.53860465
89,1555849980000,4.9896,4.9896,4.9896,4.9896,111.45108274
90,1555854120000,5.111000000000001,5.111000000000001,5.111000000000001,5.111000000000001,58.80047042
91,1555854180000,5.111000000000001,5.111000000000001,5.111000000000001,5.111000000000001,41.19952958
