,time,open,close,high,low,volume
0,1598950680000,1.1901,1.1901,1.1901,1.1901,500.0
1,1598953800000,1.1982,1.1982,1.1982,1.1982,10.0
2,1598967540000,1.1961,1.1961,1.1961,1.1961,500.0
3,1598968860000,1.1951,1.1951,1.1951,1.1951,10.0
4,1598969400000,1.1933,1.1933,1.1933,1.1933,10.0
5,1598980020000,1.1903,1.1903,1.1903,1.1903,30.0
6,1598980080000,1.19,1.19,1.19,1.19,100.0
7,1599004320000,1.1909,1.1909,1.1909,1.1909,500.0
8,1599008820000,1.1897,1.1897,1.1897,1.1897,20.0
9,1599029220000,1.1896,1.1896,1.1896,1.1896,500.0
10,1599030480000,1.188,1.188,1.188,1.188,10.0
11,1599031140000,1.187,1.187,1.187,1.187,10.0
12,1599042120000,1.1856,1.1856,1.1856,1.1856,40.0
13,1599044580000,1.1863,1.1863,1.1863,1.1863,500.0
14,1599045840000,1.1846,1.1845,1.1846,1.1845,540.0
15,1599050820000,1.1848,1.1848,1.1848,1.1848,4.0
16,1599054000000,1.1837,1.1837,1.1837,1.1837,500.0
17,1599055860000,1.1815,1.1815,1.1815,1.1815,40.0
18,1599076860000,1.1835,1.1835,1.1835,1.1835,500.0
19,1599130680000,1.1803,1.1803,1.1803,1.1803,500.0
20,1599130860000,1.1803,1.1803,1.1803,1.1803,1500.0
21,1599130920000,1.1803,1.1803,1.1803,1.1803,500.0
22,1599130980000,1.1803,1.1803,1.1803,1.1803,2000.0
23,1599131040000,1.1803,1.1803,1.1803,1.1803,500.0
24,1599141660000,1.1836,1.1836,1.1836,1.1836,500.0
25,1599180420000,1.1839,1.1839,1.1839,1.1839,500.0
26,1599180600000,1.1839,1.1839,1.1839,1.1839,2000.0
27,1599180660000,1.1839,1.1839,1.1839,1.1839,2000.0
28,1599180720000,1.1839,1.1839,1.1839,1.1839,500.0
29,1599201780000,1.1832,1.1832,1.1832,1.1832,500.0
30,1599204060000,1.1837,1.1837,1.1837,1.1837,500.0
31,1599213600000,1.1834,1.1834,1.1834,1.1834,15.0
32,1599222780000,1.1819,1.1821,1.1821,1.1819,500.0
33,1599223140000,1.181,1.181,1.181,1.181,500.0
34,1599224340000,1.1795,1.1795,1.1795,1.1795,500.0
35,1599224640000,1.179,1.179,1.179,1.179,400.0
36,1599225660000,1.1791,1.1791,1.1791,1.1791,200.0
37,1599228540000,1.1781,1.1781,1.1781,1.1781,500.0
38,1599229440000,1.1779,1.178,1.178,1.1779,500.0
39,1599231960000,1.1781,1.1781,1.1781,1.1781,500.0
40,1599235200000,1.1792,1.1792,1.1792,1.1792,500.0
41,1599236340000,1.1794,1.1794,1.1794,1.1794,500.0
42,1599238500000,1.1807,1.1807,1.1807,1.1807,500.0
43,1599243420000,1.1824,1.1824,1.1824,1.1824,500.0
44,1599250740000,1.183,1.183,1.183,1.183,500.0
45,1599268800000,1.1829,1.1829,1.1829,1.1829,500.0
46,1599309960000,1.1835,1.1835,1.1835,1.1835,500.0
47,1599327300000,1.1833,1.1833,1.1833,1.1833,500.0
48,1599329220000,1.1834,1.1834,1.1834,1.1834,500.0
49,1599344700000,1.1834,1.1834,1.1834,1.1834,500.0
50,1599345180000,1.183,1.183,1.183,1.183,500.0
51,1599373620000,1.1835,1.1835,1.1835,1.1835,500.0
52,1599374100000,1.1827,1.1827,1.1827,1.1827,500.0
53,1599377040000,1.1833,1.1833,1.1833,1.1833,500.0
54,1599379440000,1.1833,1.1833,1.1833,1.1833,500.0
55,1599391320000,1.1836,1.1836,1.1836,1.1836,500.0
56,1599392280000,1.1835,1.1835,1.1835,1.1835,500.0
57,1599393240000,1.1837,1.1837,1.1837,1.1837,500.0
58,1599394200000,1.1836,1.1836,1.1836,1.1836,500.0
59,1599395160000,1.1834,1.1834,1.1834,1.1834,500.0
60,1599402360000,1.1835,1.1835,1.1835,1.1835,500.0
61,1599403800000,1.1836,1.1836,1.1836,1.1836,500.0
62,1599405240000,1.1838,1.1838,1.1838,1.1838,500.0
63,1599416160000,1.1836,1.183,1.1836,1.183,1000.0
64,1599416640000,1.1833,1.1833,1.1833,1.1833,500.0
65,1599431460000,1.1840000000000002,1.1840000000000002,1.1840000000000002,1.1840000000000002,500.0
66,1599435780000,1.1831,1.1831,1.1831,1.1831,500.0
67,1599447780000,1.1831,1.1831,1.1831,1.1831,500.0
68,1599461700000,1.1825,1.1825,1.1825,1.1825,500.0
69,1599472260000,1.1824,1.1824,1.1824,1.1824,500.0
70,1599477480000,1.1811,1.1811,1.1811,1.1811,500.0
71,1599477960000,1.1823,1.1823,1.1823,1.1823,500.0
72,1599489960000,1.1821,1.1821,1.1821,1.1821,500.0
73,1599491640000,1.1818,1.1818,1.1818,1.1818,500.0
74,1599493560000,1.1815,1.1815,1.1815,1.1815,500.0
75,1599494040000,1.1814,1.1814,1.1814,1.1814,1000.0
76,1599507960000,1.1814,1.1814,1.1814,1.1814,500.0
77,1599509880000,1.1812,1.1812,1.1812,1.1812,500.0
78,1599515280000,1.1804,1.1804,1.1804,1.1804,500.0
79,1599520080000,1.1812,1.1812,1.1812,1.1812,500.0
80,1599524400000,1.1815,1.1815,1.1815,1.1815,500.0
81,1599527940000,1.1785,1.1785,1.1785,1.1785,74.0
82,1599531600000,1.1805,1.1799,1.1805,1.1799,1000.0
83,1599535920000,1.1797,1.1797,1.1797,1.1797,500.0
84,1599544560000,1.1795,1.1795,1.1795,1.1795,500.0
85,1599577740000,1.1769,1.1769,1.1769,1.1769,100.0
86,1599586680000,1.1791,1.1791,1.1791,1.1791,500.0
87,1599612540000,1.1774,1.1774,1.1774,1.1774,500.0
88,1599621180000,1.1775,1.1775,1.1775,1.1775,500.0
89,1599630300000,1.1781,1.1781,1.1781,1.1781,500.0
90,1599630360000,1.1765,1.1765,1.1765,1.1765,500.0
91,1599650760000,1.1758,1.1758,1.1758,1.1758,500.0
92,1599652320000,1.1743,1.1743,1.1743,1.1743,146.0
93,1599653160000,1.1768,1.1768,1.1768,1.1768,500.0
94,1599655860000,1.1782,1.1782,1.1782,1.1782,129.0
95,1599660900000,1.1793,1.1793,1.1793,1.1793,164.0
96,1599661140000,1.1797,1.1797,1.1797,1.1797,158.0
97,1599683520000,1.1801,1.1801,1.1801,1.1801,500.0
98,1599736380000,1.181,1.181,1.181,1.181,129.0
99,1599737280000,1.1828,1.1828,1.1828,1.1828,500.0
100,1599741180000,1.1833,1.1833,1.1833,1.1833,519.0
101,1599741480000,1.187,1.1866,1.1872,1.1866,10500.0
102,1599754800000,1.1861,1.1861,1.1861,1.1861,170.0
103,1599762480000,1.1806,1.1805,1.1806,1.1805,10000.0
104,1599778080000,1.1822,1.1822,1.1822,1.1822,500.0
105,1599813540000,1.1833,1.1833,1.1833,1.1833,100.0
106,1599813720000,1.1838,1.1838,1.1838,1.1838,100.0
107,1599816660000,1.1848,1.1854,1.1854,1.1848,1000.0
108,1599819540000,1.1857,1.1857,1.1857,1.1857,500.0
109,1599820140000,1.1853,1.1853,1.1853,1.1853,500.0
110,1599857160000,1.1825,1.1825,1.1825,1.1825,1000.0
111,1599884100000,1.1845,1.1845,1.1845,1.1845,500.0
112,1599900660000,1.1846,1.1846,1.1846,1.1846,500.0
113,1599910260000,1.185,1.185,1.185,1.185,500.0
114,1599933480000,1.1848,1.1848,1.1848,1.1848,500.0
115,1600070820000,1.1849,1.1849,1.1849,1.1849,1000.0
116,1600114080000,1.1847,1.1847,1.1847,1.1847,169.16
117,1600115220000,1.1846,1.1846,1.1846,1.1846,169.16
118,1600115400000,1.1844,1.1844,1.1844,1.1844,168.82
119,1600239240000,1.1841,1.1842,1.1842,1.1841,500.0
120,1600279320000,1.1807,1.1807,1.1807,1.1807,162.06027856
121,1600279380000,1.182,1.182,1.182,1.182,161.43622578
122,1600279920000,1.1788,1.1791,1.1791,1.1788,500.0
123,1600280040000,1.18,1.18,1.18,1.18,158.13952238
124,1600280760000,1.1812,1.1812,1.1812,1.1812,100.0
125,1600282380000,1.179,1.179,1.179,1.179,100.0
126,1600282920000,1.1785,1.1785,1.1785,1.1785,200.98367889
127,1600302420000,1.1755,1.1755,1.1755,1.1755,500.0
128,1600304040000,1.1768,1.1768,1.1768,1.1768,1000.0
129,1600312800000,1.1739,1.1739,1.1739,1.1739,200.0
130,1600341240000,1.1776,1.1776,1.1776,1.1776,149.14667903
131,1600353120000,1.1792,1.1792,1.1792,1.1792,149.24993543
132,1600439700000,1.183,1.183,1.183,1.183,150.45180689
133,1600441020000,1.1843,1.1843,1.1843,1.1843,149.93039975
134,1600567320000,1.1823,1.1823,1.1823,1.1823,100.0
135,1600567440000,1.1822,1.1822,1.1822,1.1822,100.0
136,1600620540000,1.1814,1.1814,1.1814,1.1814,160.0
137,1600624260000,1.1839,1.1839,1.1839,1.1839,500.0
138,1600635900000,1.1823,1.1823,1.1823,1.1823,500.0
139,1600728420000,1.1748,1.1748,1.1748,1.1748,500.0
140,1600729620000,1.1745,1.1745,1.1745,1.1745,102.99315255
141,1600743660000,1.1747,1.1747,1.1747,1.1747,102.476294
142,1600747500000,1.1743,1.1743,1.1743,1.1743,101.82649037
143,1600763400000,1.1721,1.1721,1.1721,1.1721,148.0
144,1600769820000,1.1719,1.1719,1.1719,1.1719,4000.0
145,1600771320000,1.1738,1.1738,1.1738,1.1738,147.8756
146,1600776180000,1.1729,1.1729,1.1729,1.1729,500.0
147,1600787460000,1.1679,1.1679,1.1679,1.1679,127.58
148,1600800600000,1.1711,1.1711,1.1711,1.1711,1000.0
149,1600803000000,1.1702,1.1702,1.1702,1.1702,500.0
150,1600818600000,1.1708,1.1708,1.1708,1.1708,500.0
151,1600828320000,1.1675,1.1675,1.1675,1.1675,500.0
152,1600834860000,1.1674,1.1674,1.1674,1.1674,500.0
153,1600839060000,1.1682,1.1682,1.1682,1.1682,500.0
154,1600845360000,1.1676,1.1676,1.1676,1.1676,500.0
155,1600851540000,1.1705,1.1705,1.1705,1.1705,500.0
156,1600852620000,1.1693,1.1693,1.1693,1.1693,500.0
157,1600853880000,1.1711,1.1711,1.1711,1.1711,500.0
