,time,open,close,high,low,volume
0,1597744860000,0.5866,0.5866,0.5866,0.5866,5131.0
1,1597744920000,0.17800000000000002,0.17242000000000002,0.17800000000000002,0.17242000000000002,276.69351575
2,1597745040000,0.17378,0.17378,0.17378,0.17378,1810.0
3,1597745100000,0.17300000000000001,0.17300000000000001,0.17300000000000001,0.17300000000000001,1810.0
4,1597745340000,0.17401,0.174,0.17401,0.174,7.78773825
5,1597745520000,0.17559,0.1759,0.17615,0.17559,22480.0
6,1597745580000,0.174,0.174,0.174,0.174,4724.10881277
7,1597745640000,0.17199,0.17199,0.17199,0.17199,1251.0
8,1597745700000,0.1702,0.16211,0.1702,0.16211,73810.0
9,1597746180000,0.16080999999999998,0.1617,0.1617,0.1608,6943.00000002
10,1597746240000,0.1576,0.15713,0.1576,0.15713,7223.0
11,1597746300000,0.1575,0.1578,0.1578,0.1575,24932.7098
12,1597746360000,0.1575,0.1618,0.1618,0.1539,30419.4996522
13,1597746480000,0.16275,0.163,0.163,0.16275,149014.00000947
14,1597747020000,0.15578,0.15607000000000001,0.15607000000000001,0.15578,2124.31098953
15,1597747320000,0.159,0.159,0.159,0.159,100.0
16,1597747380000,0.1581,0.1586,0.1586,0.158,51709.00000003
17,1597747440000,0.1586,0.1588,0.1588,0.1586,58452.0
18,1597747560000,0.15765,0.15825,0.1588,0.15765,50284.5926934
19,1597747620000,0.159,0.159,0.159,0.159,57398.0
20,1597747680000,0.15945,0.1603,0.1603,0.15945,332.6625972
21,1597747740000,0.15945,0.15975,0.15975,0.15945,6523.0
22,1597747800000,0.16065,0.161,0.161,0.16065,227991.0
23,1597747920000,0.15899000000000002,0.15899000000000002,0.15899000000000002,0.15899000000000002,116.0
24,1597747980000,0.1596,0.1596,0.1596,0.1596,116.0
25,1597748100000,0.1596,0.1593,0.1596,0.1593,114406.0
26,1597748340000,0.1574,0.1574,0.1574,0.1574,18069.0
27,1597748400000,0.1574,0.1589,0.1589,0.1574,14386.0
28,1597748460000,0.1592,0.159,0.1593,0.159,500.0
29,1597748580000,0.1584,0.1591,0.1591,0.1584,54269.0
30,1597748700000,0.1594,0.1604,0.1604,0.1594,54857.7998
31,1597748880000,0.163,0.163,0.163,0.163,75997.0
32,1597748940000,0.1629,0.1629,0.1629,0.1629,100.0
33,1597749000000,0.163,0.16349,0.16349,0.163,600.0
34,1597749120000,0.1618,0.1624,0.1624,0.1618,18369.85591132
35,1597749180000,0.1624,0.1628,0.1628,0.1624,299.14408868
36,1597749240000,0.1635,0.1635,0.1635,0.1635,4e-07
37,1597749300000,0.1639,0.1642,0.1642,0.1639,300.0
38,1597749360000,0.16399999999999998,0.1642,0.1642,0.16399999999999998,65195.0
39,1597749420000,0.1642,0.1642,0.1642,0.1642,76057.0
40,1597749480000,0.1642,0.1652,0.1652,0.1642,451.08781547
41,1597749540000,0.1634,0.1634,0.1634,0.1634,80766.0
42,1597749720000,0.1634,0.1636,0.1641,0.1634,7443.0
43,1597749780000,0.1636,0.1636,0.1636,0.1636,383.984056
44,1597749840000,0.16216,0.1634,0.1637,0.16216,469.02899218
45,1597749900000,0.1633,0.1633,0.1633,0.1633,100.0
46,1597749960000,0.1632,0.1632,0.1632,0.163,18169.0
47,1597750020000,0.163,0.1652,0.1652,0.163,42407.176366600004
48,1597750080000,0.1652,0.1652,0.1652,0.1652,491.933403
49,1597750200000,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.16399999999999998,0.7212451999999999
50,1597750740000,0.16779000000000002,0.16779000000000002,0.16779000000000002,0.16779000000000002,0.01185534
51,1597750860000,0.16674,0.16674,0.16674,0.16674,3606.10541769
52,1597750920000,0.16789,0.1602,0.16789,0.1602,26539.63828865
53,1597750980000,0.16316,0.16316,0.16316,0.16316,540.0
54,1597751040000,0.16418,0.16418,0.16418,0.16418,3.0
55,1597751280000,0.1607,0.1626,0.1629,0.1607,55261.00000006
56,1597751340000,0.1626,0.1626,0.1626,0.1626,119743.00000004
57,1597751400000,0.1626,0.1626,0.1626,0.1626,2e-08
58,1597751580000,0.1619,0.1619,0.1619,0.1619,9853.0
59,1597751640000,0.1623,0.1617,0.1623,0.1617,73315.0
60,1597751880000,0.1584,0.157,0.15883,0.157,7243.0
61,1597752060000,0.158,0.158,0.158,0.158,100.0
62,1597752180000,0.1589,0.1589,0.1589,0.1589,130450.0
63,1597752240000,0.1591,0.159,0.1591,0.159,32158.0
64,1597752300000,0.159,0.1581,0.159,0.1581,81387.0
