,time,open,close,high,low,volume
0,1566209160000,1.4765,1.4765,1.4765,1.4765,1000.0
1,1566209460000,1.4798,1.4692,1.4798,1.4692,3342.84904472
2,1566209640000,1.4804,1.4804,1.4804,1.4804,479.6434432
3,1566213000000,1.466,1.46,1.466,1.46,2166.59356636
4,1566213300000,1.45,1.43,1.45,1.43,3881.87875552
5,1566219660000,1.4278,1.4551,1.4622,1.4278,4629.29624282
6,1566220920000,1.4481,1.442,1.4481,1.442,886.9763841500002
7,1566221820000,1.4380000000000002,1.4380000000000002,1.4380000000000002,1.4380000000000002,206.08768409
8,1566222480000,1.44,1.44,1.44,1.44,554.7147791
9,1566226380000,1.4384,1.4384,1.4384,1.4384,200.49523462
10,1566227160000,1.4329,1.4329,1.4329,1.4329,246.17219772
11,1566235680000,1.4185,1.4185,1.4185,1.4185,300.0
12,1566235980000,1.4169999999999998,1.4169999999999998,1.4169999999999998,1.4169999999999998,350.0
13,1566236220000,1.4169999999999998,1.4169999999999998,1.4169999999999998,1.4169999999999998,500.0
14,1566236460000,1.4169999999999998,1.4169999999999998,1.4169999999999998,1.4169999999999998,967.0
15,1566236820000,1.416,1.416,1.416,1.416,706.5
16,1566237060000,1.4155,1.4155,1.4155,1.4155,707.0
17,1566242220000,1.4244,1.4244,1.4244,1.4244,206.43752123
18,1566277260000,1.4140000000000001,1.4140000000000001,1.4140000000000001,1.4140000000000001,200.08204903
19,1566285540000,1.412,1.412,1.412,1.412,200.02143552
20,1566285600000,1.412,1.412,1.412,1.412,4621.62404812
21,1566285660000,1.412,1.412,1.412,1.412,15055.18097792
22,1566288240000,1.41,1.41,1.41,1.41,200.05759615
23,1566288480000,1.4065,1.4065,1.4065,1.4065,10.0
24,1566291600000,1.4107,1.4107,1.4107,1.4107,125.0
25,1566313020000,1.412,1.412,1.412,1.412,200.28587232
26,1566313080000,1.412,1.412,1.412,1.412,525.61412768
27,1566315300000,1.4179,1.4179,1.4179,1.4179,2000.0
28,1566316740000,1.4295,1.4295,1.4295,1.4295,423.23657645
29,1566316800000,1.4273,1.4273,1.4273,1.4273,1028.08438635
30,1566326940000,1.4169,1.4169,1.4169,1.4169,50.0
31,1566345540000,1.4014,1.4,1.4014,1.4,1151.24524606
32,1566349680000,1.376,1.376,1.376,1.376,402.98904065
33,1566350640000,1.3638,1.3638,1.3638,1.3638,559.80085585
34,1566352020000,1.3223,1.3223,1.3223,1.3223,245.39459565
35,1566354780000,1.3227,1.3227,1.3227,1.3227,1889.1077502
36,1566355500000,1.3375,1.3375,1.3375,1.3375,325.06062682
37,1566355560000,1.3406,1.3406,1.3406,1.3406,679.94707323
38,1566355680000,1.3335,1.3335,1.3335,1.3335,678.86835452
39,1566356760000,1.3295,1.3295,1.3295,1.3295,1599.15706503
40,1566358680000,1.3412,1.3412,1.3412,1.3412,215.73039407
41,1566365880000,1.3115,1.3215,1.3215,1.3115,500.82405814
42,1566368760000,1.3247,1.3247,1.3247,1.3247,230.95816763
43,1566369360000,1.3269,1.3269,1.3269,1.3269,2007.24038696
44,1566369420000,1.3269,1.3225,1.3269,1.3225,796.20927624
45,1566369660000,1.3182,1.3182,1.3182,1.3182,243.29834128
46,1566378840000,1.324,1.324,1.324,1.324,385.0
47,1566379440000,1.3127,1.3127,1.3127,1.3127,170.536424
48,1566379500000,1.3093,1.3093,1.3093,1.3093,151.486656
49,1566379560000,1.3086,1.3093,1.3093,1.3086,311.90245559
50,1566380160000,1.3,1.3,1.3,1.3,200.0
51,1566390960000,1.3262,1.3262,1.3262,1.3262,200.03615259
52,1566391980000,1.3089,1.307,1.3089,1.307,164.35278737
53,1566392400000,1.2896,1.2896,1.2896,1.2896,150.58961533
54,1566392520000,1.2821,1.2821,1.2821,1.2821,119.60282656
55,1566392700000,1.2805,1.2805,1.2805,1.2805,108.85710079
56,1566393000000,1.2579,1.2579,1.2579,1.2579,121.20734569
57,1566398220000,1.2656,1.2656,1.2656,1.2656,30.0
58,1566398940000,1.2625,1.2625,1.2625,1.2625,1.0
59,1566400380000,1.2676,1.2676,1.2676,1.2676,757.133372
60,1566402360000,1.2662,1.2662,1.2662,1.2662,21.0
61,1566406980000,1.2697,1.2697,1.2697,1.2697,1800.0
62,1566407160000,1.2697,1.2697,1.2697,1.2697,70.0
63,1566421080000,1.263,1.263,1.263,1.263,754.62226913
64,1566426240000,1.2806,1.2806,1.2806,1.2806,110.3185088
65,1566429300000,1.2717,1.2717,1.2717,1.2717,1344.73489751
66,1566429480000,1.2788,1.2788,1.2788,1.2788,139.242162
67,1566430320000,1.2695,1.2695,1.2695,1.2695,1508.09682904
68,1566431940000,1.2676,1.2676,1.2676,1.2676,102.1675315
69,1566432300000,1.2739,1.2739,1.2739,1.2739,1830.09886647
70,1566432480000,1.2793,1.2793,1.2793,1.2793,141.2414224
71,1566435960000,1.278,1.278,1.278,1.278,1.03
72,1566437340000,1.2651,1.2651,1.2651,1.2651,160.21712036
73,1566441060000,1.248,1.248,1.248,1.248,500.0
74,1566444600000,1.2459,1.2459,1.2459,1.2459,254.16945502
75,1566449460000,1.2475,1.2475,1.2475,1.2475,202.46522167
76,1566466140000,1.2425,1.2545,1.2545,1.2425,2321.50894823
77,1566467460000,1.246,1.246,1.246,1.246,355.66263827
78,1566468000000,1.2931,1.2884,1.2931,1.2884,814.32742819
79,1566477060000,1.2546,1.2413,1.2546,1.2413,2326.3964558
80,1566488100000,1.2424,1.2424,1.2424,1.2424,804.5558177999999
81,1566489660000,1.2325,1.2325,1.2325,1.2325,248.31801139
82,1566495240000,1.2233,1.1732,1.2233,1.1732,12779.0
83,1566503460000,1.2391,1.2391,1.2391,1.2391,507.4983717
84,1566522540000,1.2399,1.2586,1.2586,1.2399,2279.65593899
85,1566525240000,1.2784,1.275,1.2784,1.2737,1799.00340529
86,1566525780000,1.2843,1.2843,1.2843,1.2843,200.28701929
87,1566529440000,1.2937,1.2937,1.2937,1.2937,171.24498905
88,1566530400000,1.2983,1.3018,1.3018,1.2983,1255.7463629
89,1566532740000,1.3291,1.3291,1.3291,1.3291,200.05766752
90,1566533220000,1.3281,1.3281,1.3281,1.3281,255.14209249
91,1566533340000,1.3268,1.3268,1.3268,1.3268,204.80842274
92,1566535980000,1.3235,1.3235,1.3235,1.3235,286.82511208
93,1566536040000,1.3157,1.3157,1.3157,1.3157,408.57850203
94,1566536100000,1.3121,1.3121,1.3121,1.3121,188.42327404
95,1566536220000,1.3089,1.3089,1.3089,1.3089,190.53425805
96,1566536340000,1.3103,1.3103,1.3103,1.3103,29.620964
97,1566541620000,1.2951,1.2951,1.2951,1.2951,260.92444224
98,1566542400000,1.2971,1.2971,1.2971,1.2971,205.51730634
99,1566576540000,1.3101,1.31,1.3101,1.31,1885.03309339
100,1566576600000,1.31,1.31,1.31,1.31,614.96790661
101,1566579420000,1.3002,1.3002,1.3002,1.3002,225.18646180000002
102,1566580380000,1.3081,1.3081,1.3081,1.3081,212.19668019999997
103,1566580680000,1.3117,1.3117,1.3117,1.3117,201.27301738
104,1566582900000,1.3051,1.3051,1.3051,1.3051,258.19932198
105,1566583200000,1.2986,1.2986,1.2986,1.2986,205.54756252
