,time,open,close,high,low,volume
0,1598955720000,1.345,1.345,1.345,1.345,100.0
1,1598971320000,1.3395,1.3395,1.3395,1.3395,100.0
2,1598976000000,1.3394,1.3394,1.3394,1.3394,800.0
3,1598976060000,1.3392,1.3392,1.3392,1.3392,400.0
4,1598976180000,1.3395,1.3395,1.3395,1.3395,1200.0
5,1598976240000,1.3397,1.3397,1.3397,1.3397,400.0
6,1598976300000,1.3391,1.3391,1.3391,1.3391,400.0
7,1598976420000,1.3395,1.3395,1.3395,1.3395,400.0
8,1598976480000,1.3392,1.3392,1.3392,1.3392,400.0
9,1598976540000,1.339,1.339,1.339,1.339,400.0
10,1598976600000,1.3383,1.3383,1.3383,1.3383,400.0
11,1598976720000,1.338,1.338,1.338,1.338,400.0
12,1598976900000,1.3397,1.3397,1.3397,1.3397,400.0
13,1598976960000,1.3393,1.3393,1.3393,1.3393,400.0
14,1598977020000,1.339,1.339,1.339,1.339,400.0
15,1598977080000,1.339,1.3388,1.339,1.3388,800.0
16,1598977140000,1.3387,1.3387,1.3387,1.3387,800.0
17,1598977380000,1.3388,1.338,1.3388,1.338,1200.0
18,1598977560000,1.338,1.3382,1.3383,1.3374,1600.0
19,1598977620000,1.3383,1.3383,1.3383,1.3383,400.0
20,1598977740000,1.3386,1.3385,1.3386,1.3385,800.0
21,1598977800000,1.3386,1.3384,1.3386,1.3384,800.0
22,1598977860000,1.3372,1.3372,1.3372,1.3372,400.0
23,1598977920000,1.3372,1.3372,1.3372,1.3372,400.0
24,1598977980000,1.3363,1.3373,1.3373,1.3363,800.0
25,1598978040000,1.3374,1.3375,1.3375,1.3374,800.0
26,1598978220000,1.3366,1.3366,1.3366,1.3366,400.0
27,1598978280000,1.3368,1.3368,1.3368,1.3368,400.0
28,1598978340000,1.3368,1.3368,1.3368,1.3368,400.0
29,1598978460000,1.3375,1.3375,1.3375,1.3375,400.0
30,1598978520000,1.3375,1.3375,1.3375,1.3375,800.0
31,1598978580000,1.3375,1.3373,1.3375,1.3373,800.0
32,1598978640000,1.3375,1.3375,1.3375,1.3375,400.0
33,1598978700000,1.3371,1.3371,1.3371,1.3371,400.0
34,1598978820000,1.3376,1.3373,1.3376,1.3373,800.0
35,1598978940000,1.3372,1.3372,1.3372,1.3372,800.0
36,1598979120000,1.3373,1.337,1.3373,1.337,800.0
37,1598979180000,1.3369,1.3369,1.3369,1.3369,800.0
38,1598979240000,1.3371,1.3371,1.3371,1.3371,400.0
39,1598979360000,1.337,1.337,1.337,1.337,400.0
40,1598979420000,1.3369,1.3368,1.3369,1.3368,1200.0
41,1598979480000,1.3371,1.3371,1.3371,1.3371,400.0
42,1598979600000,1.3367,1.3368,1.3368,1.3367,800.0
43,1598979660000,1.3366,1.3366,1.3366,1.3366,400.0
44,1598979720000,1.3363,1.3363,1.3363,1.3363,800.0
45,1598980020000,1.3361,1.3361,1.3361,1.3361,400.0
46,1598980080000,1.3359,1.3359,1.3359,1.3359,400.0
47,1598980200000,1.3359999999999999,1.3359999999999999,1.3359999999999999,1.3359999999999999,400.0
48,1598980260000,1.3355,1.3358,1.3358,1.3355,800.0
49,1598980320000,1.3354,1.3354,1.3354,1.3354,400.0
50,1598980380000,1.335,1.3348,1.335,1.3348,500.0
51,1598980500000,1.3346,1.3353,1.3353,1.3346,800.0
52,1598980560000,1.3349,1.3349,1.3349,1.3349,400.0
53,1598980740000,1.3346,1.3349,1.3349,1.3346,1200.0
54,1598980860000,1.3359999999999999,1.3359999999999999,1.3359999999999999,1.3359999999999999,400.0
55,1598980980000,1.3363,1.3364,1.3364,1.3361,1600.0
56,1598981040000,1.3366,1.3363,1.3366,1.3363,800.0
57,1598981700000,1.3373,1.3373,1.3373,1.3373,800.0
58,1598981760000,1.3373,1.3373,1.3373,1.3373,400.0
59,1598981820000,1.3376,1.3376,1.3376,1.3376,800.0
60,1598981880000,1.337,1.337,1.337,1.337,400.0
61,1598982000000,1.3376,1.3376,1.3376,1.3376,400.0
62,1598982120000,1.3371,1.3371,1.3371,1.3371,800.0
63,1598982240000,1.3374,1.3374,1.3374,1.3374,400.0
64,1598982300000,1.3372,1.3372,1.3372,1.3372,800.0
65,1598982360000,1.3367,1.3367,1.3367,1.3367,400.0
66,1598982420000,1.3362,1.3362,1.3362,1.3362,400.0
67,1598982540000,1.3354,1.3362,1.3362,1.3354,800.0
68,1598982660000,1.3351,1.3356,1.3356,1.3351,800.0
69,1598982780000,1.3366,1.3366,1.3366,1.3366,400.0
70,1598982900000,1.3359999999999999,1.3359999999999999,1.3359999999999999,1.3359999999999999,400.0
71,1598982960000,1.3368,1.3366,1.3368,1.3366,800.0
72,1598983020000,1.3367,1.3367,1.3367,1.3367,800.0
73,1598983140000,1.3366,1.3366,1.3366,1.3366,800.0
74,1598983260000,1.3362,1.3363,1.3363,1.3362,800.0
75,1598983320000,1.3363,1.3363,1.3363,1.3363,400.0
76,1598983440000,1.3368,1.3368,1.3368,1.3368,400.0
77,1598983560000,1.3356,1.3356,1.3356,1.3356,400.0
78,1598983620000,1.3362,1.3362,1.3362,1.3362,400.0
79,1598983740000,1.3369,1.3369,1.3369,1.3369,400.0
80,1599062160000,1.3279,1.3279,1.3279,1.3279,50.0
81,1599062220000,1.328,1.328,1.328,1.328,50.0
82,1599062340000,1.3284,1.3284,1.3284,1.3284,25.0
83,1599062400000,1.3284,1.3284,1.3284,1.3284,444.0
84,1599063120000,1.3279,1.3279,1.3279,1.3279,1776.0
85,1599063180000,1.3279,1.3279,1.3279,1.3279,444.0
86,1599063780000,1.3282,1.3282,1.3282,1.3282,888.0
87,1599065460000,1.3298,1.3298,1.3298,1.3298,1332.0
88,1599065520000,1.3298,1.3298,1.3298,1.3298,444.0
89,1599066120000,1.3297,1.3296,1.3297,1.3296,888.0
90,1599066180000,1.3296,1.3296,1.3296,1.3296,444.0
91,1599066480000,1.3296,1.3296,1.3296,1.3296,888.0
92,1599068340000,1.3298,1.3298,1.3298,1.3298,1332.0
93,1599068400000,1.3298,1.3296,1.3298,1.3296,1776.0
94,1599068460000,1.3296,1.3296,1.3296,1.3296,444.0
95,1599068820000,1.3296,1.3296,1.3296,1.3296,1332.0
96,1599068880000,1.3294,1.3294,1.3294,1.3294,1776.0
97,1599068940000,1.3294,1.3294,1.3294,1.3294,444.0
98,1599069120000,1.3293,1.3293,1.3293,1.3293,1332.0
99,1599069180000,1.3293,1.3293,1.3293,1.3293,444.0
100,1599069600000,1.3293,1.3292,1.3293,1.3292,1332.0
101,1599069660000,1.3292,1.3292,1.3292,1.3292,1776.0
102,1599069720000,1.3292,1.3292,1.3292,1.3292,444.0
103,1599069780000,1.3292,1.3292,1.3292,1.3292,1332.0
104,1599070560000,1.3296,1.3296,1.3296,1.3296,443.0
105,1599070620000,1.3296,1.3296,1.3296,1.3296,443.0
106,1599070980000,1.3295,1.3295,1.3295,1.3295,1329.0
107,1599071040000,1.3295,1.3295,1.3295,1.3295,443.0
108,1599071940000,1.3294,1.3294,1.3294,1.3294,1772.0
109,1599072000000,1.3294,1.3294,1.3294,1.3294,443.0
110,1599072060000,1.3293,1.3293,1.3293,1.3293,443.0
111,1599072120000,1.3293,1.3293,1.3293,1.3293,443.0
112,1599076860000,1.3333,1.3319,1.3335,1.3319,2215.0
113,1599076920000,1.3319,1.3319,1.3319,1.3319,886.0
114,1599077220000,1.3319,1.3318,1.3319,1.3318,1772.0
115,1599079680000,1.3321,1.3321,1.3321,1.3321,888.0
116,1599080820000,1.3322,1.3322,1.3322,1.3322,1332.0
117,1599080880000,1.3322,1.3322,1.3322,1.3322,444.0
118,1599084600000,1.3324,1.3324,1.3324,1.3324,41.2376
119,1599090660000,1.3333,1.3333,1.3333,1.3333,443.8683
120,1599090840000,1.3332,1.3332,1.3332,1.3332,0.0078113
121,1599126300000,1.3,1.3,1.3,1.3,440.01048207
122,1599126360000,1.3,1.3,1.3,1.3,0.01048207
123,1599192000000,1.3,1.3,1.3,1.3,880.0
124,1599192060000,1.3,1.3,1.3,1.3,880.0
125,1599204060000,1.3276,1.3276,1.3276,1.3276,440.0
