,time,open,close,high,low,volume
0,1545443520000,1.748e-05,1.748e-05,1.748e-05,1.748e-05,200.0
1,1545471900000,1.756e-05,1.756e-05,1.756e-05,1.756e-05,751.0
2,1545472200000,1.756e-05,1.756e-05,1.756e-05,1.756e-05,3864.90888382
3,1545473880000,1.757e-05,1.757e-05,1.757e-05,1.757e-05,200.0
4,1545497520000,1.755e-05,1.755e-05,1.756e-05,1.752e-05,52390.0083145
5,1545497580000,1.759e-05,1.761e-05,1.761e-05,1.759e-05,11821.0
6,1545497640000,1.752e-05,1.752e-05,1.752e-05,1.752e-05,2248.93941755
7,1545497700000,1.743e-05,1.742e-05,1.743e-05,1.742e-05,6186.99871
8,1545498660000,1.767e-05,1.767e-05,1.767e-05,1.767e-05,778.0
9,1545500700000,1.768e-05,1.768e-05,1.768e-05,1.768e-05,975.0
10,1545501660000,1.768e-05,1.769e-05,1.769e-05,1.768e-05,400.0
11,1545502440000,1.775e-05,1.775e-05,1.775e-05,1.775e-05,11234.50149912
12,1545502860000,1.795e-05,1.795e-05,1.795e-05,1.795e-05,906.0
13,1545504000000,1.821e-05,1.821e-05,1.821e-05,1.821e-05,200.0
14,1545518520000,1.839e-05,1.839e-05,1.839e-05,1.839e-05,672.0
15,1545518640000,1.829e-05,1.829e-05,1.829e-05,1.829e-05,672.0
16,1545526500000,1.822e-05,1.821e-05,1.822e-05,1.821e-05,4757.0
17,1545533580000,1.82e-05,1.82e-05,1.82e-05,1.82e-05,200.0
18,1545534360000,1.82e-05,1.82e-05,1.82e-05,1.82e-05,1979.0
19,1545534780000,1.821e-05,1.821e-05,1.821e-05,1.821e-05,183.01408614
20,1545542880000,1.821e-05,1.821e-05,1.821e-05,1.821e-05,16.98591386
21,1545551820000,1.815e-05,1.811e-05,1.815e-05,1.811e-05,600.0
22,1545556680000,1.814e-05,1.811e-05,1.814e-05,1.811e-05,3932.59037641
23,1545556740000,1.811e-05,1.811e-05,1.811e-05,1.811e-05,3123.0
24,1545557700000,1.818e-05,1.818e-05,1.818e-05,1.818e-05,200.0
25,1545557760000,1.819e-05,1.819e-05,1.819e-05,1.819e-05,700.0
26,1545568200000,1.798e-05,1.798e-05,1.798e-05,1.798e-05,3288.99961188
27,1545572340000,1.804e-05,1.806e-05,1.806e-05,1.804e-05,800.0
28,1545574200000,1.807e-05,1.807e-05,1.807e-05,1.807e-05,200.0
29,1545574320000,1.808e-05,1.808e-05,1.808e-05,1.808e-05,200.0
30,1545578040000,1.807e-05,1.807e-05,1.807e-05,1.807e-05,1000.0
31,1545581820000,1.82e-05,1.82e-05,1.82e-05,1.82e-05,1350.36688637
32,1545582840000,1.823e-05,1.833e-05,1.833e-05,1.823e-05,12931.67658597
33,1545582900000,1.848e-05,1.809e-05,1.849e-05,1.809e-05,12796.54475071
34,1545583380000,1.827e-05,1.862e-05,1.862e-05,1.827e-05,126334.03276703
35,1545583440000,1.863e-05,1.863e-05,1.863e-05,1.863e-05,11193.8551538
36,1545583500000,1.85e-05,1.833e-05,1.859e-05,1.829e-05,212909.15121867
37,1545583620000,1.848e-05,1.823e-05,1.861e-05,1.823e-05,163202.77491685
38,1545583680000,1.852e-05,1.857e-05,1.857e-05,1.852e-05,86315.55304834
39,1545583740000,1.863e-05,1.841e-05,1.877e-05,1.841e-05,105728.13395708
40,1545584880000,1.84e-05,1.84e-05,1.84e-05,1.84e-05,3091.94613131
41,1545584940000,1.821e-05,1.821e-05,1.821e-05,1.821e-05,1520.44179421
42,1545585360000,1.834e-05,1.834e-05,1.835e-05,1.829e-05,16864.57143942
43,1545587940000,1.848e-05,1.856e-05,1.859e-05,1.848e-05,187562.00340598
44,1545588000000,1.841e-05,1.834e-05,1.841e-05,1.834e-05,103922.12903417
45,1545588060000,1.837e-05,1.843e-05,1.843e-05,1.837e-05,23847.37606042
46,1545588240000,1.835e-05,1.835e-05,1.835e-05,1.835e-05,1003.52913529
47,1545589200000,1.845e-05,1.847e-05,1.847e-05,1.845e-05,20975.35077654
48,1545589260000,1.825e-05,1.825e-05,1.825e-05,1.825e-05,12600.05539245
49,1545589320000,1.848e-05,1.864e-05,1.864e-05,1.848e-05,65270.85050488
50,1545589380000,1.847e-05,1.823e-05,1.847e-05,1.823e-05,134917.49826331
51,1545589440000,1.832e-05,1.831e-05,1.832e-05,1.831e-05,8585.581969930001
52,1545589560000,1.824e-05,1.824e-05,1.824e-05,1.824e-05,9930.16989968
53,1545589980000,1.837e-05,1.849e-05,1.849e-05,1.837e-05,7711.550097600001
54,1545590640000,1.846e-05,1.846e-05,1.846e-05,1.846e-05,1022.0
55,1545592140000,1.825e-05,1.825e-05,1.825e-05,1.825e-05,1190.88993689
56,1545595800000,1.822e-05,1.822e-05,1.822e-05,1.822e-05,5000.0
57,1545608280000,1.827e-05,1.827e-05,1.827e-05,1.827e-05,690.48692936
58,1545608580000,1.827e-05,1.827e-05,1.827e-05,1.827e-05,374.14034914
59,1545617280000,1.845e-05,1.847e-05,1.847e-05,1.845e-05,5455.0
60,1545617640000,1.847e-05,1.847e-05,1.847e-05,1.847e-05,600.0
61,1545617700000,1.835e-05,1.835e-05,1.835e-05,1.835e-05,1021.97005471
62,1545619620000,1.84e-05,1.84e-05,1.84e-05,1.84e-05,739.410738
63,1545619740000,1.842e-05,1.842e-05,1.842e-05,1.842e-05,246.476463
64,1545621900000,1.844e-05,1.843e-05,1.844e-05,1.843e-05,12700.43782253
65,1545624060000,1.849e-05,1.849e-05,1.849e-05,1.849e-05,1497.0
66,1545624360000,1.867e-05,1.851e-05,1.869e-05,1.851e-05,17551.343223429998
67,1545626580000,1.843e-05,1.843e-05,1.843e-05,1.843e-05,1000.0
68,1545629400000,1.844e-05,1.844e-05,1.844e-05,1.844e-05,826.64
69,1545633780000,1.88e-05,1.88e-05,1.88e-05,1.88e-05,300.0
70,1545638160000,1.871e-05,1.871e-05,1.871e-05,1.871e-05,251.79984108
71,1545640800000,1.88e-05,1.88e-05,1.88e-05,1.88e-05,30.22816221
72,1545640980000,1.889e-05,1.889e-05,1.889e-05,1.889e-05,4561.3819875
73,1545641100000,1.889e-05,1.889e-05,1.889e-05,1.889e-05,438.0
