,time,open,close,high,low,volume
0,1545429900000,1.03,1.03,1.0301,1.03,10792.59824686
1,1545523380000,1.0333,1.0359,1.0359,1.0333,2250.0
2,1545525480000,1.0378,1.0378,1.0378,1.0378,231.01181706
3,1545526320000,1.0378,1.0378,1.0378,1.0378,77.20534722
4,1545526500000,1.0378,1.0386,1.0386,1.0378,232.33859015
5,1545534480000,1.0386,1.0386,1.0386,1.0386,154.10983283
6,1545555360000,1.0385,1.0385,1.0385,1.0385,26.4
7,1545555660000,1.0301,1.0270000000000001,1.0301,1.0270000000000001,26.3
8,1545561180000,1.03,1.0348,1.0348,1.03,6691.36536484
9,1545561240000,1.0348,1.0354,1.0354,1.0348,615.8885421699998
10,1545565860000,1.0354,1.0354,1.0354,1.0354,110.25642331
11,1545615780000,1.0352,1.0352,1.0352,1.0352,2832.80611902
12,1545615840000,1.0352,1.0352,1.0352,1.0352,231.85958093
13,1545616260000,1.0352,1.0352,1.0352,1.0352,76.97070146
14,1545658680000,1.0224,1.0223,1.0224,1.0223,34.42326827
15,1545676860000,1.021,1.021,1.021,1.021,100.0
16,1545681300000,1.0174,1.0174,1.0174,1.0174,35.49917518
17,1545682800000,1.016,1.016,1.016,1.016,24.60872133
18,1545682920000,1.016,1.016,1.016,1.016,58.38839863
19,1545697200000,1.0173,1.0125,1.0173,1.0125,515.3769151399998
20,1545703620000,1.0183,1.0183,1.0183,1.0183,27.31560959
21,1545704340000,1.0309,1.0309,1.0309,1.0309,143.96445848
22,1545734640000,1.0309,1.0309,1.0309,1.0309,97.00261907
23,1545762840000,1.03,1.03,1.03,1.03,10.0823915
24,1545765720000,1.03,1.03,1.03,1.03,144.88268239
25,1545766440000,1.03,1.03,1.03,1.03,24.105519
26,1545773700000,1.03,1.03,1.03,1.03,144.4424149
27,1545782520000,1.03,1.03,1.03,1.03,144.51424832
28,1545785520000,1.03,1.03,1.03,1.03,143.96859182
29,1545898560000,1.0232,1.0043,1.0232,1.0043,7000.0
30,1545899460000,1.0295,1.0305,1.0305,1.0295,190.0
31,1545902040000,1.0308,1.0309,1.0309,1.0308,246.0
32,1545906720000,1.0308,1.0309,1.0309,1.0308,300.0
33,1545919380000,1.0252,1.0243,1.0252,1.0243,4500.0
34,1545924180000,1.0248,1.0309,1.0309,1.0248,630.0
35,1545946080000,1.0308,1.0308,1.0308,1.0308,143.29488181
36,1545961080000,1.0216,1.0211,1.0216,1.0211,3000.0
37,1545961200000,1.0258,1.0258,1.0258,1.0258,3000.0
38,1545961320000,1.0267,1.0267,1.0267,1.0267,3000.0
39,1545961560000,1.0266,1.0263,1.0266,1.0263,2969.2513314300004
40,1545961620000,1.0257,1.0257,1.0257,1.0257,30.74866857
41,1545973080000,1.0282,1.0282,1.0282,1.0282,24.80276624
42,1545984420000,1.0308,1.0309,1.0309,1.0308,530.05538876
43,1545993360000,1.0278,1.0277,1.0278,1.0277,4780.5
44,1545999420000,1.0301,1.0301,1.0301,1.0301,24.56446573
45,1546001340000,1.0357,1.0359,1.0359,1.0357,1617.9880913399998
46,1546001520000,1.023,1.0229,1.023,1.0229,1978.21135695
47,1546009560000,1.0302,1.0302,1.0302,1.0302,24.50239123
48,1546011420000,1.0329,1.0328,1.0329,1.0328,2034.59946332
49,1546011480000,1.0329,1.0328,1.0329,1.0328,241.71485817
50,1546013340000,1.0357,1.0357,1.0357,1.0357,72.76630017
51,1546013460000,1.0351,1.0356,1.0359,1.0351,1064.38024884
52,1546013520000,1.0356,1.0359,1.0359,1.0356,580.22793821
53,1546013580000,1.0354,1.0349,1.0354,1.0349,1446.52105893
54,1546013640000,1.0347,1.0347,1.0347,1.0347,145.14955321
55,1546013880000,1.036,1.036,1.036,1.036,36.38315008
56,1546014240000,1.0357,1.0356,1.0357,1.0356,432.50705646000006
57,1546014480000,1.035,1.035,1.035,1.035,432.69435466
58,1546014540000,1.035,1.035,1.035,1.035,431.43159286
59,1546014600000,1.0342,1.034,1.0348,1.0332,4131.26262272
60,1546014720000,1.034,1.0352,1.0352,1.034,1824.25043822
61,1546014780000,1.035,1.0348,1.035,1.0348,288.98235777
62,1546014840000,1.0349,1.0346,1.0349,1.034,577.89669249
63,1546015500000,1.0343,1.0343,1.0343,1.0343,433.3200232
64,1546015860000,1.0348,1.0348,1.0348,1.0348,63.45061977
65,1546015920000,1.0342,1.0346,1.0346,1.0342,386.12694189
66,1546025460000,1.0355,1.0355,1.0355,1.0355,31.72530989
67,1546030860000,1.0425,1.0425,1.0425,1.0425,100.0
68,1546032120000,1.0349,1.0337,1.0349,1.0337,99.8
69,1546033800000,1.037,1.0383,1.0383,1.037,461.82065648
70,1546037460000,1.0334,1.0333,1.0334,1.0333,435.04454108
71,1546037520000,1.0334,1.0333,1.0334,1.0333,241.63249304
72,1546037580000,1.0334,1.033,1.0334,1.033,435.09619325
73,1546037700000,1.033,1.0316,1.033,1.0316,434.78227491
74,1546037760000,1.0328,1.0332,1.0333,1.0328,2220.68190571
75,1546037880000,1.0326,1.0326,1.0326,1.0326,144.7661015
76,1546038060000,1.0331,1.0331,1.0331,1.0331,457.71410569
77,1546039200000,1.0351,1.0326,1.0351,1.0326,144.89945768
78,1546039260000,1.0331,1.033,1.0331,1.033,145.14726293
79,1546040580000,1.034,1.034,1.034,1.034,36.74363112
80,1546042860000,1.0345,1.0336,1.0345,1.0336,145.30682296999996
81,1546043100000,1.0328,1.0321,1.0331,1.0321,290.87733594
82,1546044720000,1.0342,1.0342,1.0342,1.0342,54.66098616
83,1546045260000,1.0347,1.0347,1.0347,1.0347,27.33049308
84,1546045620000,1.0335,1.0324,1.0335,1.0324,145.12642936
85,1546045740000,1.0332,1.0325,1.0333,1.0325,1576.24686523
86,1546046040000,1.034,1.034,1.034,1.034,37.86074668
87,1546046160000,1.0341,1.0332,1.0341,1.0332,434.30914634
88,1546046280000,1.0336,1.0336,1.0336,1.0336,1307.35043118
89,1546046400000,1.0337,1.033,1.0337,1.033,453.94701138
90,1546046460000,1.0333,1.0332,1.0333,1.0332,145.39913065
91,1546046760000,1.0328,1.0328,1.0328,1.0328,435.34594092
92,1546046820000,1.0328,1.0328,1.0328,1.0328,145.44539629
93,1546046880000,1.0337,1.0333,1.0337,1.0333,1424.64064878
94,1546047480000,1.0337,1.0337,1.0337,1.0337,55.21133671
95,1546048860000,1.0351,1.0364,1.0364,1.0351,36.13330754
96,1546050720000,1.043,1.043,1.043,1.043,28.05842535
97,1546050780000,1.0345,1.0321,1.0345,1.0321,35.97322546
98,1546054020000,1.035,1.035,1.035,1.035,10.0
99,1546054140000,1.035,1.045,1.045,1.035,10132.96218562
100,1546054380000,1.0335,1.0033,1.0335,1.0033,10122.67626125
101,1546059000000,1.0299,1.033,1.033,1.0299,368.41172144
102,1546070100000,1.0335,1.0335,1.0335,1.0335,100.0
103,1546071060000,1.034,1.035,1.035,1.034,225.0
104,1546078620000,1.035,1.035,1.035,1.035,509.42030496
105,1546078680000,1.0337,1.0336,1.0337,1.0336,290.50790576
106,1546078740000,1.0337,1.0336,1.0337,1.0336,145.18955284
107,1546079160000,1.0352,1.0351,1.0352,1.0351,144.99284711
108,1546079340000,1.0354,1.0354,1.0356,1.0354,724.47357424
109,1546079400000,1.0355,1.0344,1.0355,1.0344,36.92
110,1546080300000,1.0339,1.0339,1.0339,1.0339,145.34314671
111,1546081080000,1.0339,1.0339,1.0339,1.0339,144.87616223
112,1546114320000,1.0364,1.0364,1.0364,1.0364,71.48015534
113,1546122420000,1.0389,1.0389,1.0389,1.0389,35.74007767
114,1546125960000,1.038,1.038,1.038,1.038,499.5
115,1546130520000,1.0416,1.0416,1.0416,1.0416,24.00384061
116,1546156320000,1.0362,1.0362,1.0362,1.0362,24.12894508
117,1546173840000,1.0332,1.0332,1.0332,1.0332,24.199012680000006
118,1546285500000,1.0331,1.0331,1.0331,1.0331,23.47404686
119,1546469100000,1.0293,1.0252,1.0293,1.0252,3592.45
120,1546528620000,1.0396,1.0475,1.0475,1.0396,589.11003965
121,1546530840000,1.0422,1.0487,1.0487,1.0422,569.91854782
122,1546531320000,1.0273,1.0257,1.0273,1.0257,568.7787107300002
123,1546618980000,1.0319,1.0319,1.0319,1.0319,15.9474
124,1546647120000,1.0319,1.032,1.032,1.0319,145.04769675
125,1546717140000,1.032,1.032,1.032,1.032,12.0
126,1546761780000,1.03,1.03,1.03,1.03,149.89691401
127,1546761900000,1.0137,1.0119,1.0137,1.0119,149.59
128,1546801020000,1.0288,1.0288,1.0288,1.0288,26.69309536
129,1546801320000,1.032,1.032,1.032,1.032,250.0
130,1546802280000,1.0288,1.0317,1.0317,1.0288,250.0
131,1546839960000,1.0318,1.032,1.032,1.0318,924.83267589
132,1546840380000,1.032,1.032,1.032,1.032,154.21169678
133,1546979940000,1.0122,1.0032,1.0122,1.0032,1076.88628393
134,1547002620000,1.0243,1.0233,1.0243,1.0233,299.7
135,1547007960000,1.005,1.005,1.005,1.005,52.98924018
136,1547009760000,1.005,1.005,1.005,1.005,96.38927311
137,1547010060000,1.005,1.005,1.005,1.005,103.61630331
138,1547010360000,1.005,1.005,1.005,1.005,110.87099273
139,1547011260000,1.0061,1.006,1.0061,1.006,132.40579938
140,1547011560000,1.0067,1.0066,1.0067,1.0066,139.68259397
141,1547012160000,1.0078,1.0077,1.0078,1.0077,154.18251235000002
142,1547012520000,1.0095,1.0094,1.0095,1.0094,268.95
143,1547015040000,1.0119,1.0108,1.0119,1.0108,26.33
144,1547064780000,1.0103,1.0102,1.0103,1.0102,1874.08
145,1547255640000,1.0152,1.0152,1.0152,1.0152,24.62811545
146,1547256120000,1.0136,1.0136,1.0136,1.0136,883.64911017
147,1547256300000,1.0147,1.0147,1.0147,1.0147,100.0
148,1547309820000,1.0311,1.0311,1.0311,1.0311,10.0
149,1547311740000,1.0255,1.0256,1.0256,1.0255,150.0
150,1547311800000,1.0149,1.0139,1.0149,1.0139,149.79999999999995
151,1547329500000,1.0248,1.0253,1.0253,1.0248,2004.39769179
152,1547329800000,1.0295,1.0296,1.0296,1.0295,2463.20661715
153,1547480040000,1.0314,1.0315,1.0315,1.0314,260.0
154,1547546820000,1.0308,1.0308,1.0308,1.0308,18.07023832
155,1547599620000,1.0209,1.0209,1.0209,1.0209,200.0
156,1547668560000,1.02,1.02,1.02,1.02,1999.8
157,1547668620000,1.0209,1.023,1.023,1.0209,10.0
158,1547698020000,1.0175,1.0178,1.0178,1.0175,2000.0
159,1547698080000,1.0175,1.0178,1.0178,1.0175,921.6242442
160,1547698140000,1.0182,1.0182,1.0182,1.0182,100.0
161,1547756760000,1.0131,1.0131,1.0131,1.0131,28.1380777
162,1547994660000,1.0205,1.0205,1.0205,1.0205,6717.54711515
163,1547994720000,1.0205,1.0205,1.0205,1.0205,505.72099437
164,1548002400000,1.0205,1.0205,1.0205,1.0205,0.73189048
165,1548024060000,1.0131,1.0131,1.0131,1.0131,18.9643104
166,1548024180000,1.0131,1.013,1.0131,1.013,31.0
167,1548024540000,1.0131,1.013,1.0131,1.013,319.77750659
168,1548030960000,1.0131,1.0131,1.0131,1.0131,22.2036976
169,1548066240000,1.0131,1.013,1.0131,1.013,6259.17458595
170,1548066300000,1.0131,1.013,1.0131,1.013,231.0
171,1548086100000,1.0131,1.013,1.0131,1.013,259.74
172,1548362760000,1.0203,1.0203,1.0203,1.0203,12.0
173,1548504060000,1.0141,1.0141,1.0141,1.0141,11.988
174,1548688920000,1.0205,1.0206,1.0206,1.0205,250.0
175,1548696180000,1.0141,1.014,1.0141,1.014,20423.99
176,1548871860000,1.0204,1.0206,1.0206,1.0204,1055.77
177,1549170240000,1.0215,1.0215,1.0215,1.0215,10.0
178,1549170600000,1.0216,1.0216,1.0216,1.0216,10.0
179,1549192200000,1.0215,1.0216,1.0216,1.0215,215.50154377
180,1549192260000,1.0215,1.0216,1.0216,1.0215,1557.41968959
181,1549192320000,1.0216,1.0216,1.0216,1.0216,340.695
182,1549193760000,1.0216,1.0231,1.0231,1.0216,569.5989527099998
183,1549327140000,1.0266,1.0266,1.0266,1.0266,11.0
184,1549617060000,1.0307,1.031,1.031,1.0307,429.22966184
185,1549617120000,1.031,1.031,1.031,1.031,239.66816
186,1549617180000,1.031,1.031,1.031,1.031,112.35016331
187,1549669920000,1.0367,1.0367,1.0367,1.0367,11.0
188,1550170560000,1.0152,1.0151,1.0152,1.0151,49.3746
189,1550213820000,1.0152,1.0152,1.0152,1.0152,10.0
190,1550217720000,1.015,1.015,1.015,1.015,10.0
191,1550221980000,1.0166,1.0166,1.0166,1.0166,85.0
192,1550959560000,1.015,1.0149,1.015,1.0148,228.75035781000003
193,1550960400000,1.0092,1.0092,1.0092,1.0092,50.0
194,1551515940000,1.0323,1.0323,1.0323,1.0323,21.0
195,1551516360000,1.0092,1.0092,1.0092,1.0092,20.95
196,1551599100000,1.0326,1.0327,1.0327,1.0326,97.95
197,1551618480000,1.0092,1.0091,1.0092,1.0091,97.75
198,1551647100000,1.0326,1.0326,1.0326,1.0326,10.0
199,1551821280000,1.0326,1.0327,1.0327,1.0326,439.23737695
200,1551833280000,1.0329,1.0329,1.0329,1.0329,49.65527098
201,1551834060000,1.033,1.033,1.033,1.033,20.95791402
202,1552107420000,1.0219,1.022,1.022,1.0219,92.0
203,1552107600000,1.022,1.022,1.022,1.022,2432.31596221
204,1552107660000,1.022,1.022,1.022,1.022,282.0
205,1552108020000,1.022,1.022,1.022,1.022,259.74
206,1552108200000,1.022,1.022,1.022,1.022,197.99
207,1552108440000,1.022,1.022,1.022,1.022,200.15782814
208,1552108680000,1.02,1.021,1.021,1.02,17925.0
209,1552108740000,1.021,1.021,1.021,1.021,21995.0
210,1552109100000,1.02,1.02,1.02,1.02,17230.0
211,1552109160000,1.02,1.02,1.02,1.02,2035.0
212,1552109280000,1.02,1.02,1.02,1.02,614.99711864
213,1552109340000,1.02,1.02,1.02,1.02,4749.0
214,1552109640000,1.02,1.02,1.02,1.02,605.0
215,1552109700000,1.02,1.02,1.02,1.02,156830.18
216,1552109760000,1.02,1.02,1.02,1.02,17935.0
217,1552110480000,1.02,1.02,1.02,1.02,396.02
218,1552110600000,1.0199,1.02,1.02,1.0199,136.79473302
219,1552110720000,1.0199,1.02,1.02,1.0199,329.0
220,1552110900000,1.02,1.02,1.02,1.02,164.0
221,1552111260000,1.02,1.021,1.021,1.02,9395.28
222,1552111320000,1.021,1.021,1.021,1.021,360.7
223,1552111380000,1.021,1.021,1.021,1.021,15622.86
224,1552111440000,1.021,1.021,1.021,1.021,464.0
225,1552112460000,1.021,1.021,1.021,1.021,2541.43217074
226,1552112640000,1.021,1.021,1.021,1.021,18.78826121
227,1552113540000,1.021,1.021,1.021,1.021,47.29241042
228,1552115040000,1.021,1.021,1.021,1.021,93.70647596
229,1552115880000,1.021,1.021,1.021,1.021,4152.0
230,1552117920000,1.021,1.021,1.021,1.021,866.46203164
231,1552118400000,1.021,1.021,1.021,1.021,172152.34
