,time,open,close,high,low,volume
0,1605269160000,4.1753,4.1753,4.1753,4.1753,86.22134936
1,1605269220000,4.1753,4.1753,4.1753,4.1752,33.80176275
2,1605270720000,4.15,3.705,4.15,3.705,0.00231304
3,1605271500000,3.7110000000000003,3.7110000000000003,3.7110000000000003,3.7110000000000003,0.001157
4,1605273060000,3.72,3.72,3.72,3.72,0.00104242
5,1605274680000,4.15,4.15,4.15,4.15,0.00113932
6,1605276300000,4.15,4.15,4.15,4.15,0.00121597
7,1605276360000,3.76,3.76,3.76,3.76,0.00129525
8,1605277440000,4.15,4.15,4.15,4.15,1.0
9,1605279180000,4.15,4.15,4.15,4.15,0.00113426
10,1605279240000,3.8,3.8,3.8,3.8,0.00100722
11,1605280680000,3.8,4.15,4.15,3.8,0.00240925
12,1605281460000,4.15,4.15,4.15,4.15,0.05365894
13,1605281820000,4.15,4.15,4.15,4.15,111.280006
14,1605283440000,4.15,4.15,4.15,4.15,0.00122961
15,1605284940000,3.8,3.8,3.8,3.8,0.00113898
16,1605286500000,4.15,4.15,4.15,4.15,12.94417
17,1605288000000,3.8,3.8,3.8,3.8,0.00101565
18,1605288180000,3.8,3.8,3.8,3.8,12.918281
19,1605289680000,3.8003,3.8003,3.8003,3.8003,0.00102766
20,1605291240000,4.15,4.15,4.15,4.15,0.00107363
21,1605292860000,4.15,4.15,4.15,4.15,0.00101497
22,1605293100000,4.15,4.15,4.15,4.15,0.00124777
23,1605294660000,4.15,4.15,4.15,4.15,0.00115668
24,1605296160000,4.15,4.15,4.15,4.15,0.00125397
25,1605297300000,4.15,4.15,4.15,4.15,0.0011665999999999998
26,1605298800000,3.8004,3.8004,3.8004,3.8004,0.00115378
27,1605299280000,4.1101,4.11,4.1101,4.11,400.0
28,1605299340000,4.11,4.11,4.11,4.11,78.99884622
29,1605299940000,4.11,4.11,4.11,4.11,36.43506891
30,1605300960000,4.11,4.2464,4.2464,4.11,54.35683275
31,1605301020000,4.2464,4.2464,4.2464,4.2464,25.030706100000003
32,1605302340000,4.2442,4.2442,4.2442,4.2442,54.483913
33,1605303960000,3.9871,3.9871,3.9871,3.9871,0.00118986
34,1605304020000,4.245,4.245,4.245,4.245,10.0
35,1605304800000,4.2535,4.2535,4.2535,4.2535,20.0
36,1605304980000,4.2535,4.2535,4.2535,4.2535,22.0
37,1605305460000,4.2556,4.2556,4.2556,4.2556,20.0
38,1605305580000,4.2556,4.2556,4.2556,4.2556,295.97243167
39,1605305640000,4.2662,4.272,4.272,4.2662,591.94486334
40,1605305700000,4.2765,4.2765,4.2765,4.2765,295.97243167
41,1605305820000,4.2796,4.2796,4.2796,4.2796,295.2
42,1605305940000,4.2833,4.2833,4.2833,4.2833,295.0
43,1605306060000,4.2833,4.2833,4.2833,4.2833,0.10285769
44,1605306240000,4.2899,4.2899,4.2899,4.2899,294.7309948999999
45,1605306360000,4.2994,4.2994,4.2994,4.2994,294.27218456
46,1605306480000,4.2972,4.2972,4.2972,4.2972,294.71427563
47,1605306540000,4.2966,4.2966,4.2966,4.2966,95.0
48,1605306840000,4.2966,4.2966,4.2966,4.2966,10.0
49,1605307740000,4.3260000000000005,4.3260000000000005,4.3260000000000005,4.3260000000000005,292.98022984
50,1605307800000,4.3156,4.3156,4.3156,4.3156,254.54881699999999
51,1605309480000,4.0641,4.0641,4.0641,4.0641,0.00129669
52,1605309840000,4.3953,4.3953,4.3953,4.3953,126.0
53,1605310080000,4.3953,4.3953,4.3953,4.3953,300.0
54,1605311580000,4.1833,4.1833,4.1833,4.1833,0.00101115
55,1605312240000,4.412,4.412,4.412,4.412,4.15079063
56,1605313680000,4.2209,4.2209,4.2209,4.2209,0.00111176
57,1605314160000,4.3812,4.3812,4.3812,4.3812,121.0
58,1605315660000,4.2177,4.2177,4.2177,4.2177,0.00104149
59,1605315720000,4.3861,4.3861,4.3861,4.3861,0.00123513
60,1605316800000,4.3663,4.3663,4.3663,4.3663,0.53100995
61,1605318360000,4.2081,4.2081,4.2081,4.2081,0.00116363
62,1605319380000,4.3679,4.3679,4.3679,4.3679,3.82624132
63,1605321180000,4.2242,4.2242,4.2242,4.2242,0.00113395
64,1605322380000,4.362,4.362,4.362,4.362,2.80376823
65,1605323820000,4.2211,4.3706,4.3706,4.2211,0.00223858
66,1605325380000,4.2275,4.2275,4.2275,4.2275,0.0012554
67,1605327060000,4.2242,4.2242,4.2242,4.2242,0.00118235
68,1605327120000,4.3683,4.3683,4.3683,4.3683,0.00123854
69,1605328740000,4.2202,4.2202,4.2202,4.2202,0.00128275
70,1605330240000,4.2166,4.2166,4.2166,4.2166,0.00113463
71,1605330300000,4.3506,4.3506,4.3506,4.3506,0.00100762
72,1605330840000,4.2166,4.3506,4.3506,4.2166,2.88239805
73,1605332580000,4.211,4.345,4.345,4.211,0.00218751
74,1605334020000,4.2162,4.2162,4.2162,4.2162,0.00116313
75,1605335760000,4.22,4.22,4.22,4.22,0.00128728
76,1605337020000,4.357,4.357,4.357,4.357,0.26142007
77,1605338580000,4.2213,4.08,4.2213,4.08,1247.07
78,1605338940000,4.3231,4.3231,4.3231,4.3231,3.22605938
79,1605340680000,4.2091,4.2091,4.2091,4.2091,0.00105383
80,1605340740000,4.327,4.327,4.327,4.327,0.00120384
81,1605342240000,4.2068,4.2068,4.2068,4.2068,0.07505591
82,1605342300000,4.3176,4.3176,4.3176,4.3176,2.6198875
83,1605344040000,4.18,4.2891,4.2891,4.18,0.28137565
84,1605345720000,4.2213,4.3623,4.3623,4.2213,0.00235882
85,1605347280000,4.2886,4.3327,4.3327,4.2886,0.00249291
86,1605348600000,4.2886,4.0,4.2886,4.0,1217.1499996
87,1605350340000,4.1699,4.1699,4.1699,4.1699,0.00103192
88,1605352020000,4.169,4.169,4.169,4.169,0.00128783
89,1605353220000,4.336,4.336,4.336,4.336,2.99518525
90,1605354660000,4.1751,4.1751,4.1751,4.1751,0.00104966
91,1605354720000,4.3499,4.3499,4.3499,4.3499,0.0012300999999999998
92,1605356220000,4.3404,4.3404,4.3404,4.3404,10.670719300000002
93,1605356520000,4.3404,4.338,4.3404,4.338,268.65958227
94,1605356940000,4.1501,4.0,4.1501,4.0,278.24
95,1605357240000,3.8897,3.8478,3.8897,3.8478,10.0
96,1605357480000,3.8478,3.8478,3.8478,3.8478,41.234893
97,1605358560000,3.8041,3.8041,3.8041,3.8041,3.69328
98,1605360240000,3.8466,3.8466,3.8466,3.8466,0.00112329
99,1605361740000,3.8003,3.8003,3.8003,3.8003,0.00103153
100,1605361800000,4.32,4.32,4.32,4.32,0.00114291
101,1605363480000,3.8459,3.8459,3.8459,3.8459,0.00125971
102,1605363540000,4.2879,4.2879,4.2879,4.2879,0.00115519
103,1605365220000,3.8458,3.8458,3.8458,3.8458,0.00102966
104,1605365280000,4.2865,4.2865,4.2865,4.2865,0.00126947
105,1605366720000,3.8003,3.8003,3.8003,3.8003,0.00113126
106,1605368220000,3.8456,3.8456,3.8456,3.8456,0.00125173
107,1605369900000,3.8456,3.8456,3.8456,3.8456,0.00102003
108,1605371640000,3.8003,3.8003,3.8003,3.8003,0.00106834
109,1605371700000,4.32,4.32,4.32,4.32,0.00116351
110,1605373440000,3.8592,3.8592,3.8592,3.8592,0.00121026
111,1605373500000,4.2798,4.2798,4.2798,4.2798,0.00110196
112,1605375000000,3.8208,4.32,4.32,3.8208,0.00244551
113,1605375780000,3.8208,3.8208,3.8208,3.8208,0.77907895
114,1605377400000,3.8208,3.8208,3.8208,3.8208,0.00118298
115,1605379020000,3.8874,3.8874,3.8874,3.8874,0.00127724
116,1605380640000,3.8517,3.8517,3.8517,3.8517,0.0011322
117,1605382260000,3.8517,3.8517,3.8517,3.8517,0.00129149
118,1605384000000,3.8908,3.8908,3.8908,3.8908,0.00113825
119,1605384060000,4.2737,4.2737,4.2737,4.2737,0.00106196
120,1605385080000,4.273,4.273,4.273,4.273,0.99066369
121,1605386760000,3.8939999999999997,3.8939999999999997,3.8939999999999997,3.8939999999999997,0.00114981
122,1605388560000,3.8517,4.2691,4.2691,3.8517,0.00234845
123,1605390180000,3.8867,3.8867,3.8867,3.8867,0.00119742
124,1605390300000,4.2322,4.2322,4.2322,4.2322,9.23992476
125,1605391980000,3.8939999999999997,3.8939999999999997,3.8939999999999997,3.8939999999999997,0.00120169
126,1605393720000,3.9013,3.9013,3.9013,3.9013,0.00118894
127,1605395520000,3.9015,3.9015,3.9015,3.9015,0.00102512
128,1605397080000,3.8517,3.8517,3.8517,3.8517,0.00117211
129,1605398760000,3.9017,3.9017,3.9017,3.9017,0.00118479
130,1605400200000,3.9017,3.9017,3.9017,3.9017,0.00104408
131,1605401760000,3.9017,3.9017,3.9017,3.9017,0.00118458
132,1605401820000,4.31,4.31,4.31,4.31,0.00105493
133,1605403320000,3.8996,3.8996,3.8996,3.8996,0.00126189
134,1605403380000,4.31,4.31,4.31,4.31,0.00129858
135,1605404880000,3.8994,4.31,4.31,3.8994,0.00228843
136,1605406440000,3.8517,3.8517,3.8517,3.8517,0.00124895
137,1605408000000,3.8517,4.31,4.31,3.8517,0.00241026
138,1605409440000,3.8517,4.2993,4.2993,3.8517,0.00244006
139,1605411180000,3.8896,3.8896,3.8896,3.8896,0.00118914
140,1605411240000,4.2989,4.2989,4.2989,4.2989,0.00104683
141,1605412080000,4.2604,3.8894,4.2604,3.8894,8.56095175
142,1605413760000,3.8517,3.8517,3.8517,3.8517,0.00103714
143,1605415380000,3.8517,3.8517,3.8517,3.8517,0.00120293
144,1605417060000,3.8517,3.8517,3.8517,3.8517,0.00114316
145,1605417120000,4.2551,4.2551,4.2551,4.2551,0.0011807
146,1605418680000,3.8517,3.8517,3.8517,3.8517,0.0011267000000000002
147,1605420360000,3.8517,3.8517,3.8517,3.8517,0.00112616
148,1605422040000,3.8517,3.8517,3.8517,3.8517,0.00107804
149,1605423660000,3.8883,3.8883,3.8883,3.8883,0.00124065
150,1605425160000,3.8885,4.2472,4.2472,3.8885,0.00213068
151,1605426720000,3.8884,4.2817,4.2817,3.8884,0.0022374
152,1605427200000,4.0,4.0,4.0,4.0,0.8247
153,1605427260000,4.0,4.0,4.0,4.0,2.4741
154,1605427320000,4.0,4.0,4.0,4.0,2.4741
155,1605427380000,4.0,4.0,4.0,4.0,1.6494
156,1605427440000,4.0,4.0,4.0,4.0,2.4741
157,1605429000000,3.888,3.888,3.888,3.888,0.00100242
158,1605430560000,3.888,4.0,4.0,3.888,0.00224865
159,1605432060000,3.8878,3.8878,3.8878,3.8878,0.00129513
160,1605433560000,3.8878,3.8878,3.8878,3.8878,0.00121163
161,1605433800000,4.0,4.0,4.0,4.0,9.74739115
162,1605435300000,3.852,3.852,3.852,3.852,0.0011677
163,1605436740000,4.0,4.0,4.0,4.0,0.94626491
164,1605438420000,3.8521,3.8521,3.8521,3.8521,0.00115621
165,1605439440000,4.0,4.0,4.0,4.0,39.75132908
166,1605440940000,3.8521,3.8521,3.8521,3.8521,3.44516363
167,1605442500000,3.8521,3.8521,3.8521,3.8521,0.0010029
168,1605444240000,3.8522,3.8522,3.8522,3.8522,0.00104117
169,1605445920000,3.8522,4.0,4.0,3.8522,0.00223777
170,1605446340000,4.0,4.0671,4.0671,4.0,39.32019487
171,1605447480000,4.0663,4.263,4.263,4.0663,36.20952121
172,1605447960000,4.2631,4.27,4.27,4.2631,36.97257289
173,1605449700000,3.88,3.88,3.88,3.88,0.00120417
174,1605451500000,3.8819999999999997,3.8819999999999997,3.8819999999999997,3.8819999999999997,0.00108765
175,1605453060000,3.8819999999999997,3.8819999999999997,3.8819999999999997,3.8819999999999997,0.00127505
176,1605454740000,3.88,3.88,3.88,3.88,0.00112855
177,1605456480000,3.8810000000000002,4.31,4.31,3.8810000000000002,0.00231911
178,1605457260000,3.9,3.9,3.9,3.9,0.0023769999999999998
179,1605458880000,4.0,4.0,4.0,4.0,0.00118392
