,time,open,close,high,low,volume
0,1605270840000,4.1737,4.1737,4.1737,4.1737,10.94464254
1,1605272520000,3.7129,3.7129,3.7129,3.7129,0.00118261
2,1605274260000,4.1953,4.1953,4.1953,4.1953,0.00107901
3,1605275820000,4.2141,4.2141,4.2141,4.2141,0.00111841
4,1605277440000,3.7587,3.7587,3.7587,3.7587,0.00117553
5,1605279120000,4.2249,4.2249,4.2249,4.2249,0.00129579
6,1605280860000,3.7346,3.7346,3.7346,3.7346,0.00109834
7,1605281460000,3.7346,3.7346,3.7346,3.7346,10.41900395
8,1605282960000,4.2126,4.2126,4.2126,4.2126,0.00113137
9,1605284580000,3.7241,3.7241,3.7241,3.7241,0.00118745
10,1605284640000,4.2008,4.2008,4.2008,4.2008,0.0012004000000000001
11,1605286140000,3.7469,3.7469,3.7469,3.7469,0.00112783
12,1605287760000,4.2152,4.2152,4.2152,4.2152,0.00112367
13,1605289260000,4.2146,3.7417,4.2146,3.7417,0.00224011
14,1605290160000,3.7507,3.7507,3.7507,3.7507,0.00116772
15,1605291660000,4.2262,4.2262,4.2262,4.2262,0.00124777
16,1605293280000,3.7629,3.7629,3.7629,3.7629,0.0011305
17,1605294900000,4.2526,4.2526,4.2526,4.2526,0.00102146
18,1605296700000,4.2262,4.2262,4.2262,4.2262,0.0011665999999999998
19,1605298260000,4.2558,4.2558,4.2558,4.2558,100.0
20,1605299880000,4.001,4.001,4.001,4.001,0.00119565
21,1605299940000,4.2428,4.2429,4.2429,4.2428,86.143911
22,1605300960000,4.2,4.001,4.2,4.001,53.90215287
23,1605302640000,4.1242,4.1242,4.1242,4.1242,0.00116305
24,1605302700000,4.2545,4.2545,4.2545,4.2545,0.00126549
25,1605304200000,4.125,4.125,4.125,4.125,0.00128249
26,1605305220000,4.1289,4.1289,4.1289,4.1289,0.35699019
27,1605306720000,4.1475,4.1475,4.1475,4.1475,0.00106746
28,1605306780000,4.2937,4.2937,4.2937,4.2937,0.00128208
29,1605308280000,4.1853,4.1853,4.1853,4.1853,1.34221138
30,1605309780000,4.3971,4.3971,4.3971,4.3971,75.0
31,1605310200000,4.173,4.173,4.173,4.173,1.66703819
32,1605311820000,4.1847,4.1847,4.1847,4.1847,0.00110334
33,1605313200000,4.167,4.167,4.167,4.167,4.49246262
34,1605314760000,4.1722,4.1722,4.1722,4.1722,0.00115956
35,1605316500000,4.1858,4.1858,4.1858,4.1858,0.00119054
36,1605318120000,4.1858,4.1858,4.1858,4.1858,0.00117137
37,1605319860000,4.1862,4.1862,4.1862,4.1862,0.00108832
38,1605320520000,4.1862,4.1862,4.1862,4.1862,3.12982847
39,1605322080000,4.1828,4.1828,4.1828,4.1828,0.00122976
40,1605322380000,4.1828,4.1828,4.1828,4.1828,0.03328531
41,1605323880000,4.1647,4.1647,4.1647,4.1647,0.00129944
42,1605325560000,4.1684,4.3798,4.3798,4.1684,0.0022843200000000003
43,1605327120000,4.1848,4.1848,4.1848,4.1848,0.00117985
44,1605328860000,4.1823,4.1823,4.1823,4.1823,0.001276
45,1605330300000,4.1793,4.1793,4.1793,4.1793,0.00128875
46,1605330840000,4.1793,4.1793,4.1793,4.1793,2.47603026
47,1605332580000,4.1625,4.1625,4.1625,4.1625,0.00123286
48,1605334380000,4.1722,4.1722,4.1722,4.1722,0.00112541
49,1605336120000,4.1819,4.1819,4.1819,4.1819,0.00103637
50,1605337020000,4.1819,4.1819,4.1819,4.1819,0.06878703
51,1605338820000,4.1819,4.1819,4.1819,4.1819,0.00102992
52,1605340140000,4.1718,4.1718,4.1718,4.1718,5.46822593
53,1605341880000,4.1637,4.3217,4.3217,4.1637,0.00227879
54,1605342240000,4.1637,4.1637,4.1637,4.1637,0.00766196
55,1605343620000,4.2951,4.2951,4.2951,4.2951,275.0
56,1605343980000,4.1649,4.1649,4.1649,4.1649,2.42026225
57,1605345660000,4.2054,4.2054,4.2054,4.2054,0.00102694
58,1605347340000,4.1984,4.1984,4.1984,4.1984,0.00111963
59,1605348960000,4.1867,4.1867,4.1867,4.1867,0.00126752
60,1605350520000,4.2002,4.2002,4.2002,4.2002,0.00129832
61,1605352320000,4.1976,4.1976,4.1976,4.1976,0.00101946
62,1605353880000,4.1954,4.1954,4.1954,4.1954,0.00129532
63,1605355320000,4.1971,4.1971,4.1971,4.1971,0.00107771
64,1605356820000,4.1929,4.3511,4.3511,4.1929,0.00240478
65,1605356940000,4.1929,3.9,4.1929,3.9,80.53213852
66,1605357000000,3.7199,3.7199,3.7199,3.7199,5.841311
67,1605358500000,3.7509,3.7509,3.7509,3.7509,0.00108737
68,1605360240000,3.736,3.736,3.736,3.736,0.00109951
69,1605360300000,4.3660000000000005,4.3660000000000005,4.3660000000000005,4.3660000000000005,0.00120993
70,1605361920000,3.7418,4.3727,4.3727,3.7418,0.0020623200000000003
71,1605363660000,3.7504,3.7504,3.7504,3.7504,0.00128744
72,1605365100000,3.7495,4.3833,4.3833,3.7495,0.00215118
73,1605366900000,3.7413,3.7413,3.7413,3.7413,0.00117669
74,1605368400000,3.7358,3.7358,3.7358,3.7358,0.00126199
75,1605369900000,3.7221,3.7221,3.7221,3.7221,0.0010689
76,1605371460000,3.7334,3.7334,3.7334,3.7334,0.00108065
77,1605373200000,3.7334,3.7334,3.7334,3.7334,0.00100313
78,1605374640000,3.7334,3.7334,3.7334,3.7334,0.00112887
79,1605374880000,3.7098,3.7098,3.7098,3.7098,6.11426552
80,1605375780000,3.707,3.7071,3.7071,3.707,0.86265227
81,1605377400000,3.7239999999999998,4.3533,4.3533,3.7239999999999998,0.00209599
82,1605379140000,3.7884,3.7884,3.7884,3.7884,0.0010075
83,1605380820000,3.8217,4.3504,4.3504,3.8217,0.00225786
84,1605382500000,3.7904,3.7904,3.7904,3.7904,0.00120794
85,1605384060000,3.8289999999999997,4.3554,4.3554,3.8289999999999997,0.00227411
86,1605385740000,3.7907,3.7907,3.7907,3.7907,0.00121344
87,1605387420000,3.8275,3.8275,3.8275,3.8275,0.00122025
