,time,open,close,high,low,volume
0,1604135700000,1e-05,1e-05,1e-05,1e-05,1111.111
1,1604135940000,1.65e-06,1.66e-06,1.66e-06,1.65e-06,1531.11462319
2,1604136000000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,1514.02566752
3,1604136060000,1.69e-06,1.69e-06,1.69e-06,1.69e-06,1500.55157526
4,1604136120000,1.69e-06,1.69e-06,1.69e-06,1.69e-06,1003.06077526
5,1604136180000,1.69e-06,1.68e-06,1.69e-06,1.68e-06,2921.57023658
6,1604136240000,1.68e-06,1.67e-06,1.68e-06,1.67e-06,1325.50790368
7,1604136300000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,1009.42250361
8,1604136360000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,1520.82828002
9,1604136480000,1.67e-06,1.66e-06,1.67e-06,1.66e-06,4382.41284238
10,1604136540000,1.66e-06,1.66e-06,1.67e-06,1.66e-06,2391.37211058
11,1604137080000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,0.00114962
12,1604137680000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,0.00125589
13,1604138280000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,0.00123366
14,1604138340000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00107895
15,1604138940000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00109996
16,1604139000000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,38238.09814772
17,1604139540000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,0.00129149
18,1604139600000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,0.09514454
19,1604139780000,1.65e-06,1.66e-06,1.66e-06,1.65e-06,1095.2736204399996
20,1604140140000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,511.01014294
21,1604140500000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1.81454545
22,1604140740000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,18.13890909
23,1604141280000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,508.60781664
24,1604141340000,1.65e-06,1.65e-06,1.67e-06,1.65e-06,6116.78148209
25,1604141400000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,2039.5216366999998
26,1604141460000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1529.24713497
27,1604141580000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1017.22516127
28,1604141700000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,2545.3062172
29,1604141820000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1522.86272405
30,1604141880000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,507.97914742
31,1604142180000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,4568.46836509
32,1604142240000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,2030.79528678
33,1604142300000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1015.43295982
34,1604142840000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,0.00115063
35,1604143140000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1517.3726146
36,1604143500000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,505.8638277
37,1604143800000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1533.9012262899996
38,1604143920000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1529.2958203
39,1604144340000,1.65e-06,1.64e-06,1.65e-06,1.64e-06,1529.39990141
40,1604144640000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,509.53206367
41,1604144760000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,23570.49323439
42,1604144820000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,700.34225154
43,1604145300000,1.63e-06,1.63e-06,1.63e-06,1.63e-06,0.00104532
44,1604145600000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,14.41242599
45,1604146200000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00120812
46,1604146260000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,0.00109152
47,1604146740000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00120373
48,1604146800000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,0.00128009
49,1604146980000,1.65e-06,1.66e-06,1.66e-06,1.65e-06,100.1
50,1604147580000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00120293
51,1604148120000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,0.00128609
52,1604148180000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,0.00102526
53,1604148300000,1.67e-06,1.67e-06,1.67e-06,1.67e-06,10.30538567
54,1604148900000,1.64e-06,1.66e-06,1.66e-06,1.64e-06,0.00230196
