,time,open,close,high,low,volume
0,1545420060000,3.8294,3.8294,3.8294,3.8294,0.13465
1,1545420120000,3.8294,3.8297,3.8297,3.8294,0.08782999999999999
2,1545424020000,3.8297,3.8497,3.8497,3.8297,11.0
3,1545424080000,3.8497,3.8498,3.8498,3.8497,3.5
4,1545425100000,3.8498,3.8498,3.8498,3.8498,0.30297216
5,1545425160000,3.8509,3.8509,3.8509,3.8509,0.7016873
6,1545425280000,3.8509,3.8522,3.8522,3.8509,2.291
7,1545425700000,3.7944,3.7944,3.7944,3.7944,0.19097598
8,1545426480000,3.8523,3.8592,3.8592,3.8523,1.8716700000000002
9,1545426720000,3.8592,3.8663,3.8663,3.8592,5.8950000000000005
10,1545427320000,3.8663,3.8663,3.8663,3.8663,5.1696
11,1545427680000,3.8663,3.8663,3.8663,3.8663,2.5901
12,1545428280000,3.8663,3.8663,3.8663,3.8663,6.3961
13,1545428460000,3.8663,3.8663,3.8663,3.8663,1.3633
14,1545428820000,3.8663,3.8663,3.8663,3.8663,0.058683000000000006
15,1545428940000,3.8663,3.8663,3.8663,3.8663,7.1806
16,1545429120000,3.8663,3.8807,3.8807,3.85,9.7014533
17,1545429180000,3.8749,3.8749,3.8749,3.8749,0.46332253
18,1545429240000,3.87,3.87,3.87,3.87,0.8273219999999999
19,1545429420000,3.8807,3.8861,3.8861,3.8807,0.5760000000000001
20,1545429480000,3.8861,3.8861,3.8861,3.8861,0.56
21,1545431220000,3.8861,3.8888,3.8888,3.8861,0.436
22,1545445860000,3.8889,3.8889,3.8889,3.8889,0.139998
23,1545462600000,3.8336,3.7912,3.8336,3.7912,0.12481600000000001
24,1545470040000,3.8003,3.78,3.8003,3.78,18.92270681
25,1545470160000,3.7695,3.76,3.7695,3.76,0.8
26,1545470220000,3.76,3.76,3.76,3.76,1.6
27,1545470280000,3.753,3.7188,3.753,3.6794,8.76829104
28,1545470340000,3.7188,3.7188,3.7188,3.7188,0.08498692
29,1545471000000,3.7,3.66,3.7,3.66,2.71087641
30,1545471060000,3.6599,3.65,3.6599,3.65,0.53573266
31,1545471120000,3.6599,3.6489999999999996,3.7902,3.6309,2.47240243
32,1545471180000,3.66,3.6463,3.66,3.6069,6.66551937
33,1545471420000,3.61,3.61,3.61,3.61,0.09437429
34,1545471720000,3.62,3.62,3.62,3.62,0.59368575
35,1545472440000,3.62,3.62,3.62,3.62,0.59496272
36,1545472500000,3.62,3.62,3.62,3.62,1.78424146
37,1545472560000,3.62,3.62,3.62,3.62,2.98087645
38,1545472620000,3.62,3.62,3.62,3.62,2.57896613
39,1545472860000,3.62,3.62,3.62,3.5837,4.05575334
40,1545472920000,3.6091,3.6091,3.62,3.6091,1.39995751
41,1545473100000,3.6326,3.6326,3.6326,3.6326,1.0
42,1545473340000,3.6217,3.6217,3.6217,3.6217,0.19551058
43,1545473580000,3.63,3.6217,3.63,3.6217,0.59360382
44,1545473640000,3.63,3.63,3.63,3.63,0.499
45,1545473760000,3.65,3.6310000000000002,3.65,3.6310000000000002,1.1876174
46,1545474120000,3.6616,3.6689,3.7349,3.6616,5.41596482
47,1545474180000,3.68,3.66,3.68,3.66,3.7555588
48,1545474300000,3.6689,3.67,3.67,3.6689,1.0
49,1545474360000,3.6589,3.67,3.67,3.6589,1.0
50,1545474420000,3.66,3.65,3.66,3.65,4.19049341
51,1545474720000,3.6889,3.6889,3.6889,3.6889,0.4
52,1545474840000,3.7446,3.66,3.7446,3.66,1.67906178
53,1545474900000,3.66,3.6501,3.66,3.6501,0.8
54,1545475380000,3.653,3.65,3.653,3.65,4.53365005
55,1545476160000,3.6824,3.6824,3.6824,3.6824,0.076359
56,1545476220000,3.6824,3.6919999999999997,3.6919999999999997,3.6824,0.06315499999999999
57,1545476280000,3.6919999999999997,3.68,3.6919999999999997,3.68,3.58875566
58,1545476340000,3.68,3.68,3.69,3.67,3.8857839
59,1545476400000,3.69,3.6830000000000003,3.69,3.6830000000000003,1.2
60,1545476520000,3.6830000000000003,3.6710000000000003,3.6830000000000003,3.6710000000000003,2.05747373
61,1545477600000,3.7,3.7,3.7,3.7,0.4
62,1545477720000,3.7,3.7,3.7,3.7,0.4
63,1545478200000,3.7,3.6889,3.7,3.6889,1.2000000000000002
64,1545478260000,3.7,3.7,3.7,3.7,0.4
65,1545478380000,3.6889,3.68,3.6889,3.68,1.2000000000000002
66,1545478440000,3.685,3.7,3.7,3.675,3.3783987
67,1545478500000,3.6889,3.7452,3.7452,3.6779,1.7995784
68,1545478560000,3.7449,3.7336,3.7449,3.6725,2.53901508
69,1545478680000,3.7,3.7,3.7,3.7,0.8
70,1545478740000,3.7,3.69,3.7,3.6789,2.99029223
71,1545478800000,3.69,3.69,3.69,3.6725,2.54781491
72,1545478860000,3.693,3.7373,3.7373,3.69,1.08875
73,1545478920000,3.7445,3.7,3.7445,3.7,2.48499961
74,1545478980000,3.7444,3.6889,3.7444,3.68,1.36425802
75,1545479040000,3.7444,3.7551,3.7554,3.7444,0.64331
76,1545479580000,3.7,3.7,3.7,3.7,0.31544715
77,1545479700000,3.6889,3.6889,3.6889,3.6889,0.084552
78,1545479880000,3.6889,3.7483,3.7483,3.6889,0.07237400000000001
79,1545480120000,3.7413,3.748,3.748,3.6710000000000003,3.76814527
80,1545480180000,3.748,3.6789,3.748,3.6789,1.2435459999999998
81,1545480240000,3.7299,3.7299,3.7299,3.7299,0.4
82,1545480600000,3.69,3.69,3.69,3.69,2.83025
83,1545481560000,3.748,3.737,3.7483,3.7310000000000003,2.18752536
84,1545481620000,3.75,3.75,3.75,3.75,0.8
85,1545481680000,3.75,3.75,3.75,3.7387,3.38775583
86,1545481980000,3.74,3.7310000000000003,3.74,3.7310000000000003,3.39632
87,1545482160000,3.74,3.7310000000000003,3.74,3.7310000000000003,2.6887600000000003
88,1545482220000,3.7310000000000003,3.73,3.7310000000000003,3.73,1.69812
89,1545483060000,3.74,3.74,3.74,3.74,0.17628
90,1545483240000,3.76,3.74,3.76,3.74,6.8
91,1545483300000,3.73,3.74,3.74,3.71,2.971578
92,1545483480000,3.7487,3.7392,3.7505,3.7392,2.070055
93,1545483600000,3.7392,3.7392,3.7392,3.7392,6.5e-07
94,1545483900000,3.75,3.7188,3.75,3.7115,3.02977701
95,1545484080000,3.721,3.72,3.721,3.71,2.0
96,1545484320000,3.72,3.71,3.72,3.71,3.17472602
97,1545484380000,3.71,3.71,3.71,3.71,0.59376769
98,1545484440000,3.71,3.71,3.71,3.71,2.37501992
99,1545484620000,3.7001,3.7001,3.7001,3.7001,0.07229289
100,1545484680000,3.701,3.69,3.701,3.69,2.7875862600000003
101,1545484740000,3.69,3.68,3.69,3.68,3.96255526
102,1545484920000,3.685,3.681,3.685,3.681,3.2
103,1545485040000,3.685,3.685,3.685,3.685,1.78137093
104,1545485100000,3.687,3.67,3.687,3.67,4.58712806
105,1545485160000,3.67,3.67,3.67,3.67,0.00639055
106,1545485340000,3.6589,3.6589,3.6589,3.6589,0.2936
107,1545485400000,3.6589,3.6589,3.6589,3.6589,9.45e-06
108,1545485460000,3.6902,3.7092,3.7204,3.6001,1.81259186
