,time,open,close,high,low,volume
0,1545420900000,423.63,423.63,423.63,423.63,0.14192564
1,1545421080000,430.0,430.0,430.0,430.0,0.04
2,1545422280000,421.87,421.32,421.87,421.32,1.169611
3,1545424920000,421.32,420.68,421.32,420.68,0.4699592500000001
4,1545425040000,420.68,420.68,420.68,420.68,0.04721385
5,1545425160000,420.68,419.91,420.68,419.91,0.70098559
6,1545425700000,419.48,419.48,419.48,419.48,0.19059403
7,1545429120000,431.99,431.99,431.99,431.99,1.171446
8,1545429180000,431.99,431.99,431.99,431.99,0.3432913
9,1545429240000,431.99,431.99,431.99,431.99,0.82815016
10,1545445860000,430.0,430.0,430.0,430.0,0.05
11,1545467400000,419.51,419.48,419.51,419.48,0.2
12,1545470040000,421.61,417.99,421.61,417.99,20.68915782
13,1545470160000,417.99,417.99,417.99,417.99,0.8
14,1545470220000,417.99,417.99,417.99,417.99,1.6
15,1545470280000,417.99,417.99,417.99,417.99,8.53715483
16,1545470340000,417.99,417.99,417.99,417.99,0.9
17,1545470460000,417.99,417.99,417.99,417.99,0.092
18,1545470580000,417.99,417.99,417.99,417.99,0.092
19,1545471000000,417.99,417.99,417.99,417.99,3.31326081
20,1545471120000,417.99,417.99,417.99,417.99,2.59522959
21,1545471180000,417.99,417.99,417.99,417.99,6.96684863
22,1545471360000,417.99,417.99,417.99,417.99,8.36641452
23,1545471420000,417.99,417.99,417.99,417.99,0.68112684
24,1545471480000,417.99,418.99,418.99,417.99,8.62529266
25,1545471720000,418.99,418.99,418.99,418.99,0.5948755
26,1545472440000,418.99,418.99,418.99,418.99,0.59615503
27,1545472500000,418.99,418.99,418.99,418.99,1.78781709
28,1545472560000,418.99,418.99,418.99,418.99,2.98444534
29,1545472620000,418.99,418.99,418.99,418.99,30.85050906
30,1545472680000,418.99,419.99,419.99,418.99,27.81292947
31,1545472860000,419.99,419.99,419.99,419.99,3.98031397
32,1545472920000,419.99,419.99,419.99,419.99,1.20156063
33,1545473100000,419.99,419.99,419.99,419.99,5.44764322
34,1545473580000,419.99,419.99,419.99,419.99,0.59479341
35,1545473640000,419.99,419.99,419.99,419.99,4.60183991
36,1545473700000,419.99,419.99,419.99,419.99,5.53280764
37,1545473760000,419.99,419.99,419.99,419.99,1.1899973999999998
38,1545473820000,419.99,420.99,420.99,419.99,13.21385239
39,1545474120000,420.99,420.99,420.99,420.99,17.17564565
40,1545474180000,420.99,420.99,420.99,420.99,9.28476926
41,1545474300000,420.99,420.99,420.99,420.99,0.8
42,1545474360000,420.99,420.99,420.99,420.99,0.8
43,1545474420000,420.99,420.99,420.99,420.99,4.19167676
44,1545474840000,420.99,420.99,420.99,420.99,1.39149477
45,1545474900000,420.99,420.99,420.99,420.99,1.02299816
46,1545474960000,420.99,420.99,420.99,420.99,0.14682108
47,1545475080000,420.99,420.99,420.99,420.99,1.3395059999999999
48,1545475380000,420.99,421.99,421.99,420.99,4.95603454
49,1545475560000,421.99,421.99,421.99,421.99,9.28040316
50,1545476280000,421.99,421.99,421.99,421.99,2.99394355
51,1545476340000,421.99,421.99,421.99,421.99,3.79075957
52,1545476400000,421.99,421.99,421.99,421.99,0.4
53,1545476520000,421.99,421.99,421.99,421.99,1.65919211
54,1545477300000,421.99,421.99,421.99,421.99,13.10215437
55,1545477600000,421.99,421.99,421.99,421.99,0.4
56,1545477720000,421.99,421.99,421.99,421.99,0.4
57,1545478200000,421.99,421.99,421.99,421.99,1.2000000000000002
58,1545478260000,421.99,421.99,421.99,421.99,1.2000000000000002
59,1545478380000,421.99,421.99,421.99,421.99,1.2000000000000002
60,1545478440000,421.99,421.99,421.99,421.99,4.17114033
61,1545478500000,421.99,421.99,421.99,421.99,0.6108006500000001
62,1545478560000,421.99,421.99,421.99,421.99,2.0393052000000003
63,1545478680000,421.99,421.99,421.99,421.99,1.2000000000000002
64,1545478740000,421.99,421.99,421.99,421.99,3.63467134
65,1545478800000,422.99,422.99,422.99,422.99,2.1903522200000003
66,1545478860000,422.99,422.99,422.99,422.99,0.8
67,1545478920000,422.99,422.99,422.99,422.99,2.58917797
68,1545478980000,422.99,422.99,422.99,422.99,1.28917797
69,1545479580000,422.99,422.99,422.99,422.99,0.4
70,1545480120000,422.99,422.99,422.99,422.99,4.54313354
71,1545480180000,422.99,422.99,422.99,422.99,1.2000000000000002
72,1545480240000,422.99,423.99,423.99,422.99,37.1321583
73,1545480300000,423.99,423.99,423.99,423.99,17.48587128
74,1545480600000,423.99,423.99,423.99,423.99,2.98097862
75,1545481560000,423.99,423.99,423.99,423.99,2.18870071
76,1545481620000,423.99,423.99,423.99,423.99,0.8
77,1545481680000,423.99,423.99,423.99,423.99,3.3889337
78,1545481980000,423.99,423.99,423.99,423.99,3.39632
79,1545482160000,423.99,423.99,423.99,423.99,2.83027
80,1545482220000,423.99,423.99,423.99,423.99,1.55661
81,1545483060000,423.25,423.2,423.25,423.2,0.5984999999999999
82,1545483240000,423.99,423.99,423.99,423.99,4.4548000000000005
83,1545483480000,423.99,423.99,423.99,423.99,0.4
84,1545483900000,420.22,419.99,420.74,418.99,2.4385967
85,1545484080000,419.99,419.99,419.99,419.99,2.0
86,1545484200000,419.99,419.99,419.99,419.99,1.62421341
87,1545484320000,419.99,419.99,419.99,419.99,3.1794849999999997
88,1545484380000,419.99,419.99,419.99,419.99,0.59495761
89,1545484440000,419.99,419.99,419.99,419.99,2.37977948
90,1545484620000,419.99,419.99,419.99,419.99,0.07243777
91,1545484680000,419.99,419.99,419.99,419.99,3.36186808
92,1545484740000,419.99,419.99,419.99,419.99,3.96969466
93,1545484920000,419.99,419.99,419.99,419.99,2.4000000000000004
94,1545485040000,419.99,419.99,419.99,419.99,1.78494081
95,1545485100000,419.99,419.99,419.99,419.99,4.59471749
96,1545485160000,419.99,419.99,419.99,419.99,0.4
97,1545485460000,419.99,419.99,419.99,419.99,1.3948585100000002
98,1545485640000,419.99,419.99,419.99,419.99,0.8
99,1545485820000,419.99,419.99,419.99,419.99,0.4
100,1545485940000,419.99,419.99,419.99,419.99,8.24958652
101,1545486000000,419.99,419.99,419.99,419.99,1.03795359
102,1545486540000,419.99,419.99,419.99,419.99,0.4
103,1545486720000,419.99,419.99,419.99,419.99,5.0
104,1545489480000,419.99,419.99,419.99,419.99,2.12865072
105,1545490260000,420.99,420.99,420.99,420.99,9.14016
106,1545490320000,420.99,420.99,420.99,420.99,12.88603
107,1545492480000,420.99,420.99,420.99,420.99,2.4000000000000004
108,1545493380000,420.99,420.99,420.99,420.99,0.4
109,1545493740000,420.99,420.99,420.99,420.99,0.8
110,1545496560000,420.99,420.99,420.99,420.99,0.4
111,1545497040000,420.99,420.99,420.99,420.99,6.98222082
112,1545497280000,420.99,420.99,420.99,420.99,10.98692721
113,1545497340000,420.99,421.99,421.99,420.99,8.94478413
114,1545497400000,421.99,421.99,421.99,421.99,4.0
115,1545497460000,421.99,421.99,421.99,421.99,3.51429307
116,1545497520000,421.99,421.99,421.99,421.99,4.800000000000002
117,1545497580000,421.99,421.99,421.99,421.99,2.0
118,1545497700000,421.99,421.99,421.99,421.99,10.55226817
119,1545497760000,421.99,421.99,421.99,421.99,6.72963748
120,1545497820000,421.99,421.99,421.99,421.99,3.3018919
121,1545497880000,421.99,421.99,421.99,421.99,2.61873486
122,1545497940000,421.99,421.99,421.99,421.99,3.75095207
123,1545498120000,421.99,421.99,421.99,421.99,4.59210029
124,1545498180000,422.99,422.99,422.99,422.99,13.03799506
125,1545498600000,422.99,422.99,422.99,422.99,0.8
126,1545498660000,422.99,422.99,422.99,422.99,3.30830613
127,1545498720000,422.99,422.99,422.99,422.99,10.0
128,1545498780000,422.99,422.99,422.99,422.99,2.9319420700000003
129,1545498840000,422.99,422.99,422.99,422.99,0.8
130,1545499020000,422.99,422.99,422.99,422.99,1.10743593
131,1545499080000,422.99,422.99,422.99,422.99,5.22007
132,1545499140000,422.99,422.99,422.99,422.99,1.2000000000000002
133,1545499200000,422.99,422.99,422.99,422.99,1.2000000000000002
134,1545499260000,422.99,422.99,422.99,422.99,1.2000000000000002
135,1545499320000,422.99,422.99,422.99,422.99,3.70794943
136,1545499440000,423.99,423.99,423.99,423.99,0.4
137,1545499500000,423.99,423.99,423.99,423.99,2.77456634
138,1545500400000,423.99,423.99,423.99,423.99,2.04768797
139,1545500460000,423.99,423.99,423.99,423.99,3.9529279
140,1545500520000,423.99,423.99,423.99,423.99,4.4
141,1545502440000,423.99,423.99,423.99,423.99,0.23542817
142,1545502500000,423.99,423.99,423.99,423.99,8.71652516
143,1545502560000,423.99,423.99,423.99,423.99,0.5
144,1545502620000,423.99,423.99,423.99,423.99,5.71680774
145,1545502680000,423.99,423.99,423.99,423.99,1.58927875
146,1545502860000,423.99,423.99,423.99,423.99,0.23578788
147,1545503940000,423.99,423.99,423.99,423.99,11.56881
148,1545504000000,423.99,423.99,423.99,423.99,1.41210683
149,1545504060000,423.99,423.99,423.99,423.99,0.5
150,1545504480000,423.99,423.99,423.99,423.99,1.0
151,1545504540000,423.99,423.99,423.99,423.99,1.0
152,1545504600000,423.99,423.99,423.99,423.99,1.5
153,1545504660000,423.99,423.99,423.99,423.99,0.5
154,1545504720000,423.99,423.99,423.99,423.99,0.5
155,1545504900000,423.99,424.99,424.99,423.99,2.22925853
156,1545504960000,424.99,424.99,424.99,424.99,2.23484763
157,1545505380000,424.99,424.99,424.99,424.99,2.2557251
158,1545505440000,424.99,424.99,424.99,424.99,3.24074056
159,1545505620000,424.99,424.99,424.99,424.99,2.0
160,1545505680000,424.99,424.99,424.99,424.99,2.4047034
161,1545505860000,424.94,424.99,424.99,424.94,1.97321835
162,1545505920000,424.99,424.99,424.99,424.99,1.7815637999999998
163,1545505980000,424.99,424.99,424.99,424.99,2.20829052
164,1545506100000,424.99,424.99,424.99,424.99,0.04
165,1545506220000,424.99,424.99,424.99,424.99,6.6227615
166,1545506280000,424.99,424.99,424.99,424.99,7.06267976
167,1545506340000,424.99,424.99,424.99,424.99,4.0
168,1545506820000,424.94,424.99,424.99,424.94,1.20078487
169,1545506880000,424.99,424.99,424.99,424.99,4.77
170,1545506940000,424.99,424.99,424.99,424.99,4.76
171,1545507300000,424.99,424.99,424.99,424.99,3.41777149
172,1545508260000,425.99,425.99,425.99,425.99,15.37761585
173,1545508320000,425.99,425.99,425.99,425.99,3.0
174,1545508500000,425.99,425.99,425.99,425.99,0.5
175,1545508860000,425.99,425.99,425.99,422.33,3.14039434
176,1545508920000,425.99,425.99,425.99,425.99,7.84892488
177,1545508980000,425.99,425.99,425.99,425.99,20.7389017
178,1545509100000,426.99,426.99,426.99,426.99,5.63666308
179,1545509340000,426.99,426.99,426.99,426.99,0.5
180,1545509400000,426.99,426.99,426.99,426.99,0.5
181,1545509460000,426.99,426.99,426.99,426.99,0.23400023
182,1545509700000,426.99,426.99,426.99,426.99,16.31462861
183,1545509760000,426.99,427.99,427.99,426.99,36.20161272
184,1545511800000,427.85,427.85,427.85,427.85,0.22925853
185,1545511920000,426.61,422.99,426.61,422.99,4.18816892
186,1545511980000,422.99,422.99,422.99,422.99,5.24976244
187,1545512100000,422.99,422.99,422.99,422.99,5.77
188,1545512160000,422.99,422.99,422.99,422.99,5.762288
189,1545512220000,422.99,422.99,422.99,422.99,4.76
190,1545512280000,422.99,422.99,422.99,422.99,9.91195
191,1545512820000,422.99,423.99,423.99,422.99,3.68166324
192,1545512880000,423.99,423.99,423.99,423.99,0.5
193,1545513540000,423.99,423.99,423.99,423.99,0.44
194,1545513660000,423.99,423.99,423.99,423.99,1.88115465
195,1545513900000,423.99,423.99,423.99,423.99,2.65325
196,1545513960000,423.99,423.99,423.99,423.99,0.10613
197,1545514080000,423.99,423.99,423.99,423.99,1.20168176
198,1545514140000,423.99,423.99,423.99,423.99,7.31430342
199,1545514860000,423.99,423.99,423.99,423.99,2.16402524
200,1545515220000,423.99,423.99,423.99,423.99,0.5
201,1545515400000,423.99,423.99,423.99,423.99,1.13212
202,1545515760000,423.99,423.99,423.99,423.99,0.04
203,1545519960000,423.99,423.99,423.99,423.99,1.07808365
204,1545520020000,423.99,423.99,423.99,423.99,0.58957536
205,1545520260000,423.99,423.99,423.99,423.99,1.0
206,1545520320000,423.99,423.99,423.99,423.99,6.85378217
207,1545520560000,423.99,423.99,423.99,423.99,11.18091862
208,1545521700000,423.99,423.99,423.99,423.99,0.5
209,1545522540000,423.99,423.99,423.99,423.99,1.2
210,1545522600000,423.99,423.99,423.99,423.99,0.5
211,1545522660000,423.99,423.99,423.99,423.99,6.11390978
212,1545522720000,424.99,424.99,424.99,424.99,7.65278805
213,1545522780000,424.99,424.99,424.99,424.99,9.51
214,1545522840000,424.99,424.99,424.99,424.99,4.74
215,1545522900000,424.99,424.99,424.99,424.99,15.294075029999998
216,1545523260000,424.99,424.99,424.99,424.99,0.5
217,1545523320000,424.99,425.99,425.99,424.99,12.80313692
218,1545523380000,425.99,425.99,425.99,425.99,0.2338839
219,1545523440000,425.99,425.99,425.99,425.99,17.5202684
220,1545523500000,425.99,425.99,425.99,425.99,0.17572744
221,1545523560000,425.99,425.99,425.99,425.99,21.84960539
222,1545523680000,425.99,425.99,425.99,425.99,6.16861545
223,1545523920000,425.99,426.99,426.99,425.99,4.74
224,1545523980000,426.99,426.99,426.99,426.99,1.10212507
225,1545524340000,426.99,426.99,426.99,426.99,0.7620534299999999
226,1545524400000,426.99,426.99,426.99,426.99,0.28619147
227,1545524460000,426.99,426.99,426.99,426.99,11.50163162
228,1545524520000,426.99,426.99,426.99,426.99,13.40111957
229,1545524580000,426.76,426.76,426.76,426.76,0.14034236
230,1545524640000,426.99,426.99,426.99,426.99,0.8811260999999999
231,1545524760000,426.99,426.99,426.99,426.99,18.98908368
232,1545524820000,426.99,427.99,427.99,426.02,3.58675913
233,1545524940000,427.99,427.99,427.99,427.37,4.53193573
234,1545525000000,427.99,427.99,427.99,427.99,7.59149801
235,1545525120000,426.82,426.82,426.82,426.82,0.27743889
236,1545525240000,427.99,427.99,427.99,427.62,2.91466326
237,1545525300000,427.99,427.99,427.99,427.99,7.87281135
238,1545525480000,427.99,427.99,427.99,427.34,3.77902577
239,1545525540000,427.99,427.99,427.99,427.99,1.34626
240,1545525600000,427.99,427.99,427.99,427.99,19.02730816
241,1545525720000,428.99,428.99,428.99,428.99,3.52062347
242,1545525840000,428.99,428.99,428.99,428.99,2.34857287
243,1545526020000,428.99,428.99,428.99,428.99,0.5
244,1545526080000,428.99,428.99,428.99,428.99,4.71
245,1545526140000,428.99,428.99,428.99,428.99,0.091999
246,1545526200000,428.99,428.99,428.99,428.99,1.35764132
247,1545526260000,428.99,428.99,428.99,428.99,3.4352011
248,1545526380000,428.99,428.99,428.99,427.26,1.32210681
249,1545526440000,428.99,428.99,428.99,428.99,15.04442971
250,1545526500000,428.99,428.99,428.99,428.99,5.12886493
251,1545526560000,428.99,428.99,428.99,428.99,10.48551205
252,1545526620000,428.99,428.99,428.99,428.99,2.24804686
253,1545526680000,429.01,429.99,429.99,429.01,2.93195314
254,1545526800000,429.99,429.99,429.99,429.99,1.0
255,1545526860000,429.99,429.99,429.99,429.99,24.8418457
256,1545526920000,429.99,429.99,429.99,429.99,0.38201321
