,time,open,close,high,low,volume
0,1545824760000,3.5115,3.5115,3.5115,3.5115,4.33316637
1,1545941940000,2.5,2.5,2.5,2.5,11.8603817
2,1546522740000,2.5,2.5,2.5,2.5,17.23339063
3,1546605480000,3.4625,3.4625,3.4625,3.4625,8.460989999999999
4,1546672320000,3.2966,3.2966,3.2966,3.2966,5.2390373
5,1546694700000,2.6,2.6,2.6,2.6,4.0
6,1546793280000,2.6,2.5101,2.6,2.5101,102.41711426
7,1546795140000,2.5102,2.5,2.5102,2.5,69.68764601
8,1546908720000,2.2,2.2,2.2,2.2,21.55308249
9,1547079420000,2.2,2.2,2.2,2.2,103.26
10,1547141460000,2.2001,2.2,2.2001,2.2,16.43705233
11,1547159280000,2.2,2.2,2.2,2.2,36.36548953
12,1547176620000,2.2,2.2,2.2,2.2,4.0
13,1547176740000,2.2,2.2,2.2,2.2,8.28413319
14,1547176800000,2.2,2.2,2.2,2.2,4.0
15,1547176860000,2.2,2.2,2.2,2.2,4.0
16,1547177040000,2.2,2.2,2.2,2.2,4.0
17,1547177100000,2.55,2.55,2.55,2.55,8.09713575
18,1547177220000,2.2,2.2,2.2,2.2,8.32336984
19,1547177280000,2.55,2.55,2.55,2.55,8.101034460000001
20,1547177340000,2.3,2.55,2.55,2.3,23.95408122
21,1547177460000,2.3,2.3,2.3,2.3,10.041930800000001
22,1547177520000,2.2976,2.2976,2.2976,2.2976,17.039437030000002
23,1547177580000,2.25,2.25,2.25,2.25,4.0
24,1547181660000,2.25,2.25,2.25,2.25,8.0
25,1547183280000,2.25,2.25,2.25,2.25,4.0
26,1547183340000,2.25,2.2,2.25,2.2,13.50414533
27,1547276340000,2.54,2.54,2.54,2.54,9.23076923
28,1547323140000,2.51,2.51,2.51,2.51,14.26719625
29,1547400900000,2.51,2.52,2.52,2.51,32.99550515
30,1547401320000,2.2,1.78,2.2,1.78,141.76132575
31,1547658780000,1.8045,1.8045,1.8045,1.8045,5.22855923
32,1547849400000,2.42,2.42,2.42,2.42,4.03350619
33,1547849700000,2.3741,2.3741,2.3741,2.3741,4.32153553
34,1547864700000,2.42,2.42,2.42,2.42,7.02291008
35,1547909820000,2.0,2.0,2.0,2.0,4.0
36,1547950380000,2.42,2.43,2.43,2.42,40.69573427
37,1547991780000,2.0,2.0,2.0,2.0,4.0
38,1547991840000,2.0,2.0,2.0,2.0,4.0
39,1548459600000,2.39,2.39,2.39,2.39,4.0
40,1548584100000,2.05,2.05,2.05,2.05,8.66042563
41,1549327500000,2.15,2.15,2.15,2.15,5.0
42,1549430340000,2.05,2.03,2.05,2.03,17.225962550000002
43,1549554240000,1.86,1.86,1.86,1.86,30.53358559
44,1549558380000,1.86,1.86,1.86,1.86,15.936053
45,1549558680000,1.86,1.86,1.86,1.86,3.53036141
46,1549908780000,2.1499,2.15,2.15,2.1499,20.0
47,1549909980000,2.15,2.15,2.15,2.15,10.0
48,1550323980000,2.15,2.15,2.15,2.15,21.18262712
49,1550824500000,2.39,2.41,2.41,2.39,166.53
50,1551019320000,2.0,1.41,2.0,1.41,113.96893229999999
51,1551092580000,2.03,2.03,2.03,2.03,9.0
52,1551123600000,2.03,2.03,2.03,2.03,6.0
53,1551214440000,2.03,2.03,2.03,2.03,7.0
54,1551305220000,2.03,2.03,2.03,2.03,22.95
55,1551496260000,2.04,2.04,2.04,2.04,21.0
56,1551496320000,2.04,2.04,2.04,2.04,21.0
57,1551496380000,2.04,2.0899,2.0899,2.04,21.0
58,1551496440000,2.0899,2.09,2.09,2.0899,16.10817942
59,1551703500000,2.05,2.05,2.05,2.05,6.0
60,1551703560000,2.05,1.44,2.05,1.44,19.7
61,1551711420000,2.3571,2.3571,2.3571,2.3571,15.39024008
62,1551712200000,2.0,1.57,2.0,1.57,22.3594596
63,1551744120000,2.1999,4.8616,4.8616,2.1999,157.97441493
64,1551750060000,2.4896,1.5741,2.4896,1.5741,168.36095577999995
65,1551750300000,1.5701,1.5701,1.5701,1.5701,17.77263318
66,1551901140000,2.1719999999999997,2.18,2.18,2.1719999999999997,19.12178679
67,1551911580000,2.1,2.1,2.1,2.1,13.69545337
68,1551911820000,2.0,2.0,2.0,2.0,19.0
69,1551911880000,1.9,1.9,1.9,1.9,6.30450969
70,1551912840000,2.1,2.1,2.1,2.1,39.25414742
71,1551913080000,2.1,2.1,2.1,2.1,0.74585258
72,1551996780000,2.1,2.01,2.1,2.01,9.99
73,1552053180000,2.6229,2.6256,2.6256,2.6229,43.89421963
74,1552055460000,4.1698,4.1698,4.1698,4.1698,12.09754322
75,1552060860000,4.1024,4.16,4.16,4.1024,70.27896359
76,1552065720000,2.3524,2.35,2.3524,2.35,12.07334813
77,1552223040000,2.4,2.3837,2.4,2.3837,55.51588
78,1552314180000,2.5726,2.5726,2.5726,2.5726,16.40924662
79,1552315380000,2.7958,2.7958,2.7958,2.7958,15.68996627
80,1552339500000,2.8,2.8,2.8,2.8,14.26811673
81,1552445700000,2.5439,2.5439,2.5439,2.5439,23.82404625
82,1552532160000,3.3999,4.0,4.0,3.3999,47.44501319
83,1552651980000,3.3,3.3,3.3,3.3,58.75652151
84,1552674120000,2.5,2.5,2.5,2.5,15.0
85,1552734600000,3.98,3.98,3.98,3.98,9.80157979
86,1552760160000,2.9001,2.9,2.9001,2.9,31.34810066
87,1552916400000,2.9,2.8,2.9,2.8,10.0
88,1552944720000,3.1,3.1,3.1,3.1,11.952048
89,1552944780000,3.12,3.12,3.12,3.12,34.77966025
90,1552944960000,3.12,3.12,3.12,3.12,11.60921504
91,1552946280000,3.12,3.12,3.12,3.12,0.04658984
92,1553358060000,3.1,3.1,3.1,3.1,10.5310653
93,1553785380000,3.1998,3.1998,3.1998,3.1998,7.0
94,1553785500000,2.7001,2.7001,2.7001,2.7001,6.9944
95,1553785800000,3.1998,3.1998,3.1998,3.1998,10.0
96,1553785860000,2.7825,2.7825,2.7825,2.7825,9.992
97,1553807640000,3.1961,3.1962,3.1962,3.1961,16.17604558
98,1553807700000,2.8,2.8,2.8,2.8,16.15590474
99,1553807820000,3.5,3.5,3.5,3.5,16.14298002
100,1553807940000,2.8001,2.8,2.8001,2.8,16.11069406
101,1553827020000,3.4695,3.4695,3.4695,3.4695,10.0
102,1553986200000,3.44,3.44,3.44,3.44,6.0
103,1553986260000,3.687,3.95,3.95,3.687,126.00710186
104,1553986320000,4.4,2.8,4.4,2.8,1024.55500035
105,1553986380000,2.6027,2.6,2.6027,2.6,1106.50029964
106,1553986440000,4.4,4.4,4.4,4.4,1075.0
107,1553986500000,2.64,2.6,2.64,2.6,1072.0
108,1553986680000,4.32,4.2,4.32,4.17,350.0
109,1553986800000,2.8,2.8,2.8,2.8,350.0
110,1553986860000,4.1433,4.1433,4.1433,4.1433,350.0
111,1553986980000,3.2,3.2,3.2,3.2,340.0
112,1553987160000,2.75,2.75,2.75,2.75,685.0
113,1553987280000,3.99,3.99,3.99,3.99,470.0
114,1553987400000,3.9,3.9315,3.9315,3.9,236.0
115,1553987460000,3.7,3.7,3.7,3.7,236.0
116,1553987520000,2.801,2.7689999999999997,2.801,2.7689999999999997,470.0
117,1553987580000,2.91,2.91,2.91,2.91,470.0
118,1553987640000,3.57,3.65,3.65,3.57,454.72598386
119,1553987820000,3.5,3.5,3.5,3.5,410.0
120,1553987880000,3.4608,3.4216,3.4608,3.4,130.0
121,1553988060000,3.0562,3.0562,3.0562,2.92,608.1362447299998
122,1553988120000,3.0562,2.85,3.0562,2.85,76.73296442
123,1553988180000,2.85,2.81,2.85,2.81,175.76792018
124,1553988240000,2.82,2.82,2.82,2.82,130.0
125,1553988300000,3.3941,2.82,3.3941,2.82,100.0
126,1553988360000,3.3,3.3,3.3,3.3,180.0
127,1553988420000,2.7689999999999997,2.35,2.7689999999999997,2.35,183.10598000000002
128,1553991120000,2.9,2.9,2.9,2.9,100.0
129,1554080700000,3.05,3.05,3.05,3.05,7.215777
130,1554151200000,3.051,3.05,3.051,3.05,128.17659489
131,1554151680000,2.91,2.91,2.91,2.91,11.74902897
132,1554151740000,2.91,2.91,2.91,2.91,11.75234769
133,1554153180000,2.91,2.91,2.91,2.91,6.32422122
134,1554153480000,2.91,2.91,2.91,2.91,15.74817295
135,1554153540000,2.91,2.91,2.91,2.91,14.42492292
136,1554156660000,2.91,2.91,2.91,2.91,0.00130625
137,1554231660000,3.2999,3.3,3.3,3.2999,21.7564
138,1554232260000,3.3,3.3,3.3,3.3,2.91490344
139,1554241500000,2.95,2.5026,2.95,2.5026,59.94
140,1554256560000,3.3655,3.3689999999999998,3.3689999999999998,3.3655,22.96633462
141,1554275040000,3.33,3.33,3.33,3.33,9.98
142,1554347040000,3.0001,3.0001,3.0001,3.0001,9.80142996
143,1554387120000,3.0,3.0,3.0,3.0,10.0
144,1554412620000,3.2931,3.2965,3.2965,3.2931,22.77117232
145,1554412680000,3.3,3.3,3.3,3.3,15.99994848
146,1554542640000,3.25,3.25,3.25,3.25,58.32912561
147,1554542700000,3.0001,3.0,3.0001,3.0,18.05981003
148,1554567840000,3.4999,3.5,3.5,3.4999,22.29750297
149,1554923280000,3.07,3.07,3.07,3.07,6.0
150,1555007940000,3.5,3.5,3.5,3.5,6.0
151,1555109340000,3.5,3.5,3.5,3.5,5.73436561
152,1555195260000,3.95,3.95,3.95,3.95,12.0
153,1555533300000,3.95,3.0078,3.95,3.0078,14.0
154,1555802100000,3.95,3.95,3.95,3.95,12.9891916
155,1556342220000,2.8501,2.8501,2.8501,2.8501,2.9939999999999998
156,1556375520000,2.575,2.57,2.575,2.57,12.97620241
157,1556498160000,3.65,3.6667,3.6667,3.65,5.5771080400000015
158,1556505900000,3.6667,3.761,3.761,3.6667,2.65886732
159,1556508900000,3.702,3.702,3.702,3.702,3.02759724
160,1556816040000,3.6,3.6935,3.6935,3.6,220.93021581
161,1556816100000,3.9899,3.99,3.99,3.9899,129.26297952
162,1556816160000,3.99,3.99,3.99,3.99,17.13837901
163,1556905380000,2.77,2.77,2.77,2.77,4.7266129
164,1556925660000,3.8103,2.9,3.8103,2.8,19.99
165,1556925720000,3.7,2.92,3.7,2.92,15.85
166,1556968500000,2.9201,2.9201,2.9201,2.9201,9.25944669
167,1557055620000,2.9201,2.92,2.9201,2.92,38.69776499
168,1557086100000,3.8,3.98,3.98,3.8,155.73704633
169,1557086160000,4.3,4.4562,4.4562,4.3,86.94944788000002
170,1557092280000,4.4562,4.4562,4.4562,4.4562,0.17186954
171,1557092340000,4.9998,4.9998,4.9998,4.9998,9.80955186
172,1557110580000,4.9999,5.0,5.0,4.9999,4.23817849
173,1557135300000,3.0,3.0,3.0,3.0,48.20978046000001
174,1557135360000,3.0,2.9369,3.0,2.9369,48.20978046000001
175,1557135420000,2.9369,2.9369,2.9369,2.9369,14.26532948
176,1557135480000,2.95,2.95,2.95,2.95,2.0
177,1557135720000,2.95,2.95,2.95,2.95,4.66831848
178,1557135780000,2.951,2.95,2.951,2.95,46.57898184
179,1557135840000,2.95,2.95,2.95,2.95,133.57553561999998
180,1557139560000,2.935,2.9,2.935,2.9,90.29690914
181,1557139980000,2.52,2.5,2.52,2.5,72.24788226999998
182,1557141600000,2.38,2.38,2.38,2.38,6.17503287
183,1557326520000,2.42,2.42,2.42,2.42,4.0
184,1557579600000,2.42,2.42,2.42,2.42,25.0
185,1557579660000,2.42,2.42,2.42,2.42,74.07700004
186,1557590400000,2.4021,2.4001,2.4021,2.4001,20.0
187,1557825300000,3.5,3.5,3.5,3.5,10.08
188,1557825360000,3.5,3.6519999999999997,3.6519999999999997,3.5,5.1
189,1557842160000,2.401,2.401,2.401,2.401,31.76527114
190,1557895800000,3.4771,3.4771,3.4771,3.4771,10.56696587
191,1557928500000,3.37,3.37,3.37,3.37,4.0
192,1557936000000,2.4601,2.4601,2.4601,2.4601,2.27730481
193,1557940740000,3.37,3.37,3.37,3.37,9.98374436
194,1557947220000,2.4602,2.4602,2.4602,2.4602,10.0
195,1558010940000,2.5201,2.5201,2.5201,2.5201,3.62531488
196,1558060200000,3.1029,3.1064,3.1064,3.1029,9.0
197,1558061520000,3.1063,3.39,3.39,3.1063,44.46044011
198,1558062060000,3.39,3.6831,3.6831,3.39,106.43855367
199,1558062120000,3.68,3.68,3.68,3.68,18.38829546
200,1558062180000,3.68,3.68,3.68,3.68,10.40625
201,1558196460000,2.572,2.48,2.572,2.48,150.03370074
202,1558209240000,2.41,2.4001,2.41,2.4001,38.31124597
203,1558331220000,2.9935,2.9935,2.9935,2.9935,2.0
204,1558331700000,2.9935,2.9935,2.9935,2.9935,2.0
205,1558337700000,2.5326,2.42,2.5326,2.42,42.49676321
206,1558353600000,2.42,2.4101,2.42,2.4101,3.4965
207,1558445340000,3.27,3.397,3.397,3.27,7.59871132
208,1558447560000,2.77,2.77,2.77,2.77,19.4
209,1558448700000,2.77,2.77,2.77,2.77,15.31044
210,1558467720000,3.3428,3.3428,3.3428,3.3428,10.0
211,1558468380000,2.77,2.77,2.77,2.77,8.985
212,1558492920000,2.78,2.78,2.78,2.78,2.0
213,1558505700000,2.78,2.4,2.78,2.4,194.37608436
214,1558505760000,2.3801,2.3,2.3801,2.3,36.68345217
215,1558509600000,2.7698,2.7698,2.7698,2.7698,2.0
216,1558516980000,2.75,2.75,2.75,2.75,2.0
217,1558536180000,2.4501,2.45,2.4501,2.45,16.994999999999994
218,1558536420000,2.4,2.4,2.4,2.4,10.0
219,1558539960000,2.3024,2.3,2.3024,2.3,32.65
220,1558544400000,2.4,2.4,2.4,2.4,30.999556400000003
221,1558545120000,2.4,2.4,2.4,2.4,15.00978241
222,1558552440000,2.35,2.3,2.35,2.3,24.55129648
223,1558553820000,2.2001,2.2,2.2001,2.2,6.38626081
224,1558554720000,2.4,2.4,2.4,2.4,2.0
225,1558559340000,2.4,2.4,2.4,2.4,20.0
226,1558559400000,2.4,2.4,2.4,2.4,8.0
227,1558563540000,2.4,2.4,2.4,2.4,2.0
228,1558613460000,2.4,2.4,2.4,2.4,55.0
229,1558689120000,2.4,2.4,2.4,2.4,20.98887143
230,1558689180000,2.97,3.0998,3.0998,2.97,36.11833516
231,1558689240000,3.0998,3.1,3.1,3.0998,69.92999999999999
232,1558689300000,3.1,3.24,3.24,3.1,74.13472988
233,1558734840000,2.4501,2.4501,2.4501,2.4501,2.0
234,1558736700000,2.4503,2.4501,2.4503,2.4501,28.84555393
235,1558746660000,2.55,2.455,2.55,2.455,82.0
236,1558777200000,2.97,2.97,2.97,2.97,2.22789366
237,1558783920000,2.47,2.47,2.47,2.47,2.22343787
238,1559005020000,2.9,2.9,2.9,2.9,2.0
239,1559165520000,2.5001,2.5001,2.5001,2.5001,14.530999999999999
240,1559209380000,2.86,2.9,2.9,2.86,47.89109733
241,1559209800000,3.0999,3.0999,3.0999,3.0999,6.45
242,1559209980000,3.0968,3.1,3.1,3.0968,4.37553393
