,time,open,close,high,low,volume
0,1545463260000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,1904.0
1,1545564420000,5.599e-05,5.599e-05,5.599e-05,5.599e-05,4804.16675042
2,1545564600000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,3350.26347086
3,1545564840000,5.6000000000000006e-05,5.6000000000000006e-05,5.6000000000000006e-05,5.6000000000000006e-05,1700.0
4,1545565920000,5.6000000000000006e-05,5.607e-05,5.607e-05,5.6000000000000006e-05,11190.04369538
5,1545566100000,5.5e-05,5.489999999999999e-05,5.5e-05,5.489999999999999e-05,12620.12334552
6,1545566280000,5.489999999999999e-05,5.484e-05,5.489999999999999e-05,5.484e-05,6272.673147899999
7,1545566460000,5.484e-05,5.484e-05,5.484e-05,5.484e-05,3093.8
8,1545567060000,5.489999999999999e-05,5.489999999999999e-05,5.489999999999999e-05,5.489999999999999e-05,8052.12708077
9,1545567180000,5.607e-05,5.607e-05,5.607e-05,5.607e-05,4600.0
10,1545567300000,5.485e-05,5.485e-05,5.485e-05,5.485e-05,12556.10516801
11,1545567600000,5.485e-05,5.485e-05,5.485e-05,5.485e-05,6330.314
12,1545567840000,5.484e-05,5.472e-05,5.484e-05,5.472e-05,3186.58516806
13,1545568200000,5.607e-05,5.619e-05,5.619e-05,5.607e-05,1642.0
14,1545568320000,5.619e-05,5.664e-05,5.664e-05,5.619e-05,58913.20796956
15,1545568620000,5.701e-05,5.732e-05,5.732e-05,5.701e-05,12072.065125
16,1545568680000,5.472e-05,5.445e-05,5.472e-05,5.445e-05,12059.99305988
17,1545568740000,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,11500.0
18,1545568860000,5.445e-05,5.441e-05,5.445e-05,5.441e-05,11477.0
19,1545568920000,5.6999999999999996e-05,5.441e-05,5.6999999999999996e-05,5.441e-05,5431.55900222
20,1545575880000,5.441e-05,5.432e-05,5.441e-05,5.432e-05,4990.0
21,1545597420000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,10035.95167241
22,1545612480000,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,1162.0
23,1545612540000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,2144.0
24,1545618780000,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,6243.50759331
25,1545618840000,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,5.5100000000000004e-05,2605.91284084
26,1545618900000,5.5e-05,5.481e-05,5.5e-05,5.481e-05,20359.02054517
27,1545646680000,5.511e-05,5.532e-05,5.532e-05,5.511e-05,10794.16578554
28,1545647460000,5.466e-05,5.466e-05,5.466e-05,5.466e-05,5821.39
29,1545726840000,5.466e-05,5.466e-05,5.466e-05,5.466e-05,1970.0
