,time,open,close,high,low,volume
0,1545471180000,7.5856,7.5856,7.5856,7.5856,7.93303925
1,1545492780000,7.3959,7.36,7.3959,7.36,96.40557962
2,1545492900000,7.3837,7.4468,7.4468,7.351,170.38153038000004
3,1545508860000,7.6907,7.6907,7.6907,7.6907,6.43075065
4,1545509940000,7.7099,7.7099,7.7099,7.7099,2.24175065
5,1545523500000,7.8,7.8,7.8,7.8,4.33
6,1545525480000,7.8011,7.8011,7.8011,7.8011,6.08600721
7,1545533460000,7.9911,7.9911,7.9911,7.9911,3.32839858
8,1545534480000,7.9911,7.9931,7.9931,7.9911,16.9249687
9,1545534540000,7.9931,7.9931,7.9931,7.9931,2.43002603
10,1545534600000,7.9931,7.9931,7.9931,7.9931,5.27e-06
11,1545545520000,8.1512,8.1265,8.1512,8.1265,6.0
12,1545548760000,8.197000000000001,8.2,8.2,8.197000000000001,48.193999999999996
13,1545553980000,8.2,8.2,8.2,8.2,22.393
14,1545554640000,8.2,8.2,8.2,8.2,4.605e-05
15,1545555660000,8.1091,8.1091,8.1091,8.1091,23.65
16,1545557220000,8.1946,8.1946,8.1946,8.1946,2.01
17,1545562260000,8.4074,8.4076,8.4076,8.4074,5.80122285
18,1545562860000,8.4076,8.4076,8.4076,8.4076,0.80246661
19,1545564000000,8.4438,8.4438,8.4438,8.4438,3.0
20,1545564780000,8.5969,8.5969,8.5969,8.5969,2.999995
21,1545566400000,8.5969,8.5969,8.5969,8.5969,5e-06
22,1545566760000,8.7537,8.7537,8.7537,8.7537,3.58840781
23,1545566820000,8.9617,8.9617,8.9617,8.9617,12.492
24,1545566940000,9.0445,9.0445,9.0445,9.0445,3.0
25,1545567060000,9.3592,9.3592,9.3592,9.3592,11.0
26,1545567900000,9.5091,9.5091,9.5091,9.5091,3.0
27,1545568080000,9.7989,9.7989,9.7989,9.7989,2.35
28,1545568200000,10.106,9.7547,10.133,9.7547,195.32106888
29,1545572520000,9.49,9.49,9.49,9.49,12.9
30,1545573180000,9.1055,9.0897,9.1055,9.0897,6.0
31,1545574080000,9.3401,9.7062,9.7062,9.3401,68.38844462
32,1545574500000,9.1375,9.1375,9.1375,9.1375,19.82797206
33,1545574920000,9.0588,9.0588,9.0588,9.0588,10.0
34,1545589500000,8.6734,8.6734,8.6734,8.6734,3.46253612
35,1545598740000,8.748,8.748,8.748,8.748,18.0
36,1545610980000,9.4399,9.552,9.552,9.4399,6.34910774
37,1545611400000,10.221,10.221,10.221,10.221,3.16663548
38,1545612300000,9.8334,9.8,9.9662,9.8,8.996616
39,1545613200000,9.9163,9.9163,9.9163,9.9163,2.99943275
40,1545613560000,9.9658,9.9658,9.9658,9.9658,0.00094566
41,1545614760000,9.9159,9.9159,9.9159,9.9159,2.54105434
42,1545615540000,10.058,10.058,10.058,10.058,2.56941533
43,1545616200000,10.158,10.158,10.158,10.158,2.9937
44,1545616500000,10.158,10.158,10.158,10.158,1.14658634
45,1545621900000,9.7152,9.542,9.7152,9.542,76.60201121
46,1545623400000,9.6162,9.537,9.6162,9.537,26.95429532
47,1545624060000,9.7941,9.8408,9.8408,9.7941,50.0
48,1545632460000,9.487,9.487,9.487,9.487,1.67905961
49,1545658140000,9.482000000000001,9.482000000000001,9.482000000000001,9.482000000000001,2.9999800000000003
