,time,open,close,high,low,volume
0,1547546940000,0.99,0.99,0.99,0.99,1.0
1,1547548380000,1.0,1.0,1.0,1.0,13.66352727
2,1547548560000,1.1,0.5,1.1,0.5,127.38727066
3,1547550000000,0.9,0.9,0.9,0.9,39.2517312
4,1547550780000,0.9,0.9,0.9,0.9,6.68267644
5,1547551260000,0.8,0.8,0.8,0.8,15.5
6,1547551560000,0.79,0.7999,0.7999,0.79,101.0
7,1547551620000,0.6,0.7,0.7,0.6,27.4
8,1547552340000,0.6,0.6,0.6,0.6,25.0
9,1547552400000,0.6,0.59,0.6,0.59,98.0
10,1547554260000,0.43,0.43,0.43,0.43,20.0
11,1547554380000,0.33,0.33,0.33,0.33,20.0
12,1547554440000,0.33,0.33,0.33,0.33,40.0
13,1547556180000,0.3,0.3,0.3,0.3,50.0
14,1547556240000,0.3,0.3,0.3,0.3,50.0
15,1547556480000,0.3,0.3,0.3,0.3,0.2
16,1547556540000,0.3,0.3,0.3,0.3,0.1
17,1547556600000,0.3,0.3,0.3,0.3,0.2
18,1547556660000,0.3,0.3,0.3,0.3,0.4
19,1547556720000,0.3,0.3,0.3,0.3,0.2
20,1547556780000,0.3,0.3,0.3,0.3,0.2
21,1547556840000,0.3,0.3,0.3,0.3,0.30000000000000004
22,1547556900000,0.3,0.3,0.3,0.3,40.0
23,1547556960000,0.3,0.3,0.3,0.3,75.0
24,1547557560000,0.26,0.26,0.26,0.26,60.0
25,1547558220000,0.26,0.26,0.26,0.26,45.75413791
26,1547558280000,0.26,0.26,0.26,0.26,1.98500596
27,1547558340000,0.26,0.26,0.26,0.26,0.18674272
28,1547559660000,0.26,0.26,0.26,0.26,248.51412096
29,1547559720000,0.26,0.26,0.26,0.26,2010.0
30,1547559960000,0.26,0.26,0.26,0.26,80.0
31,1547560140000,0.26,0.26,0.26,0.26,1542.21897979
32,1547560200000,0.26,0.26,0.26,0.26,316.04386961
33,1547560260000,0.26,0.26,0.26,0.26,206.54353871
34,1547560380000,0.26,0.26,0.26,0.26,60.55362285
35,1547560440000,0.26,0.26,0.26,0.26,1427.9880429999996
36,1547560500000,0.26,0.26,0.26,0.26,5187.115691040001
37,1547560560000,0.26,0.26,0.26,0.26,9846.20118638
38,1547560620000,0.26,0.26,0.26,0.26,821.0
39,1547561460000,0.26,0.26,0.26,0.26,100.0
40,1547561640000,0.26,0.26,0.26,0.26,80.0
41,1547561940000,0.26,0.26,0.26,0.26,40.0
42,1547562360000,0.26,0.26,0.26,0.26,47.0
43,1547562600000,0.25995,0.253,0.25995,0.253,2000.0
44,1547563320000,0.26,0.26,0.26,0.26,1855.35
45,1547563440000,0.26,0.26,0.26,0.26,2000.0
46,1547563800000,0.26,0.26,0.26,0.26,2000.0
47,1547563980000,0.263,0.263,0.263,0.263,165.0
48,1547565300000,0.2579,0.2579,0.2579,0.2579,2.4
49,1547565600000,0.257,0.257,0.257,0.257,0.03
50,1547566020000,0.24,0.24,0.24,0.24,855.26351793
51,1547566080000,0.24,0.24,0.24,0.24,855.34648207
52,1547568000000,0.24001,0.23600000000000002,0.24001,0.23600000000000002,2000.0
53,1547568060000,0.23876,0.23199999999999998,0.23876,0.23199999999999998,3175.4009619000003
54,1547568120000,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,119.0
55,1547568960000,0.215,0.21,0.215,0.21,17500.0
56,1547570160000,0.212,0.212,0.212,0.212,123.59413636
57,1547571960000,0.221,0.221,0.221,0.221,100.0
58,1547572980000,0.22,0.22,0.22,0.22,1100.0
59,1547573040000,0.22,0.222,0.222,0.22,1001.0
60,1547573100000,0.222,0.22399999999999998,0.22399999999999998,0.222,2000.0
61,1547574720000,0.223,0.23199999999999998,0.23199999999999998,0.223,14000.0
62,1547574780000,0.23199999999999998,0.257,0.257,0.23199999999999998,44397.24154482
63,1547574840000,0.257,0.257,0.257,0.257,1150.0
64,1547575020000,0.25,0.25,0.25,0.25,5.33977598
65,1547575860000,0.214,0.212,0.214,0.212,4391.90175823
66,1547575920000,0.212,0.212,0.212,0.212,608.09824177
67,1547576160000,0.212,0.205,0.212,0.205,5000.0
68,1547577000000,0.204,0.204,0.204,0.204,39.17322774
69,1547580240000,0.204,0.204,0.204,0.204,0.090816
70,1547587980000,0.2156,0.2156,0.2156,0.2156,48.72807018
71,1547594640000,0.215,0.215,0.215,0.215,100.0
72,1547596860000,0.215,0.215,0.215,0.215,30.0
73,1547597040000,0.215,0.215,0.215,0.215,124.0
74,1547597820000,0.215,0.215,0.215,0.215,5.10283933
75,1547598780000,0.20604,0.20604,0.20604,0.20604,100.0
76,1547600520000,0.215,0.215,0.215,0.215,1318.16546984
77,1547600580000,0.215,0.215,0.215,0.215,115.19936552
78,1547602680000,0.215,0.215,0.215,0.215,176.92551572
79,1547603100000,0.2156,0.22505,0.22505,0.2156,658.15397511
80,1547603160000,0.2269,0.2269,0.2269,0.2269,657.49582113
81,1547603220000,0.2269,0.2269,0.2269,0.2269,335.60609956
82,1547603280000,0.2065,0.20401,0.2065,0.20401,596.0
83,1547603340000,0.20401,0.20401,0.20401,0.20401,255.0
84,1547610660000,0.20401,0.2,0.20401,0.2,60.06336145
85,1547610840000,0.19958,0.19,0.19958,0.19,7537.35522728
86,1547610900000,0.1851,0.1851,0.1851,0.1851,7954.57429166
87,1547610960000,0.185,0.185,0.185,0.185,10000.0
88,1547611080000,0.1711,0.1711,0.1711,0.1711,50.0
89,1547611140000,0.171,0.171,0.171,0.171,100.0
90,1547611200000,0.1665,0.16,0.1665,0.16,6004.0
91,1547611380000,0.162,0.162,0.162,0.162,50.0
92,1547612940000,0.16268,0.16268,0.16268,0.16268,17.87419843
93,1547613000000,0.1601,0.16,0.1601,0.16,8256.54278576
94,1547615040000,0.15532,0.15532,0.15532,0.15532,190.868575
95,1547615640000,0.15532,0.16,0.16,0.15532,294.76375171
96,1547615700000,0.158,0.157,0.158,0.157,326.31591252
97,1547615760000,0.157,0.157,0.157,0.157,266.47169426
98,1547616360000,0.158,0.158,0.158,0.158,212.93121518
99,1547617140000,0.158,0.158,0.158,0.158,98.34721518
100,1547619120000,0.15799000000000002,0.158,0.158,0.15799000000000002,1163.25189601
101,1547619600000,0.16,0.16,0.16,0.16,47.0
102,1547619660000,0.16399999999999998,0.165,0.165,0.16399999999999998,3601.33
103,1547619720000,0.1519,0.1519,0.1519,0.1519,10.0
104,1547619900000,0.1632,0.187,0.187,0.1632,606.8864939499998
105,1547619960000,0.16,0.16,0.16,0.16,20.0
106,1547620020000,0.16,0.16,0.16,0.16,10.0
107,1547620080000,0.16,0.17300000000000001,0.17300000000000001,0.16,1730.71
108,1547622540000,0.205,0.205,0.205,0.205,951.91854783
109,1547624880000,0.2179,0.2179,0.218,0.2179,1638.59123591
110,1547626320000,0.204,0.20199999999999999,0.204,0.20199999999999999,3315.0
111,1547632020000,0.2175,0.2175,0.2175,0.2175,115.23496177
112,1547632140000,0.2175,0.2175,0.2175,0.2175,135.36883223
113,1547632500000,0.1962,0.1962,0.1962,0.1962,49.95
114,1547633280000,0.2175,0.2175,0.2175,0.2175,10.0
115,1547633400000,0.2175,0.22,0.22,0.2175,20000.0
116,1547633520000,0.22,0.22,0.22,0.22,1147.84960581
117,1547639940000,0.215,0.215,0.215,0.215,230.0
118,1547640000000,0.215,0.215,0.215,0.215,2.6
119,1547640480000,0.215,0.215,0.215,0.215,8000.0
120,1547640540000,0.215,0.215,0.215,0.215,154.36041745
121,1547642580000,0.2034,0.2034,0.2034,0.2034,9.99
122,1547642820000,0.20001,0.20001,0.20001,0.20001,1700.0
123,1547644920000,0.2051,0.205,0.2051,0.205,20190.0
124,1547649300000,0.215,0.215,0.215,0.215,135.81133636
125,1547650620000,0.215,0.215,0.215,0.215,2200.0
126,1547658900000,0.215,0.215,0.215,0.215,40.0
127,1547659980000,0.2149,0.2149,0.2149,0.2149,1.0
128,1547660040000,0.205,0.205,0.205,0.205,0.9990000000000001
129,1547661240000,0.21393,0.21393,0.21393,0.21393,10.0
130,1547662260000,0.20861,0.2149,0.2149,0.20861,565.73904929
131,1547662320000,0.2149,0.2149,0.2149,0.2149,138.48769444
132,1547664360000,0.2149,0.2149,0.2149,0.2149,572.4420456
133,1547670420000,0.205,0.19899999999999998,0.205,0.19899999999999998,6335.8150616
134,1547670480000,0.18712,0.1822,0.18712,0.1822,2113.56565631
135,1547670540000,0.17252,0.1682,0.17252,0.1682,10469.53928209
136,1547676240000,0.188,0.188,0.188,0.188,334.0
137,1547691660000,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,1642.4122274000001
138,1547694060000,0.184,0.184,0.184,0.184,88.37377717
139,1547694180000,0.184,0.187,0.187,0.184,6842.81622283
140,1547694600000,0.205,0.205,0.205,0.205,109.63853152
141,1547694660000,0.205,0.205,0.205,0.205,2061.06059079
142,1547694900000,0.20199999999999999,0.20199999999999999,0.20199999999999999,0.20199999999999999,1639.12740295
143,1547695140000,0.20201,0.20201,0.20201,0.20201,3500.36261626
144,1547697780000,0.20203,0.20201,0.20203,0.20201,17547.45
145,1547701740000,0.20276,0.20276,0.20276,0.20276,176.74859019999997
146,1547702520000,0.20276,0.20203,0.20276,0.20203,8776.0
147,1547706000000,0.20277,0.20277,0.20277,0.20277,99.8
148,1547707200000,0.20277,0.20199999999999999,0.20277,0.20199999999999999,21525.78545831
149,1547707260000,0.2,0.2,0.2,0.2,217.6717
150,1547711640000,0.20699,0.20699,0.20699,0.20699,449.54997752
151,1547713560000,0.207,0.207,0.207,0.207,984.0079949999999
152,1547716500000,0.20699,0.20699,0.20699,0.20699,75.748076
153,1547716620000,0.20699,0.2069,0.20699,0.2069,9999.9024747
154,1547716980000,0.2069,0.20800000000000002,0.20800000000000002,0.2069,264.69358172
155,1547719080000,0.2077,0.20799,0.20799,0.2077,3736.19531208
156,1547719380000,0.20799,0.20799,0.20799,0.20799,47.81052267
157,1547719620000,0.20799,0.20799,0.20799,0.20799,25599.18947733
158,1547720100000,0.20799,0.20799,0.20799,0.20799,14395.47074669
159,1547722740000,0.19484,0.19484,0.19484,0.19484,3103.08700513
160,1547723160000,0.18924000000000002,0.18825,0.18924000000000002,0.18825,10000.0
161,1547723280000,0.19264,0.18936,0.19264,0.18936,7577.01952812
162,1547723400000,0.19871,0.19865,0.19871,0.19759000000000002,37565.703596800005
163,1547723460000,0.20800000000000002,0.20800000000000002,0.20800000000000002,0.20800000000000002,26.80523707
164,1547723520000,0.2088,0.2088,0.2088,0.2088,5408.7
165,1547723640000,0.20778000000000002,0.20742,0.20778000000000002,0.20740999999999998,5400.37909108
166,1547726880000,0.19589,0.193,0.19589,0.19275,27998.0
167,1547726940000,0.1944,0.19947,0.19947,0.18999000000000002,65536.90539019
168,1547727000000,0.20371,0.20371,0.20371,0.20371,8000.0
169,1547727420000,0.19630999999999998,0.1963,0.19630999999999998,0.1963,3395.97170492
170,1547729040000,0.1967,0.19666,0.1967,0.19666,6759.59
171,1547729760000,0.184,0.1844,0.1844,0.184,4812.44329577
172,1547730900000,0.18933,0.19117,0.19117,0.18933,1707.0774318899996
173,1547731080000,0.19563,0.19563,0.19563,0.19563,2800.0
174,1547731140000,0.19954000000000002,0.19954000000000002,0.19954000000000002,0.19954000000000002,2003.31740918
175,1547731560000,0.20162,0.20162,0.20162,0.20162,1636.7
176,1547734440000,0.20319,0.20319,0.20319,0.20319,509.18184739
177,1547735100000,0.19834000000000002,0.196,0.19834000000000002,0.196,15000.0
178,1547735160000,0.19699,0.19699,0.19699,0.19699,3002.90889224
179,1547735580000,0.19802999999999998,0.19802999999999998,0.19802999999999998,0.19802999999999998,1400.61777003
180,1547737920000,0.19862,0.19862,0.19862,0.19862,1488.0436550000002
181,1547740080000,0.2,0.2,0.2,0.2,10388.4594
182,1547741100000,0.19963,0.19963,0.19963,0.19962,2028.75
183,1547741340000,0.2,0.2,0.2,0.2,1852.87097364
184,1547743080000,0.1999,0.20194,0.20194,0.1999,4950.495049499999
185,1547743860000,0.20444,0.20367000000000002,0.20444,0.20367000000000002,1693.89984761
186,1547744520000,0.20377,0.20377,0.20377,0.20377,1693.09996089
187,1547745780000,0.19641,0.1952,0.19641,0.1952,23230.07643439
188,1547748180000,0.1976,0.19759000000000002,0.1976,0.19759000000000002,1919.60531417
189,1547748360000,0.19508,0.19508,0.19508,0.19508,2591.48955454
190,1547749320000,0.20115999999999998,0.20115999999999998,0.20115999999999998,0.20115999999999998,7978.7
191,1547750220000,0.19509,0.19509,0.19509,0.19509,1500.0
192,1547751780000,0.20177,0.20176,0.20177,0.20176,2668.1600000000008
193,1547751900000,0.20870999999999998,0.20870999999999998,0.20870999999999998,0.20870999999999998,100.0
194,1547752080000,0.19883,0.19735,0.19883,0.19735,33553.42299934
195,1547754780000,0.19735,0.19735,0.19735,0.19735,0.10700066
196,1547754960000,0.19865,0.19865,0.19865,0.19865,1704.07861444
197,1547755140000,0.19038,0.19038,0.19038,0.19038,215.0
198,1547755740000,0.18805999999999998,0.19111,0.19112,0.18805999999999998,14679.82044359
