,time,open,close,high,low,volume
0,1592384460000,0.15,0.22,0.23,0.15,21000.0
1,1592384520000,0.21,0.151,0.21,0.151,26231.84067658
2,1592384580000,0.151,0.175,0.175,0.151,42161.563598
3,1592384640000,0.165,0.16899999999999998,0.175,0.16,38496.375210000006
4,1592384700000,0.175,0.18777,0.18777,0.175,11546.37114858
5,1592384760000,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.18899999999999997,10000.0
6,1592384820000,0.235,0.235,0.235,0.235,200.0
7,1592384880000,0.22899999999999998,0.22899999999999998,0.22899999999999998,0.22899999999999998,45.0
8,1592384940000,0.22899999999999998,0.21,0.22899999999999998,0.21,2001.0
9,1592385000000,0.22899999999999998,0.23800000000000002,0.23800000000000002,0.22899999999999998,3865.11383
10,1592385060000,0.23800000000000002,0.28999,0.29,0.23800000000000002,1768.4806579999997
11,1592385120000,0.28,0.28,0.28325,0.28,11590.2654
12,1592385180000,0.28,0.28,0.28800000000000003,0.27,16154.31
13,1592385240000,0.28,0.294,0.294,0.28,6599.0
14,1592385300000,0.28,0.294,0.294,0.28,6600.0
15,1592385360000,0.29399000000000003,0.294,0.294,0.29399000000000003,1451.9209125
16,1592385420000,0.29399000000000003,0.294,0.294,0.282,5400.0
17,1592385540000,0.29399000000000003,0.294,0.294,0.29399000000000003,2248.0
18,1592385600000,0.294,0.29600000000000004,0.29600000000000004,0.294,6766.182078
19,1592385660000,0.295,0.295,0.29600000000000004,0.295,1818.6238329999999
20,1592385720000,0.295,0.295,0.295,0.295,181.37616699999998
21,1592385780000,0.29600000000000004,0.29600000000000004,0.29600000000000004,0.29600000000000004,10839.216764
22,1592385840000,0.29600000000000004,0.295,0.3,0.295,827.215926
23,1592385900000,0.295,0.294,0.295,0.294,309.2441316
24,1592385960000,0.295,0.295,0.295,0.295,100.0
25,1592386020000,0.295,0.27,0.295,0.27,2006.0
26,1592386080000,0.27061999999999997,0.24,0.27061999999999997,0.24,14628.92403114
27,1592386140000,0.23800000000000002,0.28698,0.28959,0.23800000000000002,10425.0
28,1592386320000,0.282,0.28,0.282,0.28,1925.83818307
29,1592386380000,0.28,0.28,0.28,0.28,2912.5
30,1592386440000,0.29,0.29,0.29,0.29,1000.0
31,1592386560000,0.29,0.28,0.29,0.28,1670.0
32,1592386680000,0.28,0.285,0.285,0.27001,5622.21981693
33,1592386740000,0.28800000000000003,0.28800000000000003,0.28800000000000003,0.28799,2465.0
34,1592386800000,0.28800000000000003,0.29100000000000004,0.29100000000000004,0.28800000000000003,12041.1627514
35,1592386860000,0.29100000000000004,0.28800000000000003,0.29100000000000004,0.28800000000000003,2230.6606156
36,1592386920000,0.29498,0.3,0.3,0.29498,4864.898884
37,1592386980000,0.32,0.32,0.32,0.32,4000.0
38,1592387040000,0.31,0.305,0.31,0.305,4506.0
39,1592387100000,0.309,0.31,0.31,0.3,7205.101116
40,1592387220000,0.31,0.31,0.31,0.31,830.0
41,1592387280000,0.31,0.301,0.31,0.301,560.31
42,1592387340000,0.305,0.3,0.305,0.3,2500.0
43,1592387400000,0.305,0.305,0.305,0.305,1000.0
44,1592387460000,0.305,0.3,0.305,0.3,3407.0489020000005
45,1592387520000,0.3099,0.3099,0.3099,0.3099,9.0
46,1592387640000,0.305,0.305,0.305,0.305,1111.0
47,1592387760000,0.306,0.306,0.306,0.305,1879.1016300000001
48,1592387820000,0.306,0.305,0.306,0.3,958.18074
49,1592387880000,0.305,0.33,0.33,0.305,3441.20737
50,1592388000000,0.3099,0.3099,0.3099,0.3099,120.0
51,1592388060000,0.3099,0.3099,0.33,0.3099,7484.691957999999
52,1592388120000,0.3099,0.3299,0.33,0.3,10422.2903
53,1592388180000,0.3298,0.39,0.397,0.3298,22666.852284
54,1592388240000,0.38,0.34,0.39,0.33,10916.8792
55,1592388300000,0.3789,0.3789,0.38999,0.345,4639.7132
56,1592388360000,0.389,0.38,0.396,0.349,13820.9
57,1592388420000,0.387,0.38,0.387,0.38,2407.754992
58,1592388480000,0.38,0.38,0.38,0.38,8715.899908
59,1592388540000,0.38,0.38,0.38,0.37,1647.8379
60,1592388600000,0.38,0.381,0.381,0.38,2803.6233
61,1592388660000,0.381,0.387,0.387,0.381,339.8706
62,1592388720000,0.385,0.385,0.39799999999999996,0.381,8334.02543991
63,1592388780000,0.39799999999999996,0.44,0.44,0.39799999999999996,10731.86856009
64,1592388840000,0.44,0.44,0.498,0.44,3418.204272
65,1592388900000,0.44,0.5,0.5,0.44,5711.7075
66,1592388960000,0.5,0.6,0.6,0.48100000000000004,3299.26
67,1592389020000,0.6,0.612,0.68999,0.6,10221.155520999999
68,1592389080000,0.63,0.67,0.67,0.63,141.067152
69,1592389140000,0.67,0.68999,0.68999,0.67,9079.639583
70,1592389200000,0.68999,0.612,0.68999,0.612,3851.807911
71,1592389260000,0.60001,0.5799,0.60001,0.503,6499.04029121
72,1592389320000,0.54,0.5899,0.5899,0.54,100.0
73,1592389380000,0.541,0.541,0.57,0.54,800.7432
74,1592389440000,0.5699,0.5699,0.5699,0.5699,144.9429
75,1592389500000,0.54,0.5301,0.54,0.53,1039.525326
76,1592389560000,0.54,0.5577,0.5599,0.53,5485.2176
77,1592389620000,0.53,0.53,0.5499,0.53,262.4244
78,1592389680000,0.53005,0.521,0.5489999999999999,0.521,9566.6
79,1592389740000,0.54,0.5213,0.54,0.5213,262.14079399999997
80,1592389800000,0.5213,0.528,0.53,0.521,1203.5167
81,1592389860000,0.521,0.524,0.528,0.5102,11653.40333
82,1592389920000,0.52,0.5101,0.528,0.5101,2000.871989
83,1592389980000,0.5102,0.51,0.5199,0.5,16102.746399000001
84,1592390040000,0.49999,0.5,0.51,0.49999,236.3623
85,1592390100000,0.5,0.5,0.5,0.5,2562.5
86,1592390160000,0.509,0.525,0.525,0.5,1312.559454
87,1592390220000,0.5199,0.5199,0.5199,0.5199,139.8777
88,1592390280000,0.5199,0.5199,0.5199,0.5199,50.0
89,1592390340000,0.5199,0.5199,0.5199,0.5199,50.0
90,1592390400000,0.5199,0.5199,0.5199,0.5199,86.8814
91,1592390580000,0.5199,0.5202399999999999,0.5202399999999999,0.51325,230.238046
92,1592390640000,0.5050100000000001,0.5000100000000001,0.5050100000000001,0.5000100000000001,250.0
93,1592390700000,0.5000100000000001,0.5,0.50958,0.5,5222.739100000002
94,1592390760000,0.506,0.5068,0.5068,0.5,365.63588
95,1592390820000,0.5068,0.507,0.507,0.5,358.5025
96,1592390880000,0.50011,0.50958,0.50958,0.50002,931.371291
97,1592390940000,0.50958,0.5089,0.51,0.5089,192.31099999999998
98,1592391000000,0.5089,0.51,0.51,0.5003,216.1703
99,1592391060000,0.5097,0.51,0.51,0.50003,230.09
100,1592391120000,0.5055,0.508,0.51,0.5055,132.114
101,1592391180000,0.5099,0.51,0.51,0.50003,1875.8545
102,1592391240000,0.51,0.5099,0.51,0.50003,752.4141999999998
103,1592391300000,0.5095,0.5099,0.5099,0.5095,1640.510357
104,1592391360000,0.5099,0.51021,0.51021,0.5099,607.434
105,1592391420000,0.5099,0.51021,0.51021,0.5099,1826.565
106,1592391480000,0.5099,0.51021,0.51021,0.5099,1827.7338
107,1592391540000,0.51021,0.5099,0.528,0.5099,1428.33021051
108,1592391600000,0.51021,0.528,0.528,0.51021,2388.96432822
109,1592391660000,0.528,0.528,0.528,0.5100100000000001,1812.981
110,1592391720000,0.528,0.528,0.528,0.5279,1368.9183
111,1592391780000,0.528,0.5298,0.5298,0.528,2695.8657
112,1592391840000,0.5298,0.53,0.53,0.5298,1537.4067
113,1592391900000,0.53,0.53,0.53,0.53,2000.0
114,1592391960000,0.53,0.53,0.53,0.53,320.128226
115,1592392020000,0.53,0.53,0.53,0.53,1700.0
116,1592392080000,0.53,0.54,0.54,0.53,871.9890417099998
117,1592392140000,0.545,0.545,0.545,0.545,51.6063
118,1592392200000,0.5487,0.57,0.57,0.5487,3608.8440509999996
119,1592392320000,0.57,0.57,0.57,0.57,30.0
120,1592392380000,0.58,0.6,0.6,0.58,4081.1545899999996
121,1592392440000,0.599,0.64,0.64,0.599,5060.661262
122,1592392560000,0.639,0.639,0.639,0.639,200.0
123,1592392620000,0.639,0.639,0.639,0.639,564.144573
124,1592392680000,0.551,0.60125,0.60125,0.551,124.125
125,1592392740000,0.63899,0.63899,0.63899,0.63899,200.0
126,1592392800000,0.58332,0.58332,0.58332,0.58332,12.5236
127,1592392860000,0.552,0.552,0.552,0.552,10.2238
128,1592392920000,0.63799,0.63799,0.63799,0.63799,109.54788
129,1592392980000,0.63799,0.5522199999999999,0.63799,0.5522199999999999,150.0
130,1592393040000,0.63799,0.63799,0.63799,0.63799,760.0
131,1592393100000,0.565,0.5539999999999999,0.565,0.55307,124.8425
132,1592393160000,0.5544,0.5544,0.5544,0.5544,56.3586
133,1592393220000,0.636,0.636,0.636,0.636,20.0
134,1592393400000,0.63,0.63799,0.63799,0.63,469.49091500000003
135,1592393820000,0.55507,0.55507,0.55507,0.55507,10.2354
136,1592394060000,0.5979399999999999,0.63898,0.63898,0.5979399999999999,797.8054850000002
137,1592394660000,0.5565,0.56,0.63799,0.5565,139.5206
138,1592394780000,0.57,0.6,0.6,0.564,415.1929
139,1592394900000,0.5711,0.585,0.585,0.57101,110.95200000000001
140,1592394960000,0.599,0.63698,0.63698,0.5725,924.0151699999999
141,1592395020000,0.63698,0.63697,0.63698,0.585,275.9539
142,1592395140000,0.58803,0.5881,0.5881,0.58803,100.0
143,1592395200000,0.589,0.589,0.589,0.589,2.0
144,1592395320000,0.59,0.59,0.59,0.59,50.0
145,1592395440000,0.59001,0.5901,0.63,0.59,757.21569093
146,1592395500000,0.591,0.594,0.594,0.591,237.93
147,1592395560000,0.594,0.5941,0.5941,0.594,52.173
148,1592395620000,0.61,0.61,0.61,0.61,33.412
149,1592395680000,0.5942,0.5920000000000001,0.619,0.5920000000000001,3835.011812
150,1592395740000,0.5922,0.5922,0.5922,0.5922,50.0
151,1592395800000,0.5922,0.635,0.635,0.5922,3029.51868306
152,1592395860000,0.60101,0.60101,0.60101,0.60101,10.0
153,1592395920000,0.60232,0.60232,0.60232,0.60232,50.0
154,1592395980000,0.60333,0.60333,0.60333,0.60333,50.0
155,1592396040000,0.60334,0.601,0.60335,0.601,75.0
156,1592396100000,0.6011,0.6011,0.6011,0.6011,50.0
157,1592396220000,0.61,0.61,0.61,0.61,10.1
158,1592396280000,0.61,0.603,0.61,0.603,96.573986
159,1592396340000,0.603,0.601,0.603,0.601,150.0
160,1592396400000,0.60113,0.6,0.60113,0.6,1665.44474084
161,1592396460000,0.5922,0.5922,0.5922,0.5922,24.3494
162,1592396520000,0.6088,0.5925,0.6088,0.5923,231.1795
163,1592396640000,0.5925,0.6,0.6,0.5925,116.204101
164,1592396700000,0.6,0.6,0.6,0.6,60.0
165,1592396760000,0.601,0.6088,0.6088,0.601,840.951
166,1592396820000,0.6088,0.6088,0.6088,0.6088,2822.2515
167,1592396880000,0.6088,0.6088,0.6088,0.601,1670.64
168,1592396940000,0.6088,0.6088,0.6088,0.6010300000000001,3235.403
169,1592397000000,0.6085,0.6085,0.6088,0.60113,2816.6756
170,1592397060000,0.6085,0.628,0.628,0.6085,2350.7205643
171,1592397120000,0.62769,0.628,0.628,0.627,2180.2436
172,1592397180000,0.628,0.628,0.628,0.62769,629.2476
173,1592397240000,0.62769,0.62769,0.62769,0.62769,50.736216
174,1592397420000,0.62769,0.6278,0.6278,0.61,505.2641
175,1592397480000,0.6278,0.6271800000000001,0.6278,0.6271800000000001,39.805
176,1592397540000,0.6271800000000001,0.62656,0.6271800000000001,0.6101,91.96700000000001
177,1592397600000,0.6265,0.62625,0.62656,0.62625,33.799
178,1592397660000,0.62625,0.626,0.62625,0.626,49.9
179,1592397720000,0.62626,0.62626,0.62626,0.62626,99.446
180,1592397780000,0.62625,0.62656,0.62656,0.601,1916.86658604
181,1592397840000,0.6268699999999999,0.62756,0.6278,0.6268699999999999,443.7072
182,1592397900000,0.62749,0.62538,0.62749,0.62538,49.99992881
183,1592397960000,0.62756,0.6282,0.6282,0.6007100000000001,1258.683946
184,1592398020000,0.6281,0.6281,0.6281,0.6281,1400.0
185,1592398080000,0.6282,0.62789,0.6282,0.62789,90.9088
186,1592398200000,0.62789,0.601,0.62789,0.601,2050.0
187,1592398260000,0.60101,0.60101,0.60101,0.60101,60.0
188,1592398320000,0.60102,0.601,0.60102,0.601,25.8982
189,1592398440000,0.6007,0.593,0.6007,0.593,216.3935
190,1592398500000,0.593,0.593,0.593,0.593,63.3565
191,1592398560000,0.593,0.593,0.593,0.593,500.0
192,1592398680000,0.6197,0.61968,0.6197,0.6196699999999999,46.81
193,1592398740000,0.6196699999999999,0.6197,0.6197,0.6196,139.906
194,1592398800000,0.61968,0.62469,0.62469,0.61968,1426.7335460000004
195,1592398860000,0.62469,0.622,0.62469,0.622,651.234154
196,1592398920000,0.62169,0.625,0.625,0.62169,52.867
197,1592398980000,0.62469,0.62469,0.62469,0.62469,24.284000000000002
198,1592399040000,0.62469,0.62169,0.62469,0.62169,20.454
199,1592399100000,0.6197,0.6197,0.6197,0.6197,12.714
200,1592399160000,0.6197,0.6,0.6197,0.6,127.625
201,1592399220000,0.6003,0.619,0.619,0.6003,87.76799999999999
202,1592399280000,0.601,0.618,0.6187,0.601,87.941
203,1592399340000,0.618,0.618,0.618,0.618,23.183000000000003
204,1592399400000,0.6177,0.605,0.6177,0.605,50.0
205,1592399460000,0.605,0.63667,0.63698,0.605,4453.94707338
206,1592399520000,0.63667,0.63698,0.63698,0.63667,31.1121
207,1592399580000,0.63667,0.63657,0.63667,0.6178,64.456
208,1592399640000,0.63069,0.62,0.63698,0.62,1307.6607
209,1592399700000,0.63667,0.638,0.6389600000000001,0.63667,1059.8937
210,1592399760000,0.6378,0.6378,0.6378,0.61,1786.8921850000004
211,1592399820000,0.63865,0.63669,0.63865,0.63669,22.445999999999998
212,1592399880000,0.62969,0.601,0.62969,0.601,2293.103533
213,1592399940000,0.62949,0.62769,0.62949,0.602,485.1487
214,1592400000000,0.6259,0.60201,0.6259,0.60201,339.49862571
215,1592400060000,0.6248,0.6229,0.6248,0.6229,37.461
216,1592400120000,0.6214,0.6268,0.6268,0.62,418.1956
217,1592400180000,0.62369,0.6236,0.62369,0.62359,38.827
218,1592400240000,0.6236,0.62369,0.62369,0.60302,304.38972946
219,1592400300000,0.62368,0.62337,0.62368,0.62337,23.756
220,1592400360000,0.62269,0.62266,0.62269,0.62266,50.038000000000004
221,1592400420000,0.62265,0.62269,0.62269,0.62263,38.065
222,1592400480000,0.62233,0.62233,0.62233,0.60501,36.194
223,1592400540000,0.62202,0.62264,0.62264,0.62171,50.99
224,1592400600000,0.62169,0.62138,0.62169,0.62138,27.048
225,1592400660000,0.62107,0.62107,0.622,0.62,195.2018
226,1592400720000,0.622,0.6215,0.622,0.6215,22.912
227,1592400780000,0.6215,0.6215,0.6215,0.6215,42.443999999999996
228,1592400840000,0.6215,0.62019,0.6215,0.62019,29.065
229,1592400900000,0.62,0.61,0.6215,0.61,2313.745
230,1592400960000,0.62145,0.62145,0.62145,0.62145,24.568
231,1592401020000,0.621,0.621,0.621,0.621,41.11600000000001
232,1592401080000,0.6208,0.62,0.6208,0.61,173.76520000000005
233,1592401140000,0.6199,0.6199,0.6199,0.6199,22.333000000000002
234,1592401200000,0.6196,0.6196,0.6196,0.6033,1029.7945
235,1592401260000,0.6193,0.6031,0.6193,0.6031,1121.0667
236,1592401320000,0.6174,0.6174,0.6174,0.6174,29.270000000000003
237,1592401380000,0.6031,0.6168,0.6171,0.6031,890.275
238,1592401440000,0.6168,0.6168,0.6168,0.6168,26.373
239,1592401500000,0.6168,0.6177,0.6177,0.6031,98.500017
240,1592401560000,0.6177,0.6177,0.6177,0.6031,836.68
241,1592401620000,0.605,0.6031,0.605,0.6031,728.061
242,1592401680000,0.6176,0.618,0.618,0.6176,93.177639
243,1592401800000,0.615,0.6177,0.6179899999999999,0.6032,252.5714
244,1592401860000,0.61798,0.60333,0.61798,0.60333,141.8198
245,1592401920000,0.6167,0.6167,0.6167,0.6167,10.362
246,1592401980000,0.6167,0.6167,0.6167,0.6167,13.38
247,1592402040000,0.6147,0.6147,0.6147,0.6147,12.04
248,1592402100000,0.6144,0.6144,0.6144,0.6144,13.607999999999999
249,1592402160000,0.6144,0.6167,0.6167,0.6144,250.0331
250,1592402400000,0.61422,0.6141,0.61422,0.6141,129.534805
251,1592402460000,0.6141,0.6141,0.6141,0.6141,190.2179
252,1592402520000,0.61411,0.61411,0.61411,0.61411,12.0
253,1592402580000,0.6141,0.6144,0.6144,0.6141,112.0
254,1592402700000,0.6144,0.6144,0.6144,0.6144,336.005
255,1592402820000,0.6144,0.6144,0.6144,0.6144,915.8406
256,1592402940000,0.6141,0.611,0.6141,0.611,86.9006
257,1592403000000,0.611,0.6199,0.6199,0.61,500.0
258,1592403060000,0.6199,0.6101,0.622,0.6101,1000.0
259,1592403120000,0.6101,0.6101,0.6101,0.6101,4050.355
260,1592403180000,0.6101,0.6102,0.6102,0.6101,2899.645
261,1592403240000,0.6102,0.6101,0.6102,0.6101,3065.0
262,1592403480000,0.6101,0.6101,0.6101,0.6101,100.0
263,1592403720000,0.6101,0.61,0.6101,0.61,4000.0
