,time,open,close,high,low,volume
0,1564392000000,0.98,0.98,0.98,0.98,17.41569459
1,1564394580000,1.2,1.2,1.2,1.2,1.0
2,1564395060000,1.18,1.18,1.18,1.18,2.0
3,1564395420000,1.0002,1.0002,1.0002,1.0002,1.0
4,1564395480000,1.2,1.2,1.2,1.2,1.0
5,1564395540000,1.2,1.2,1.2,1.2,2.0
6,1564395840000,1.2,1.2,1.2,1.2,2.3
7,1564396140000,1.2,1.2,1.2,1.2,36.0
8,1564396380000,1.2081,1.2081,1.2081,1.2081,19.0
9,1564396740000,1.2162,1.2162,1.2162,1.2162,7.0
10,1564396920000,1.2162,1.2162,1.2162,1.2162,1.0
11,1564396980000,1.2082,1.2081,1.2082,1.2081,1.447549
12,1564397100000,1.2,1.2,1.2,1.2,300.0
13,1564397880000,1.19,1.19,1.19,1.19,75.630252
14,1564397940000,1.15,1.15,1.15,1.15,2658.54119594
15,1564398000000,1.15,1.0802,1.15,1.0621,12659.05834138
16,1564398060000,1.0802,1.08,1.0802,1.08,3356.63837919
17,1564398120000,1.08,1.062,1.08,1.062,3838.74922591
18,1564398180000,1.062,1.062,1.062,1.062,2000.0
19,1564398360000,1.061,1.03,1.061,1.03,1234.2023343
20,1564398420000,1.03,1.03,1.03,1.03,1000.0
21,1564398480000,1.03,1.03,1.03,1.03,470.0
22,1564398540000,1.03,1.03,1.03,1.03,972.1716
23,1564398660000,1.032,1.032,1.032,1.032,511.94872866
24,1564398720000,1.032,1.032,1.032,1.032,1080.21212594
25,1564398780000,1.032,1.032,1.032,1.032,509.90722848
26,1564399080000,1.032,1.032,1.032,1.032,1000.0
27,1564399140000,1.032,1.032,1.032,1.032,1500.0
28,1564399200000,1.075,1.0325,1.075,1.0325,2198.35631971
29,1564399440000,1.0798,1.1,1.1,1.0798,8476.0
30,1564399500000,1.1,1.11,1.11,1.1,8000.0
31,1564399560000,1.0332,1.0332,1.0332,1.0332,55.55555556
32,1564399740000,1.0979999999999999,1.0979999999999999,1.0979999999999999,1.0979999999999999,10.0
33,1564399800000,1.0979999999999999,1.1,1.1,1.0979999999999999,1190.0
34,1564400040000,1.0713,1.0713,1.0713,1.0713,0.99
35,1564400280000,1.053,1.1,1.1,1.053,1004.96477173
36,1564400340000,1.145,1.145,1.145,1.145,201.50658
37,1564400580000,1.12,1.12,1.12,1.12,100.0
38,1564400880000,1.14,1.14,1.14,1.14,50.0
39,1564401000000,1.09,1.09,1.09,1.09,267.86310000000003
