,time,open,close,high,low,volume
0,1564392000000,0.98,0.43416000000000005,0.98,0.43416000000000005,117.45059578
1,1564392240000,1.1,1.1,1.1,1.1,1.0
2,1564392420000,1.2,1.2,1.2,1.2,0.5
3,1564392780000,0.8,0.79394,0.8,0.79394,1936.54
4,1564393320000,1.0728,1.0728,1.0728,1.0728,100.0
5,1564393380000,1.0728,1.0999,1.0999,1.0728,192.8
6,1564394640000,1.1241,1.1241,1.1241,1.1241,1.0
7,1564394820000,1.1434,1.1434,1.1434,1.1434,5.0
8,1564394880000,1.124,1.124,1.124,1.124,2.0
9,1564395060000,1.13,1.1486,1.1486,1.13,2.03276025
10,1564395540000,1.1683,1.1683,1.1683,1.1683,1.0
11,1564395600000,1.1408,1.1408,1.1408,1.1408,1.996
12,1564395960000,1.1639,1.1639,1.1639,1.1639,1.0
13,1564396080000,1.1365,1.1365,1.1365,1.1365,10.0
14,1564396140000,1.1207,1.1588,1.1588,1.1207,42.84599645
15,1564396200000,1.178,1.178,1.178,1.178,10.0
16,1564396260000,1.1846,1.1846,1.1846,1.1846,10.0
17,1564396320000,1.2022,1.2022,1.2022,1.2022,10.0
18,1564396380000,1.2204,1.2204,1.2204,1.2204,1.0
19,1564396980000,1.2,1.2,1.2,1.2,0.34902729
20,1564397040000,1.2,1.19,1.2,1.19,2.0
21,1564397280000,1.2,1.2,1.2,1.2,10.0
22,1564397640000,1.19,1.19,1.19,1.19,3954.40895752
23,1564397760000,1.1943,1.1943,1.1943,1.1943,1000.0
24,1564397940000,1.19,1.165,1.19,1.165,20533.25286545
25,1564398000000,1.165,1.1222,1.165,1.1222,26685.52448069
26,1564398060000,1.1222,1.0838,1.1257,1.0838,34102.95548197
27,1564398120000,1.0838,1.0326,1.1,1.0326,47421.99087
28,1564398180000,1.0326,1.03,1.06,1.0271,34690.8517798
29,1564398240000,1.03,1.03,1.03,1.0203,22504.29841
30,1564398300000,1.03,1.021,1.03,1.021,12893.35894
31,1564398360000,1.025,1.03,1.0326,1.02,65432.8402702
32,1564398420000,1.03,1.023,1.03,1.02,2100.0
33,1564398480000,1.03,1.0326,1.0326,1.03,6376.52991
34,1564398540000,1.03,1.0361,1.0361,1.03,11318.4365
35,1564398600000,1.0361,1.03,1.04,1.03,11355.033590000001
36,1564398660000,1.03,1.02,1.04,1.0181,26000.0
37,1564398720000,1.03,1.02,1.03,1.02,1207.46738397
38,1564398780000,1.02,1.03,1.03,1.0181,3835.11626071
39,1564398840000,1.03,1.03,1.03,1.03,15446.16634432
40,1564398900000,1.03,1.03,1.03,1.03,16068.75
41,1564398960000,1.036,1.0361,1.0361,1.036,3847.9840700000004
42,1564399020000,1.036,1.036,1.038,1.036,4887.015930000001
43,1564399080000,1.037,1.036,1.037,1.036,1053.2591300000001
44,1564399140000,1.0490000000000002,1.0490000000000002,1.0490000000000002,1.0490000000000002,1074.3779
45,1564399200000,1.0490000000000002,1.034,1.05,1.0337,6095.124231190001
46,1564399260000,1.034,1.034,1.034,1.034,747.5
47,1564399380000,1.037,1.05,1.05,1.037,9306.30666
48,1564399440000,1.05,1.05,1.05,1.05,2059.89219
49,1564399500000,1.058,1.0759,1.0759,1.058,7693.27138966
50,1564399560000,1.05,1.057,1.057,1.05,3469.16090445
51,1564399620000,1.057,1.057,1.057,1.057,15.551739999999999
52,1564399680000,1.057,1.057,1.057,1.057,1.01
53,1564399740000,1.056,1.056,1.056,1.056,500.0
54,1564399800000,1.056,1.051,1.056,1.051,1093.4995099999999
55,1564399860000,1.056,1.056,1.056,1.056,105.50048999999999
56,1564399920000,1.057,1.057,1.057,1.057,566.30895
57,1564399980000,1.067,1.08,1.08,1.067,8795.10227
58,1564400040000,1.079,1.07,1.079,1.07,3859.843246
59,1564400100000,1.079,1.1,1.1,1.079,17940.2548
60,1564400160000,1.1,1.1,1.1026,1.1,4359.15218
61,1564400220000,1.1,1.1,1.1107,1.1,21983.823215200002
62,1564400280000,1.1,1.1,1.1,1.1,2626.42165
63,1564400340000,1.0979999999999999,1.0979999999999999,1.0979999999999999,1.0979999999999999,13.633961
64,1564400400000,1.0847,1.0847,1.0847,1.0847,898.0
65,1564400460000,1.0979999999999999,1.0979999999999999,1.0979999999999999,1.0979999999999999,485.36593899999997
66,1564400520000,1.0979999999999999,1.0979999999999999,1.0979999999999999,1.0979999999999999,1269.489098
67,1564400580000,1.097,1.0959999999999999,1.097,1.0959999999999999,21960.49802555
68,1564400640000,1.088,1.0824,1.088,1.0824,1000.0
69,1564400760000,1.095,1.095,1.095,1.095,732.13686
70,1564401120000,1.0659999999999998,1.0659999999999998,1.0659999999999998,1.0659999999999998,500.0
71,1564401180000,1.0659999999999998,1.087,1.087,1.065,4643.61908365
72,1564401240000,1.087,1.09,1.094,1.087,6521.08391
73,1564401300000,1.09,1.1,1.1,1.09,25086.20089061
74,1564401360000,1.1,1.1,1.1,1.1,9.39e-06
75,1564401480000,1.1,1.1123,1.1123,1.1,8437.72771
76,1564401540000,1.0849,1.1241,1.1241,1.0849,8600.75952
77,1564401600000,1.1241,1.0929,1.13,1.0929,7043.7372
78,1564401660000,1.1295,1.11,1.13,1.11,1383.81287992
79,1564401900000,1.13,1.1311,1.1311,1.13,1337.1372
80,1564401960000,1.12,1.12,1.12,1.12,760.45172
81,1564402020000,1.0971,1.0935,1.12,1.0935,474.07093802
82,1564402080000,1.09,1.09,1.09,1.09,653.5856704199998
