,time,open,close,high,low,volume
0,1545420240000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,5e-06
1,1545436020000,8.546e-05,8.547e-05,8.547e-05,8.546e-05,98.961
2,1545441780000,8.705e-05,8.705e-05,8.705e-05,8.705e-05,68.41518284
3,1545444480000,8.806e-05,8.806e-05,8.806e-05,8.806e-05,55.0
4,1545449820000,8.975e-05,8.975e-05,8.975e-05,8.975e-05,84.37
5,1545451920000,8.625e-05,8.625e-05,8.625e-05,8.625e-05,84.37
6,1545456120000,8.711e-05,8.661e-05,8.736e-05,8.661e-05,319.56245448
7,1545456180000,8.412e-05,8.412e-05,8.412e-05,8.412e-05,278.87170316
8,1545461880000,8.93e-05,8.93e-05,8.93e-05,8.93e-05,461.8974373
9,1545462120000,8.788e-05,8.788e-05,8.788e-05,8.788e-05,67.37407019
10,1545462780000,8.79e-05,8.719e-05,8.79e-05,8.719e-05,192.11457168
11,1545471420000,8.649e-05,8.649e-05,8.649e-05,8.649e-05,55.0
12,1545482160000,8.672e-05,8.671e-05,8.672e-05,8.671e-05,96.919
13,1545484320000,8.671e-05,8.671e-05,8.671e-05,8.671e-05,126.35559789
14,1545495780000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,1715.322352
15,1545495960000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,1422.349613
16,1545496140000,8.601e-05,8.6e-05,8.601e-05,8.6e-05,1261.71145516
17,1545500400000,8.73e-05,8.73e-05,8.73e-05,8.73e-05,54.0
18,1545500820000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,81.66634
19,1545502380000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,698.6
20,1545502500000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,87.83704
21,1545502620000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,107.98482558
22,1545505020000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,166.129512
23,1545511920000,8.645e-05,8.6e-05,8.645e-05,8.6e-05,82.99799999
24,1545515580000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,120.14339922
25,1545519300000,8.6e-05,8.6e-05,8.6e-05,8.6e-05,0.05953488
26,1545520320000,8.269e-05,8.269e-05,8.269e-05,8.269e-05,98.92586988
27,1545520920000,8.697e-05,8.828e-05,8.828e-05,8.697e-05,572.55677001
28,1545520980000,8.828e-05,8.828e-05,8.828e-05,8.828e-05,55.0
29,1545521460000,8.828e-05,8.828e-05,8.828e-05,8.828e-05,55.0
30,1545526620000,8.828e-05,8.828e-05,8.828e-05,8.828e-05,455.92955199000005
31,1545527100000,8.931e-05,8.931e-05,8.931e-05,8.931e-05,80.2341296
32,1545531000000,8.931e-05,8.931e-05,8.931e-05,8.931e-05,16.5878704
33,1545536640000,9.499999999999999e-05,9.723e-05,9.723e-05,9.499999999999999e-05,200.0
34,1545536760000,9.567e-05,9.567e-05,9.567e-05,9.567e-05,54.999995
35,1545538740000,9.283e-05,9.283e-05,9.283e-05,9.283e-05,1471.2
36,1545539760000,9.284e-05,9.283e-05,9.284e-05,9.283e-05,1396.65680978
37,1545540300000,9.283e-05,9.283e-05,9.283e-05,9.283e-05,1678.32854832
38,1545541500000,9.283e-05,9.283e-05,9.283e-05,9.283e-05,256.42361095
39,1545542100000,9.283e-05,9.283e-05,9.283e-05,9.283e-05,99.89522001
40,1545543960000,9.283e-05,8.675e-05,9.283e-05,8.675e-05,328.81391094
41,1545550680000,8.795e-05,8.795e-05,8.795e-05,8.795e-05,200.0
42,1545557580000,9.113e-05,9.113e-05,9.113e-05,9.113e-05,55.0
43,1545557820000,9.404e-05,9.404e-05,9.404e-05,9.404e-05,55.0
44,1545562020000,9.272e-05,8.778e-05,9.272e-05,8.778e-05,1054.99000001
45,1545562140000,8.778e-05,8.778e-05,8.778e-05,8.778e-05,55.42110806
46,1545562260000,8.778e-05,8.778e-05,8.778e-05,8.778e-05,55.201503
47,1545562380000,9.226e-05,9.556e-05,9.556e-05,9.226e-05,110.0
48,1545563220000,9.196e-05,9.196e-05,9.196e-05,9.196e-05,55.0
49,1545564660000,9.482e-05,9.743e-05,9.743e-05,9.482e-05,600.0
50,1545572820000,9.259e-05,9.259e-05,9.259e-05,9.259e-05,55.0
51,1545572880000,9.256e-05,9.256e-05,9.256e-05,9.256e-05,55.0
52,1545572940000,9.75e-05,9.75e-05,9.75e-05,9.75e-05,224.55669984
53,1545580560000,8.778e-05,8.778e-05,8.778e-05,8.778e-05,900.0
54,1545580680000,8.778e-05,8.778e-05,8.778e-05,8.778e-05,44.08766234
55,1545580920000,8.235e-05,8.154e-05,8.235e-05,8.154e-05,619.36624265
56,1545581220000,8.249e-05,8.249e-05,8.249e-05,8.249e-05,55.0
57,1545581280000,8.429e-05,8.429e-05,8.429e-05,8.429e-05,55.0
58,1545582360000,8.756e-05,8.756e-05,8.756e-05,8.756e-05,54.0
59,1545582900000,8.733e-05,8.733e-05,8.733e-05,8.733e-05,147.41935969999997
60,1545585240000,8.791e-05,8.791e-05,8.791e-05,8.791e-05,72.28238564
61,1545587280000,8.311e-05,8.311e-05,8.311e-05,8.311e-05,198.65
62,1545589440000,9.053e-05,9.053e-05,9.053e-05,9.053e-05,55.0
63,1545589620000,8.814e-05,8.814e-05,8.814e-05,8.814e-05,54.89078034
64,1545592800000,9.007e-05,9.007e-05,9.007e-05,9.007e-05,55.0
65,1545597300000,9.105e-05,9.105e-05,9.105e-05,9.105e-05,55.0
66,1545604860000,8.337e-05,8.337e-05,8.337e-05,8.337e-05,55.0
67,1545610440000,8.522e-05,8.522e-05,8.522e-05,8.522e-05,55.0
68,1545614100000,8.638e-05,8.404e-05,8.638e-05,8.404e-05,143.70781989
69,1545614400000,8.427e-05,8.428e-05,8.428e-05,8.427e-05,80.79542818
70,1545620580000,8.43e-05,8.43e-05,8.43e-05,8.43e-05,55.0
71,1545621420000,8.515e-05,8.305e-05,8.515e-05,8.305e-05,110.11022044
72,1545623640000,8.445e-05,8.445e-05,8.445e-05,8.445e-05,55.0
73,1545630600000,8.640000000000001e-05,8.640000000000001e-05,8.640000000000001e-05,8.640000000000001e-05,55.0
74,1545641700000,8.747e-05,8.747e-05,8.747e-05,8.747e-05,55.0
75,1545648840000,8.679e-05,8.679e-05,8.679e-05,8.679e-05,223.32878709999997
76,1545678240000,8.840000000000001e-05,8.840000000000001e-05,8.840000000000001e-05,8.840000000000001e-05,54.8889
77,1545697500000,9.124e-05,8.524e-05,9.124e-05,8.524e-05,1600.0
78,1545697620000,8.959e-05,8.959e-05,8.959e-05,8.959e-05,55.0
79,1545697800000,8.53e-05,8.18e-05,8.53e-05,8.18e-05,392.35841514
80,1545697920000,8.18e-05,8.004e-05,8.18e-05,8.004e-05,4864.06037002
81,1545697980000,8.103e-05,8.001e-05,8.103e-05,8.001e-05,1251.50881338
82,1545698640000,8.001e-05,8.001e-05,8.001e-05,8.001e-05,416.35185993
83,1545698760000,8.001e-05,8.001e-05,8.001e-05,8.001e-05,0.06610676
84,1545700200000,8.044e-05,8.044e-05,8.044e-05,8.044e-05,55.0
85,1545710460000,8.253e-05,8.253e-05,8.253e-05,8.253e-05,108.0
86,1545712500000,8.2e-05,8.2e-05,8.2e-05,8.2e-05,69.89382651
87,1545712560000,8.186e-05,8.186e-05,8.186e-05,8.186e-05,62.93737577
88,1545713400000,7.977e-05,7.971e-05,7.977e-05,7.971e-05,110.0
89,1545717600000,7.967e-05,7.968e-05,7.968e-05,7.967e-05,185.77966626
90,1545724440000,8.396e-05,8.396e-05,8.396e-05,8.396e-05,55.0
91,1545724500000,8.433e-05,8.438e-05,8.438e-05,8.433e-05,109.99999
92,1545731640000,8.264e-05,8.264e-05,8.264e-05,8.264e-05,55.0
93,1545738480000,8.386e-05,8.802e-05,8.802e-05,8.386e-05,70.0
94,1545751260000,8.341e-05,8.341e-05,8.341e-05,8.341e-05,90.65672525
95,1545764340000,8.401e-05,8.401e-05,8.401e-05,8.401e-05,54.999995
96,1545764520000,8.401e-05,8.401e-05,8.401e-05,8.401e-05,5e-06
97,1545767940000,8.466e-05,8.466e-05,8.466e-05,8.466e-05,55.0
98,1545769860000,8.506e-05,8.506e-05,8.506e-05,8.506e-05,55.0
99,1545786300000,8.562e-05,8.562e-05,8.562e-05,8.562e-05,54.8889
100,1545786540000,8.562e-05,8.561e-05,8.562e-05,8.561e-05,55.0
101,1545787320000,8.561e-05,8.527e-05,8.561e-05,8.527e-05,55.0
102,1545788700000,8.527e-05,8.527e-05,8.527e-05,8.527e-05,0.1111
103,1545789360000,8.422e-05,8.422e-05,8.422e-05,8.422e-05,54.999995
