,time,open,close,high,low,volume
0,1601114760000,4.9218,4.9218,4.9218,4.9218,25.8
1,1601115780000,4.9798,4.9921,4.9921,4.9798,279.12905701
2,1601115900000,7.0671,7.0671,7.0671,7.0671,137.38
3,1601116080000,7.0643,7.0643,7.0643,7.0643,138.6976
4,1601119500000,5.0719,5.0719,5.0719,5.0719,30.785
5,1601119560000,5.2404,5.2404,5.2404,5.2404,28.68521093
6,1601120820000,5.2888,5.2888,5.2888,5.2888,0.10991028
7,1601122140000,5.2447,5.2447,5.2447,5.2447,0.02146757
8,1601122320000,4.9659,4.9714,4.9714,4.9659,161.0501
9,1601122380000,4.9745,5.2262,5.2262,4.9745,45.57763265
10,1601122440000,4.9659,4.966,4.966,4.9659,60.41110000000001
11,1601122620000,4.9985,4.9985,4.9985,4.9985,6.24087967
12,1601125980000,5.0136,5.0136,5.0136,5.0136,17.16148681
13,1601126040000,5.0136,4.9919,5.0136,4.9919,199.58382284
14,1601126160000,4.9919,4.9919,4.9919,4.9919,0.01076565
15,1601126400000,4.9703,4.9703,4.9703,4.9703,0.6
16,1601126640000,5.0018,5.0404,5.0404,5.0018,70.841691
17,1601127600000,4.9687,4.9687,5.0179,4.9687,415.21691108
18,1601127720000,4.9576,5.0067,5.0067,4.9576,230.69741649
19,1601127780000,4.9735,4.9551,4.9735,4.9551,221.10175584
20,1601127840000,5.1301,5.0041,5.1301,4.9551,214.89351798
21,1601127960000,4.9475,4.9965,4.9965,4.9475,2203.5230935
22,1601128080000,4.9735,4.9965,4.9965,4.9475,208.19265324000003
23,1601128200000,4.9525,4.9525,4.9525,4.9525,201.9182
24,1601128260000,4.9574,4.9576,4.9735,4.9525,605.3392
25,1601128380000,4.9569,4.9525,4.9569,4.9525,201.9182
26,1601128440000,4.9569,4.9495,4.9569,4.9495,404.0812
27,1601128560000,4.973,4.9949,4.9949,4.946000000000001,2072.39734229
28,1601128680000,4.9657,4.9657,4.9657,4.9657,201.3814
29,1601128740000,4.9571,4.9571,4.9571,4.9571,403.4616
30,1601128800000,4.973,5.0097,5.0097,4.9606,208.06957198
31,1601128860000,4.9657,4.9657,4.9657,4.9657,30.47419642
32,1601140200000,5.303,5.303,5.303,5.303,53.74712099999999
