,time,open,close,high,low,volume
0,1605709620000,3.4596,3.457,3.4596,3.457,1000.0
1,1605710160000,3.4223,3.4207,3.4223,3.4207,0.00307881
2,1605710760000,3.4478,3.4478,3.4478,3.4478,0.00253586
3,1605711240000,3.4291,3.4291,3.4291,3.4291,0.00373701
4,1605711840000,3.3352,3.3352,3.3352,3.3352,0.00324685
5,1605712380000,3.2981,3.2981,3.2981,3.2981,0.00134444
6,1605712560000,3.3073,3.3124,3.3124,3.3073,1000.0
7,1605713160000,3.3237,3.3237,3.3237,3.3237,0.00269317
8,1605713700000,3.3906,3.3906,3.3906,3.3906,0.00385286
9,1605714300000,3.3939,3.4011,3.4011,3.3939,0.00554782
10,1605714900000,3.4036,3.4036,3.4036,3.4036,0.0030566
11,1605715440000,3.3709,3.3709,3.3709,3.3709,0.003151
12,1605715920000,3.3752,3.3752,3.3752,3.3752,0.0026620000000000003
13,1605715980000,3.3729,3.3729,3.3729,3.3729,0.0036710000000000002
14,1605716520000,3.3628,3.3628,3.3628,3.3628,0.003333
15,1605716580000,3.363,3.363,3.363,3.363,0.003532
16,1605717060000,3.3928,3.3928,3.3928,3.3928,0.0017675999999999998
17,1605717600000,3.4154,3.4154,3.4154,3.4154,0.002156
18,1605718200000,3.4065,3.4065,3.4065,3.4065,0.002489
19,1605718260000,3.4041,3.4041,3.4041,3.4041,0.0023120000000000003
20,1605718740000,3.4173,3.4173,3.4173,3.4173,0.003665
21,1605719280000,3.44,3.44,3.44,3.44,0.00259801
22,1605719820000,3.4392,3.4392,3.4392,3.4392,0.00189759
23,1605720360000,3.4374,3.4374,3.4374,3.4374,0.0036522
24,1605720420000,3.4351,3.4351,3.4351,3.4351,0.00210947
25,1605720960000,3.432,3.432,3.432,3.432,0.00202
26,1605721020000,2.26,2.26,2.26,2.26,0.00254035
27,1605721620000,3.4362,3.4325,3.4362,3.4325,0.004137
28,1605721680000,3.4319,3.4319,3.4319,3.4319,29.1
29,1605722220000,3.4412,3.4412,3.4412,3.4412,0.00221902
30,1605722820000,3.4239,3.4239,3.4239,3.4239,0.00276536
31,1605723360000,3.4106,3.4106,3.4106,3.4106,0.001557
32,1605723840000,3.4003,3.4003,3.4003,3.4003,0.0012289999999999998
33,1605724440000,3.3997,3.3997,3.3997,3.3997,0.001866
34,1605724980000,3.3961,3.3961,3.3961,3.3961,0.00385755
35,1605725580000,3.3892,3.3892,3.3892,3.3892,0.0030146
