,time,open,close,high,low,volume
0,1600504560000,6.5257,6.5257,6.5257,6.5257,12.00444794
1,1600512660000,6.6776,6.6776,6.6776,6.6776,0.16545664
2,1600514700000,7.2201,7.22,7.2201,7.22,548.85
3,1600515180000,7.34,7.34,7.34,7.34,408.86269613
4,1600515240000,7.34,7.34,7.34,7.34,769.13730387
5,1600515300000,7.0977,7.0977,7.0977,7.0977,23.05832475
6,1600515420000,7.2085,7.2085,7.2085,7.2085,7.35995739
7,1600515600000,7.1,7.1,7.1,7.1,6.431889
8,1600516380000,7.1955,7.1955,7.1955,7.1955,6.26994476
9,1600516920000,7.2075,7.2075,7.2075,7.2075,28.10648233
10,1600518300000,7.196000000000001,7.196000000000001,7.196000000000001,7.196000000000001,5.003710099999999
11,1600519140000,7.2543,7.2543,7.2543,7.2543,20.11951986
12,1600519320000,7.2387,7.2387,7.2387,7.2387,147.77547184
13,1600519740000,7.136,7.136,7.136,7.136,39.91360681
14,1600519920000,7.2051,7.216,7.216,7.2051,45.338547999999996
15,1600520040000,7.1401,7.1401,7.1401,7.1401,50.586419
16,1600520100000,7.3215,7.2705,7.3312,7.2705,60.283984
17,1600520220000,7.2987,7.2987,7.2987,7.2987,44.056409
18,1600520580000,7.3877,7.3877,7.3877,7.3877,22.680290000000007
19,1600520640000,7.3339,7.3339,7.3339,7.3339,17.955146399999997
20,1600521180000,7.4193,7.4193,7.4193,7.4193,0.30761935
21,1600521240000,7.5588,7.5588,7.5588,7.5588,19.9217526
22,1600521420000,7.4085,7.4085,7.4085,7.4085,4.88888889
23,1600521480000,7.402,7.3761,7.402,7.3761,24.44444445
24,1600521540000,7.3696,7.3696,7.3696,7.3696,4.88888889
25,1600524000000,7.2447,7.2447,7.2447,7.2447,0.00210338
26,1600524060000,7.1855,7.1855,7.1855,7.1855,15.317585000000001
27,1600526160000,7.1212,7.1919,7.1919,7.1212,20.70357386
28,1600526760000,7.1431,7.1431,7.1431,7.1431,20.56397347
29,1600527420000,6.9698,6.9358,6.9698,6.8739,115.19207233
30,1600527480000,7.2044,7.2044,7.2044,7.2044,4.20618481
31,1600527780000,7.1203,7.1203,7.1203,7.1203,0.5
32,1600528200000,6.7496,6.7036,6.7703,6.7036,852.63879352
33,1600531320000,6.66,6.66,6.66,6.66,28.81205941
34,1600534560000,6.5152,6.5152,6.5152,6.5152,143.20544679
35,1600535280000,6.6759,6.7139999999999995,6.7139999999999995,6.6759,1754.60348104
36,1600536180000,6.301,6.301,6.301,6.301,400.000275
37,1600538160000,6.1495,6.0728,6.1495,6.0728,1350.0
38,1600538220000,6.2131,6.2131,6.2131,6.2131,0.03842474
39,1600538280000,6.1508,6.1508,6.1508,6.1508,0.19773919
40,1600538340000,6.1253,6.0435,6.1253,6.0435,222.9498
41,1600538460000,6.0641,5.9425,6.0641,5.9425,2.19162769
42,1600538520000,5.9089,5.8557,5.9089,5.8557,0.73054166
43,1600538580000,5.8317,5.8317,5.8317,5.8317,2.276941
44,1600538820000,5.7352,5.6906,5.7352,5.6906,1.09581249
45,1600539000000,5.8871,5.8871,5.8871,5.8871,21.70997798
46,1600540260000,5.9059,5.9059,5.9059,5.9059,0.36558778
47,1600540380000,5.9545,5.9545,5.9545,5.9545,108.91542396
48,1600540860000,6.074,6.074,6.074,6.074,25.0
49,1600540980000,6.1146,6.1146,6.1146,6.1146,3.0
50,1600541760000,6.1585,6.1585,6.1585,6.1585,36.4
51,1600542000000,6.3093,6.3093,6.3093,6.3093,14.0
52,1600543200000,6.0,6.0,6.0,6.0,4.0
53,1600545420000,5.8621,5.8621,5.8621,5.8621,69.85094052
54,1600548600000,6.1146,6.1146,6.1146,6.1146,131.34711005
55,1600550340000,5.8613,5.8613,5.8613,5.8613,0.338712
56,1600551600000,5.7245,5.7245,5.7245,5.7245,65.27710853
57,1600552380000,5.8224,5.8224,5.8224,5.8224,21.45116055
58,1600553160000,5.6018,5.53,5.6018,5.53,1.46209093
59,1600553340000,5.465,5.465,5.465,5.465,10.00773397
60,1600553400000,5.4228,5.4228,5.4228,5.4228,2.40544556
61,1600553580000,5.3763,5.3763,5.3763,5.3763,0.00116288
62,1600554660000,5.3203,5.3203,5.3203,5.3203,68.16703094
63,1600556400000,5.6363,5.6363,5.6363,5.6363,60.64215341
64,1600559760000,5.718999999999999,5.7298,5.7298,5.718999999999999,67.58775919
65,1600562820000,5.6357,5.6357,5.6357,5.6357,149.38735302
66,1600565280000,5.3248,5.3248,5.3248,5.3248,8.902064
67,1600566000000,5.436,5.436,5.436,5.436,1.02699679
68,1600566720000,5.4486,5.4486,5.4486,5.4486,257.90180054
69,1600569840000,5.7305,5.7305,5.7305,5.7305,61.21448797
70,1600580880000,5.7918,5.7918,5.7918,5.7918,326.38069259
71,1600584660000,5.6022,5.6022,5.6022,5.6022,35.70026
72,1600586760000,5.7339,5.7339,5.7339,5.7339,10.5
73,1600591500000,5.5874,5.5874,5.5874,5.5874,0.11836449
74,1600594020000,5.5907,5.5907,5.5907,5.5907,20.01484041
75,1600594560000,5.5832,5.5832,5.5832,5.5832,0.01484041
