,time,open,close,high,low,volume
0,1545421140000,8.324e-05,8.324e-05,8.324e-05,8.324e-05,50.0
1,1545422280000,8.354e-05,8.354e-05,8.354e-05,8.354e-05,119.875
2,1545422340000,8.363e-05,8.363e-05,8.363e-05,8.363e-05,119.875
3,1545423960000,8.319e-05,8.281e-05,8.319e-05,8.281e-05,125.16579921
4,1545424140000,8.265e-05,8.245e-05,8.265e-05,8.245e-05,11328.47128589
5,1545424200000,8.293e-05,8.293e-05,8.293e-05,8.293e-05,240.41351124
6,1545427920000,8.329999999999999e-05,8.329e-05,8.329999999999999e-05,8.329e-05,427.0
7,1545428580000,8.301e-05,8.301e-05,8.301e-05,8.301e-05,524.26488113
8,1545429060000,8.282e-05,8.283e-05,8.283e-05,8.282e-05,2356.1442
9,1545430620000,8.293e-05,8.293e-05,8.293e-05,8.293e-05,413.8483
10,1545432300000,8.238e-05,8.23e-05,8.238e-05,8.23e-05,12021.555
11,1545432360000,8.231e-05,8.231e-05,8.231e-05,8.231e-05,1017.0948
12,1545432420000,8.231e-05,8.231e-05,8.231e-05,8.231e-05,891.6663
13,1545432960000,8.229e-05,8.229e-05,8.229e-05,8.229e-05,1788.9637
14,1545434580000,8.222e-05,8.222e-05,8.222e-05,8.222e-05,2578.2538
15,1545434640000,8.222e-05,8.222e-05,8.222e-05,8.222e-05,541.5689
16,1545436740000,8.264e-05,8.265e-05,8.265e-05,8.264e-05,1000.0
17,1545436860000,8.259e-05,8.259e-05,8.259e-05,8.259e-05,500.0
18,1545437220000,8.217e-05,8.217e-05,8.217e-05,8.217e-05,127.3679
19,1545437820000,8.245e-05,8.244e-05,8.245e-05,8.244e-05,4212.8261
20,1545438300000,8.243e-05,8.238e-05,8.243e-05,8.238e-05,3500.0
21,1545440040000,8.31e-05,8.31e-05,8.31e-05,8.31e-05,1295.26296429
22,1545440580000,8.31e-05,8.309e-05,8.31e-05,8.309e-05,3500.0
23,1545440700000,8.319e-05,8.319e-05,8.319e-05,8.319e-05,100.0
24,1545442140000,8.265e-05,8.265e-05,8.265e-05,8.265e-05,472.4436
25,1545442200000,8.265e-05,8.265e-05,8.265e-05,8.265e-05,43.2071
26,1545442980000,8.265e-05,8.264e-05,8.265e-05,8.264e-05,163.5239
27,1545443820000,8.242e-05,8.242e-05,8.242e-05,8.242e-05,622.2408
28,1545444300000,8.242e-05,8.242e-05,8.242e-05,8.242e-05,266.6074
29,1545444960000,8.243e-05,8.243e-05,8.243e-05,8.243e-05,371.625
30,1545445020000,8.243e-05,8.243e-05,8.243e-05,8.243e-05,371.625
31,1545445080000,8.243e-05,8.234e-05,8.243e-05,8.234e-05,2362.2183
32,1545445500000,8.259e-05,8.259e-05,8.259e-05,8.259e-05,124.4759
33,1545454920000,8.236e-05,8.236e-05,8.236e-05,8.236e-05,454.2727
34,1545455160000,8.236e-05,8.218e-05,8.236e-05,8.218e-05,4220.6985
35,1545458400000,8.235e-05,8.221e-05,8.235e-05,8.221e-05,6889.78769806
36,1545461100000,8.252e-05,8.252e-05,8.252e-05,8.252e-05,242.36548715
37,1545462840000,8.252e-05,8.252e-05,8.252e-05,8.252e-05,54.15272459
38,1545463620000,8.333e-05,8.333e-05,8.333e-05,8.333e-05,225.0
